ISO3,ECONOMY_NAME,INCOME,REG_UN,REG_UN_CODE,POP,PPPGDP,PPPPC
MUS,Mauritius,UM,Sub-Saharan Africa,SSA,1273.6,37.012,29349.35
MEX,Mexico,UM,Latin America and the Caribbean,LCN,129739.77,3277.6,24975.95
MNG,Mongolia,LM,"South East Asia, East Asia, and Oceania",SEAO,3431.95,52.989,15088
MNE,Montenegro,UM,Europe,EUR,633.57,17.431,28002.05
MAR,Morocco,LM,Northern Africa and Western Asia,NAWA,37712.53,385.337,10408.31
MOZ,Mozambique,LI,Sub-Saharan Africa,SSA,33635.14,53.71,1584.49
MMR,Myanmar,LM,"South East Asia, East Asia, and Oceania",SEAO,54133.8,277.767,5124.37
NAM,Namibia,UM,Sub-Saharan Africa,SSA,2963.12,30.663,11603.03
NPL,Nepal,LM,Central and Southern Asia,CSA,29694.6,150.8,4934.16
NLD,Netherlands (Kingdom of the),HI,Europe,EUR,18092.53,1297.02,73316.85
NZL,New Zealand,HI,"South East Asia, East Asia, and Oceania",SEAO,5172.86,279.183,53809.19
NIC,Nicaragua,LM,Latin America and the Caribbean,LCN,6823.63,51.022,7642.31
NER,Niger,LI,Sub-Saharan Africa,SSA,26159.86,42.739,1579.05
NGA,Nigeria,LM,Sub-Saharan Africa,SSA,227882.92,1365.9,6147.68
MKD,North Macedonia,UM,Europe,EUR,1831.79,44.055,21391.25
NOR,Norway,HI,Europe,EUR,5519.14,452.964,82236.12
OMN,Oman,HI,Northern Africa and Western Asia,NAWA,5049.28,200.295,39336.14
PAK,Pakistan,LM,Central and Southern Asia,CSA,247504.49,1568.43,6773.55
PAN,Panama,HI,Latin America and the Caribbean,LCN,4458.76,190.306,42738.2
PRY,Paraguay,UM,Latin America and the Caribbean,LCN,6844.15,117.349,15533.1
PER,Peru,UM,Latin America and the Caribbean,LCN,33845.63,548.465,15893.53
PHL,Philippines,LM,"South East Asia, East Asia, and Oceania",SEAO,114891.21,1278.62,11326.01
POL,Poland,HI,Europe,EUR,38762.83,1712.63,45538.13
PRT,Portugal,HI,Europe,EUR,10430.75,465.131,45226.98
QAT,Qatar,HI,Northern Africa and Western Asia,NAWA,2979.09,328.134,114210.4
KOR,Republic of Korea,HI,"South East Asia, East Asia, and Oceania",SEAO,51748.75,2924.19,56708.95
MDA,Republic of Moldova,UM,Europe,EUR,3067.1,42.217,16915.71
ROU,Romania,HI,Europe,EUR,19118.48,780.797,41029.18
RUS,Russian Federation,UM,Europe,EUR,145790.27,5056.48,35309.62
RWA,Rwanda,LI,Sub-Saharan Africa,SSA,13954.47,42.346,3137
SAU,Saudi Arabia,HI,Northern Africa and Western Asia,NAWA,32263.24,2246.54,68452.85
SEN,Senegal,LM,Sub-Saharan Africa,SSA,18077.59,78.547,4324.88
SRB,Serbia,UM,Europe,EUR,6773.19,173.075,26074.16
SGP,Singapore,HI,"South East Asia, East Asia, and Oceania",SEAO,5789.1,753.273,133107.6
SVK,Slovakia,HI,Europe,EUR,5518.04,229.584,42228.01
SVN,Slovenia,HI,Europe,EUR,2118.42,108.683,51406.56
ZAF,South Africa,UM,Sub-Saharan Africa,SSA,63212.41,997.444,16211.16
ESP,Spain,HI,Europe,EUR,47911.59,2413.07,50471.69
LKA,Sri Lanka,LM,Central and Southern Asia,CSA,22971.62,,
SWE,Sweden,HI,Europe,EUR,10551.48,715.995,66209.34
CHE,Switzerland,HI,Europe,EUR,8870.56,788.335,89537.32
TJK,Tajikistan,LM,Central and Southern Asia,CSA,10389.81,53.679,5360.89
THA,Thailand,UM,"South East Asia, East Asia, and Oceania",SEAO,71702.43,1578.45,22490.57
TGO,Togo,LI,Sub-Saharan Africa,SSA,9304.34,25.103,2767.56
TTO,Trinidad and Tobago,HI,Latin America and the Caribbean,LCN,1502.95,43.658,30718.75
TUN,Tunisia,LM,Northern Africa and Western Asia,NAWA,12200.43,162.097,13248.95
TUR,Türkiye,UM,Northern Africa and Western Asia,NAWA,87270.5,3613.54,41887.53
UGA,Uganda,LI,Sub-Saharan Africa,SSA,48656.61,145.157,3222.4
UKR,Ukraine,LM,Europe,EUR,37732.88,474.773,14303.98
ARE,United Arab Emirates,HI,Northern Africa and Western Asia,NAWA,10667.12,895.166,88961.77
GBR,United Kingdom,HI,Europe,EUR,68682.99,3871.79,56835.72
TZA,United Republic of Tanzania,LM,Sub-Saharan Africa,SSA,66617.61,227.725,3595.1
USA,United States of America,HI,Northern America,NAC,343027.25,26949.64,80412.41
URY,Uruguay,HI,Latin America and the Caribbean,LCN,3388.08,103.372,28983.79
UZB,Uzbekistan,LM,Central and Southern Asia,CSA,35652.3,371.646,10316.37
VNM,Viet Nam,LM,"South East Asia, East Asia, and Oceania",SEAO,100352.19,1434.21,14285.09
ZMB,Zambia,LM,Sub-Saharan Africa,SSA,20723.97,83.687,4068.44
ZWE,Zimbabwe,LM,Sub-Saharan Africa,SSA,16340.84,44.448,2749.78
