ISO3,ECONOMY_NAME,INCOME,REG_UN,REG_UN_CODE,POP,PPPGDP,PPPPC
ALB,Albania,UM,Europe,EUR,2842.32,51.189,17858.42
DZA,Algeria,LM,Northern Africa and Western Asia,NAWA,44903.23,600.668,13323.93
AGO,Angola,LM,Sub-Saharan Africa,SSA,35588.99,245.442,7455.47
ARG,Argentina,UM,Latin America and the Caribbean,LCN,45510.32,1207.23,26073.8
ARM,Armenia,UM,Northern Africa and Western Asia,NAWA,2780.47,49.767,16798
AUS,Australia,HI,"South East Asia, East Asia, and Oceania",SEAO,26177.41,1615.29,62191.59
AUT,Austria,HI,Europe,EUR,8939.62,599.47,66680.12
AZE,Azerbaijan,UM,Northern Africa and Western Asia,NAWA,10358.07,178.679,17448.2
BHR,Bahrain,HI,Northern Africa and Western Asia,NAWA,1472.23,87.905,57921.47
BGD,Bangladesh,LM,Central and Southern Asia,CSA,171186.37,1345.65,7985.1
BLR,Belarus,UM,Europe,EUR,9534.95,201.967,21709.28
BEL,Belgium,HI,Europe,EUR,11655.93,723.09,62065.14
BEN,Benin,LM,Sub-Saharan Africa,SSA,13352.86,53.699,4182.9
BOL,Bolivia (Plurinational State of),LM,Latin America and the Caribbean,LCN,12224.11,118.802,9933.29
BIH,Bosnia and Herzegovina,UM,Europe,EUR,3233.53,62.165,17899.1
BWA,Botswana,UM,Sub-Saharan Africa,SSA,2630.3,47.046,19198.58
BRA,Brazil,UM,Latin America and the Caribbean,LCN,215313.5,3782.76,17683.84
BRN,Brunei Darussalam,HI,"South East Asia, East Asia, and Oceania",SEAO,449,31.904,74195.97
BGR,Bulgaria,UM,Europe,EUR,6781.95,198.349,29177.96
BFA,Burkina Faso,LI,Sub-Saharan Africa,SSA,22673.76,58.812,2655.6
BDI,Burundi,LI,Sub-Saharan Africa,SSA,12889.58,10.898,865.04
CPV,Cabo Verde,LM,Sub-Saharan Africa,SSA,593.15,4.823,8459.81
KHM,Cambodia,LM,"South East Asia, East Asia, and Oceania",SEAO,16767.84,89.289,5582.96
