ECONOMY_NAME,ISO3,ISO2,POP,NGDPD,PPPPC,INCOME,REGION_WB,REG_UN,REG_UN_CODE,SubReg,EU27,YEAR,PPPGDP
Republic of Moldova,MDA,,4024,,14258,UM,,Europe,EUR,,,2022,36.9
Romania,ROU,,19128,,33833,UM,,Europe,EUR,,,2022,653.9
Russian Federation,RUS,,145912,,30431,UM,,Europe,EUR,,,2022,4447.5
Rwanda,RWA,,13277,,2410,LI,,Sub-Saharan Africa,SSA,,,2022,31.2
Saudi Arabia,SAU,,35341,,48908,HI,,Northern Africa and Western Asia,NAWA,,,2022,1734.2
Senegal,SEN,,17196,,3699,LM,,Sub-Saharan Africa,SSA,,,2022,63.6
Serbia,SRB,,8698,,21243,UM,,Europe,EUR,,,2022,146.6
Singapore,SGP,,5897,,107677,HI,,"South East Asia, East Asia, and Oceania",SEAO,,,2022,615.3
Slovakia,SVK,,5461,,35547,HI,,Europe,EUR,,,2022,194.1
Slovenia,SVN,,2079,,43206,HI,,Europe,EUR,,,2022,90.9
South Africa,ZAF,,60042,,14239,UM,,Sub-Saharan Africa,SSA,,,2022,861.9
Spain,ESP,,46745,,42074,HI,,Europe,EUR,,,2022,1984
Sri Lanka,LKA,,21497,,14123,LM,,Central and Southern Asia,CSA,,,2022,311.2
Sweden,SWE,,10160,,57425,HI,,Europe,EUR,,,2022,609.5
Switzerland,CHE,,8715,,78112,HI,,Europe,EUR,,,2022,677.3
Tajikistan,TJK,,9750,,3923,LM,,Central and Southern Asia,CSA,,,2022,37.9
Thailand,THA,,69951,,19028,UM,,"South East Asia, East Asia, and Oceania",SEAO,,,2022,1331
Togo,TGO,,8478,,2353,LI,,Sub-Saharan Africa,SSA,,,2022,20
Trinidad and Tobago,TTO,,1403,,25526,HI,,Latin America and the Caribbean,LCN,,,2022,35.9
Tunisia,TUN,,11936,,10720,LM,,Northern Africa and Western Asia,NAWA,,,2022,128.8
Türkiye,TUR,,85043,,33963,UM,,Northern Africa and Western Asia,NAWA,,,2022,2873.8
Uganda,UGA,,47124,,2729,LI,,Sub-Saharan Africa,SSA,,,2022,115.9
Ukraine,UKR,,43467,,14146,LM,,Europe,EUR,,,2022,584.1
United Arab Emirates,ARE,,9991,,74245,HI,,Northern Africa and Western Asia,NAWA,,,2022,699.4
United Kingdom,GBR,,68207,,48693,HI,,Europe,EUR,,,2022,3276.1
United Republic of Tanzania,TZA,,61498,,3062,LM,,Sub-Saharan Africa,SSA,,,2022,182.9
United States of America,USA,,332915,,69375,HI,,Northern America,NAC,,,2022,22939.6
Uruguay,URY,,3485,,23869,HI,,Latin America and the Caribbean,LCN,,,2022,84.6
Uzbekistan,UZB,,33936,,8452,LM,,Central and Southern Asia,CSA,,,2022,291.2
Viet Nam,VNM,,98169,,11608,LM,,"South East Asia, East Asia, and Oceania",SEAO,,,2022,1141.3
Yemen,YEM,,30491,,1827,LI,,Northern Africa and Western Asia,NAWA,,,2022,60.8
Zambia,ZMB,,18921,,3410,LM,,Sub-Saharan Africa,SSA,,,2022,66.4
Zimbabwe,ZWE,,15092,,2408,LM,,Sub-Saharan Africa,SSA,,,2022,37.3
Albania,ALB,,2842.32,,17858.42,UM,,Europe,EUR,,,2023,51.189
Algeria,DZA,,44903.23,,13323.93,LM,,Northern Africa and Western Asia,NAWA,,,2023,600.668
Angola,AGO,,35588.99,,7455.47,LM,,Sub-Saharan Africa,SSA,,,2023,245.442
Argentina,ARG,,45510.32,,26073.8,UM,,Latin America and the Caribbean,LCN,,,2023,1207.23
Armenia,ARM,,2780.47,,16798,UM,,Northern Africa and Western Asia,NAWA,,,2023,49.767
Australia,AUS,,26177.41,,62191.59,HI,,"South East Asia, East Asia, and Oceania",SEAO,,,2023,1615.29
Austria,AUT,,8939.62,,66680.12,HI,,Europe,EUR,,,2023,599.47
Azerbaijan,AZE,,10358.07,,17448.2,UM,,Northern Africa and Western Asia,NAWA,,,2023,178.679
Bahrain,BHR,,1472.23,,57921.47,HI,,Northern Africa and Western Asia,NAWA,,,2023,87.905
Bangladesh,BGD,,171186.37,,7985.1,LM,,Central and Southern Asia,CSA,,,2023,1345.65
Belarus,BLR,,9534.95,,21709.28,UM,,Europe,EUR,,,2023,201.967
Belgium,BEL,,11655.93,,62065.14,HI,,Europe,EUR,,,2023,723.09
Benin,BEN,,13352.86,,4182.9,LM,,Sub-Saharan Africa,SSA,,,2023,53.699
Bolivia (Plurinational State of),BOL,,12224.11,,9933.29,LM,,Latin America and the Caribbean,LCN,,,2023,118.802
Bosnia and Herzegovina,BIH,,3233.53,,17899.1,UM,,Europe,EUR,,,2023,62.165
Botswana,BWA,,2630.3,,19198.58,UM,,Sub-Saharan Africa,SSA,,,2023,47.046
Brazil,BRA,,215313.5,,17683.84,UM,,Latin America and the Caribbean,LCN,,,2023,3782.76
Brunei Darussalam,BRN,,449,,74195.97,HI,,"South East Asia, East Asia, and Oceania",SEAO,,,2023,31.904
Bulgaria,BGR,,6781.95,,29177.96,UM,,Europe,EUR,,,2023,198.349
Burkina Faso,BFA,,22673.76,,2655.6,LI,,Sub-Saharan Africa,SSA,,,2023,58.812
Burundi,BDI,,12889.58,,865.04,LI,,Sub-Saharan Africa,SSA,,,2023,10.898
Cabo Verde,CPV,,593.15,,8459.81,LM,,Sub-Saharan Africa,SSA,,,2023,4.823
Cambodia,KHM,,16767.84,,5582.96,LM,,"South East Asia, East Asia, and Oceania",SEAO,,,2023,89.289
Cameroon,CMR,,27914.54,,4418.99,LM,,Sub-Saharan Africa,SSA,,,2023,123.341
Canada,CAN,,38454.33,,57827.45,HI,,Northern America,NAC,,,2023,2240.39
Chile,CHL,,19603.73,,28887.5,HI,,Latin America and the Caribbean,LCN,,,2023,575.516
China,CHN,,1425887.34,,21290.89,UM,,"South East Asia, East Asia, and Oceania",SEAO,,,2023,30074.38
Colombia,COL,,51874.02,,18693.14,UM,,Latin America and the Caribbean,LCN,,,2023,964.743
Costa Rica,CRI,,5180.83,,24836.58,UM,,Latin America and the Caribbean,LCN,,,2023,129.95
CÃ´te d'Ivoire,CIV,,28160.54,,6397,LM,,Sub-Saharan Africa,SSA,,,2023,181.533
Croatia,HRV,,4030.36,,37549.8,HI,,Europe,EUR,,,2023,150.433
Cyprus,CYP,,1251.49,,49504.44,HI,,Northern Africa and Western Asia,NAWA,,,2023,44.762
Czech Republic,CZE,,10493.99,,48918.58,HI,,Europe,EUR,,,2023,514.732
Denmark,DNK,,5882.26,,69845.09,HI,,Europe,EUR,,,2023,411.039
Dominican Republic,DOM,,11228.82,,24119.55,UM,,Latin America and the Caribbean,LCN,,,2023,256.446
Ecuador,ECU,,18001,,12763.08,UM,,Latin America and the Caribbean,LCN,,,2023,229.815
Egypt,EGY,,110990.1,,15958.55,LM,,Northern Africa and Western Asia,NAWA,,,2023,1661.96
El Salvador,SLV,,6336.39,,10576.06,LM,,Latin America and the Caribbean,LCN,,,2023,69.285
Estonia,EST,,1326.06,,46125.98,HI,,Europe,EUR,,,2023,61.389
Ethiopia,ETH,,123379.92,,3433.96,LI,,Sub-Saharan Africa,SSA,,,2023,347.847
Finland,FIN,,5540.75,,58659,HI,,Europe,EUR,,,2023,324.829
France,FRA,,64626.63,,56199.9,HI,,Europe,EUR,,,2023,3688.32
Georgia,GEO,,3744.39,,19788.5,UM,,Northern Africa and Western Asia,NAWA,,,2023,73.579
Germany,DEU,,83369.84,,63834.86,HI,,Europe,EUR,,,2023,5316.93
Ghana,GHA,,33475.87,,6780.28,LM,,Sub-Saharan Africa,SSA,,,2023,217.525
Greece,GRC,,10384.97,,36465.54,HI,,Europe,EUR,,,2023,387.801
Guatemala,GTM,,17843.91,,9931.43,UM,,Latin America and the Caribbean,LCN,,,2023,185.849
Guinea,GIN,,13859.34,,2993.08,LI,,Sub-Saharan Africa,SSA,,,2023,43.922
Honduras,HND,,10432.86,,6769.15,LM,,Latin America and the Caribbean,LCN,,,2023,69.684
"Hong Kong, China",HKG,,7488.87,,69987.04,HI,,"South East Asia, East Asia, and Oceania",SEAO,,,2023,518.743
Hungary,HUN,,9967.31,,42132.31,HI,,Europe,EUR,,,2023,409.834
Iceland,ISL,,372.9,,66466.99,HI,,Europe,EUR,,,2023,24.888
India,IND,,1417173.17,,8293.2,LM,,Central and Southern Asia,CSA,,,2023,11665.49
Indonesia,IDN,,275501.34,,14638.41,LM,,"South East Asia, East Asia, and Oceania",SEAO,,,2023,4023.5
Iran (Islamic Republic of),IRN,,88550.57,,18663.23,LM,,Central and Southern Asia,CSA,,,2023,1599.25
Ireland,IRL,,5023.11,,131034.14,HI,,Europe,EUR,,,2023,666.309
Israel,ISR,,9038.31,,52173.08,HI,,Northern Africa and Western Asia,NAWA,,,2023,496.841
Italy,ITA,,59037.47,,51061.79,HI,,Europe,EUR,,,2023,3022.16
Jamaica,JAM,,2827.38,,11962.38,UM,,Latin America and the Caribbean,LCN,,,2023,32.818
Japan,JPN,,123951.69,,48812.76,HI,,"South East Asia, East Asia, and Oceania",SEAO,,,2023,6109.96
Jordan,JOR,,11285.87,,11974.86,UM,,Northern Africa and Western Asia,NAWA,,,2023,123.351
Kazakhstan,KAZ,,19398,,30827.31,UM,,Central and Southern Asia,CSA,,,2023,596.666
Kenya,KEN,,54027.49,,6121.95,LM,,Sub-Saharan Africa,SSA,,,2023,311.753
Kuwait,KWT,,4268.87,,51527.92,HI,,Northern Africa and Western Asia,NAWA,,,2023,248.113
Kyrgyzstan,KGZ,,6630.62,,5771.06,LM,,Central and Southern Asia,CSA,,,2023,39.214
Lao People's Democratic Republic,LAO,,7529.48,,9166.25,LM,,"South East Asia, East Asia, and Oceania",SEAO,,,2023,68.573
Latvia,LVA,,1850.65,,38123.99,HI,,Europe,EUR,,,2023,72.033
Lebanon,LBN,,5489.74,,,LM,,Northern Africa and Western Asia,NAWA,,,2023,
Lithuania,LTU,,2750.06,,46158.6,HI,,Europe,EUR,,,2023,130.67
Luxembourg,LUX,,647.6,,141587.11,HI,,Europe,EUR,,,2023,91.107
Madagascar,MDG,,29611.71,,1790.29,LI,,Sub-Saharan Africa,SSA,,,2023,51.849
Malaysia,MYS,,33938.22,,33112.71,UM,,"South East Asia, East Asia, and Oceania",SEAO,,,2023,1096.51
Mali,MLI,,22593.59,,2608.76,LI,,Sub-Saharan Africa,SSA,,,2023,56.051
Malta,MLT,,533.29,,56337.69,HI,,Europe,EUR,,,2023,29.367
Mauritania,MRT,,4736.14,,6924.85,LM,,Sub-Saharan Africa,SSA,,,2023,30.013
Mauritius,MUS,,1299.47,,25372.21,UM,,Sub-Saharan Africa,SSA,,,2023,32.013
Mexico,MEX,,127504.13,,22440.14,UM,,Latin America and the Caribbean,LCN,,,2023,2919.88
Mongolia,MNG,,3398.37,,13611.35,LM,,"South East Asia, East Asia, and Oceania",SEAO,,,2023,47.115
Montenegro,MNE,,627.08,,26032.37,UM,,Europe,EUR,,,2023,16.195
Morocco,MAR,,37457.97,,9808.32,LM,,Northern Africa and Western Asia,NAWA,,,2023,359.671
Mozambique,MOZ,,32969.52,,1457.11,LI,,Sub-Saharan Africa,SSA,,,2023,48.04
Namibia,NAM,,2567.01,,10790.65,UM,,Sub-Saharan Africa,SSA,,,2023,28.021
Nepal,NPL,,30547.58,,4676.57,LM,,Central and Southern Asia,CSA,,,2023,141.161
Netherlands,NLD,,17564.01,,69714.52,HI,,Europe,EUR,,,2023,1226.66
New Zealand,NZL,,5185.29,,50851.08,HI,,"South East Asia, East Asia, and Oceania",SEAO,,,2023,261.039
Nicaragua,NIC,,6948.39,,7154.43,LM,,Latin America and the Caribbean,LCN,,,2023,47.273
Niger,NER,,26207.98,,1443.35,LI,,Sub-Saharan Africa,SSA,,,2023,37.648
Nigeria,NGA,,218541.21,,5883.81,LM,,Sub-Saharan Africa,SSA,,,2023,1275.3
North Macedonia,MKD,,2093.6,,19783.01,UM,,Europe,EUR,,,2023,40.927
Norway,NOR,,5434.32,,78127.61,HI,,Europe,EUR,,,2023,425.612
Oman,OMN,,4576.3,,41150,HI,,Northern Africa and Western Asia,NAWA,,,2023,190.475
Pakistan,PAK,,235824.86,,6662.11,LM,,Central and Southern Asia,CSA,,,2023,1512.48
Panama,PAN,,4408.58,,36370.38,HI,,Latin America and the Caribbean,LCN,,,2023,159.863
Paraguay,PRY,,6780.74,,14528.42,UM,,Latin America and the Caribbean,LCN,,,2023,108.29
Peru,PER,,34049.59,,15273.23,UM,,Latin America and the Caribbean,LCN,,,2023,521.841
Philippines,PHL,,115559.01,,10343.63,LM,,"South East Asia, East Asia, and Oceania",SEAO,,,2023,1154.88
Poland,POL,,39857.15,,42465.86,HI,,Europe,EUR,,,2023,1599.02
Portugal,PRT,,10270.87,,42066.5,HI,,Europe,EUR,,,2023,432.063
Qatar,QAT,,2695.12,,113674.65,HI,,Northern Africa and Western Asia,NAWA,,,2023,303.596
Republic of Korea,KOR,,51815.81,,53574.17,HI,,"South East Asia, East Asia, and Oceania",SEAO,,,2023,2765.83
Republic of Moldova,MDA,,3273,,16482.63,UM,,Europe,EUR,,,2023,41.882
Romania,ROU,,19659.27,,38096.84,HI,,Europe,EUR,,,2023,731.466
Russian Federation,RUS,,144713.31,,31967.03,UM,,Europe,EUR,,,2023,4649.67
Rwanda,RWA,,13776.7,,2835.82,LI,,Sub-Saharan Africa,SSA,,,2023,37.586
Saudi Arabia,SAU,,36408.82,,55802.34,HI,,Northern Africa and Western Asia,NAWA,,,2023,2018.26
Senegal,SEN,,17316.45,,4113.05,LM,,Sub-Saharan Africa,SSA,,,2023,72.703
Serbia,SRB,,7221.37,,24084.41,UM,,Europe,EUR,,,2023,164.835
Singapore,SGP,,5975.69,,131425.71,HI,,"South East Asia, East Asia, and Oceania",SEAO,,,2023,700.98
Slovakia,SVK,,5643.45,,38620.16,HI,,Europe,EUR,,,2023,211.118
Slovenia,SVN,,2119.84,,49967.8,HI,,Europe,EUR,,,2023,105.45
South Africa,ZAF,,59893.89,,15555.9,UM,,Sub-Saharan Africa,SSA,,,2023,949.846
Spain,ESP,,47558.63,,46551.16,HI,,Europe,EUR,,,2023,2215.99
Sri Lanka,LKA,,21832.14,,14230.06,LM,,Central and Southern Asia,CSA,,,2023,318.69
Sweden,SWE,,10549.35,,63877.42,HI,,Europe,EUR,,,2023,684.458
Switzerland,CHE,,8740.47,,84468.91,HI,,Europe,EUR,,,2023,737.838
Tajikistan,TJK,,9952.79,,4802.83,LM,,Central and Southern Asia,CSA,,,2023,47.241
Thailand,THA,,71697.03,,21114.18,UM,,"South East Asia, East Asia, and Oceania",SEAO,,,2023,1479.64
Togo,TGO,,8848.7,,2618.52,LI,,Sub-Saharan Africa,SSA,,,2023,22.781
Trinidad and Tobago,TTO,,1531.04,,29797.28,HI,,Latin America and the Caribbean,LCN,,,2023,42.136
Tunisia,TUN,,12356.12,,12490.2,LM,,Northern Africa and Western Asia,NAWA,,,2023,151.495
TÃ¼rkiye,TUR,,85341.24,,38759.39,UM,,Northern Africa and Western Asia,NAWA,,,2023,3320.99
Uganda,UGA,,47249.59,,3018.46,LI,,Sub-Saharan Africa,SSA,,,2023,132.01
Ukraine,UKR,,39701.74,,,LM,,Europe,EUR,,,2023,
United Arab Emirates,ARE,,9441.13,,77272.3,HI,,Northern Africa and Western Asia,NAWA,,,2023,814.733
United Kingdom,GBR,,67508.94,,55862.09,HI,,Europe,EUR,,,2023,3776.04
United Republic of Tanzania,TZA,,65497.75,,3374.25,LM,,Sub-Saharan Africa,SSA,,,2023,207.55
United States of America,USA,,338289.86,,75179.59,HI,,Northern America,NAC,,,2023,25035.16
Uruguay,URY,,3422.79,,27232.79,HI,,Latin America and the Caribbean,LCN,,,2023,96.81
Uzbekistan,UZB,,34627.65,,9478.46,LM,,Central and Southern Asia,CSA,,,2023,334.318
Viet Nam,VNM,,98186.86,,13074.99,LM,,"South East Asia, East Asia, and Oceania",SEAO,,,2023,1299.69
Zambia,ZMB,,20017.68,,3808.05,LI,,Sub-Saharan Africa,SSA,,,2023,76.325
Zimbabwe,ZWE,,16320.54,,2554.73,LM,,Sub-Saharan Africa,SSA,,,2023,40.408
Albania,ALB,,2811.65,,19566.01,UM,,Europe,EUR,,,2024,55.928
Algeria,DZA,,46164.22,,13681.62,LM,,Northern Africa and Western Asia,NAWA,,,2024,628.99
Angola,AGO,,36749.91,,7077.3,LM,,Sub-Saharan Africa,SSA,,,2024,260.323
Argentina,ARG,,45538.4,,26506.09,UM,,Latin America and the Caribbean,LCN,,,2024,1239.52
Armenia,ARM,,2943.38,,19744.71,UM,,Northern Africa and Western Asia,NAWA,,,2024,58.497
Australia,AUS,,26451.12,,64673.83,HI,,"South East Asia, East Asia, and Oceania",SEAO,,,2024,1719.26
Austria,AUT,,9130.43,,69069,HI,,Europe,EUR,,,2024,626.458
Azerbaijan,AZE,,10318.22,,18694.36,UM,,Northern Africa and Western Asia,NAWA,,,2024,192.146
Bahrain,BHR,,1569.69,,60715.02,HI,,Northern Africa and Western Asia,NAWA,,,2024,95.973
Bangladesh,BGD,,171467.02,,8673.26,LM,,Central and Southern Asia,CSA,,,2024,1476.87
Barbados,BRB,,245.63,,18738.27,HI,,Latin America and the Caribbean,LCN,,,2024,5.436
Belarus,BLR,,9115.67,,24016.6,UM,,Europe,EUR,,,2024,221.186
Belgium,BEL,,11712.9,,65813.45,HI,,Europe,EUR,,,2024,769.682
Benin,BEN,,14111.03,,4305.31,LM,,Sub-Saharan Africa,SSA,,,2024,59.241
Bolivia (Plurinational State of),BOL,,12244.17,,10340.34,LM,,Latin America and the Caribbean,LCN,,,2024,125.428
Bosnia and Herzegovina,BIH,,3185.08,,19633.56,UM,,Europe,EUR,,,2024,68.012
Botswana,BWA,,2480.26,,19394.05,UM,,Sub-Saharan Africa,SSA,,,2024,51.886
Brazil,BRA,,211140.73,,20078.87,UM,,Latin America and the Caribbean,LCN,,,2024,4101.02
Brunei Darussalam,BRN,,458.93,,72609.57,HI,,"South East Asia, East Asia, and Oceania",SEAO,,,2024,32
Bulgaria,BGR,,6795.8,,33780.38,UM,,Europe,EUR,,,2024,216.499
Burkina Faso,BFA,,23025.78,,2682.63,LI,,Sub-Saharan Africa,SSA,,,2024,62.788
Burundi,BDI,,13689.47,,890.18,LI,,Sub-Saharan Africa,SSA,,,2024,11.551
Cabo Verde,CPV,,522.32,,9909.37,LM,,Sub-Saharan Africa,SSA,,,2024,5.717
Cambodia,KHM,,17423.91,,6086.74,LM,,"South East Asia, East Asia, and Oceania",SEAO,,,2024,98.319
Cameroon,CMR,,28372.67,,4660.75,LM,,Sub-Saharan Africa,SSA,,,2024,133.335
Canada,CAN,,39296.57,,59813.41,HI,,Northern America,NAC,,,2024,2378.97
Chile,CHL,,19658.83,,29934.53,HI,,Latin America and the Caribbean,LCN,,,2024,597.52
China,CHN,,1422584.93,,23308.77,UM,,"South East Asia, East Asia, and Oceania",SEAO,,,2024,32897.93
Colombia,COL,,52321.17,,19482.31,UM,,Latin America and the Caribbean,LCN,,,2024,1016.12
Costa Rica,CRI,,5105.52,,26809.25,UM,,Latin America and the Caribbean,LCN,,,2024,141.527
Croatia,HRV,,3896.04,,42873.04,HI,,Europe,EUR,,,2024,164.672
Cyprus,CYP,,1344.95,,53931.29,HI,,Northern Africa and Western Asia,NAWA,,,2024,49.655
Czech Republic,CZE,,10809.73,,49025.44,HI,,Europe,EUR,,,2024,539.318
Côte d'Ivoire,CIV,,31165.69,,6960.09,LM,,Sub-Saharan Africa,SSA,,,2024,202.647
Denmark,DNK,,5948.13,,74957.66,HI,,Europe,EUR,,,2024,441.754
Dominican Republic,DOM,,11331.29,,25523.02,UM,,Latin America and the Caribbean,LCN,,,2024,273.703
Ecuador,ECU,,17980.09,,13285.24,UM,,Latin America and the Caribbean,LCN,,,2024,242.579
Egypt,EGY,,114535.77,,17123.03,LM,,Northern Africa and Western Asia,NAWA,,,2024,1809.43
El Salvador,SLV,,6309.63,,11717.11,UM,,Latin America and the Caribbean,LCN,,,2024,74.505
Estonia,EST,,1367.13,,45235.53,HI,,Europe,EUR,,,2024,60.997
Ethiopia,ETH,,128691.68,,3719.22,LI,,Sub-Saharan Africa,SSA,,,2024,393.297
Finland,FIN,,5601.19,,59869.12,HI,,Europe,EUR,,,2024,335.76
France,FRA,,66438.83,,58765.13,HI,,Europe,EUR,,,2024,3868.62
Georgia,GEO,,3807.47,,22357.41,UM,,Northern Africa and Western Asia,NAWA,,,2024,82.21
Germany,DEU,,84548.24,,66037.76,HI,,Europe,EUR,,,2024,5537.99
Ghana,GHA,,33787.93,,6905.04,LM,,Sub-Saharan Africa,SSA,,,2024,227.189
Greece,GRC,,10242.9,,39864.06,HI,,Europe,EUR,,,2024,416.969
Guatemala,GTM,,18124.85,,10595.28,UM,,Latin America and the Caribbean,LCN,,,2024,201.365
Honduras,HND,,10644.84,,7162.66,LM,,Latin America and the Caribbean,LCN,,,2024,75.03
"Hong Kong, China",HKG,,7442.71,,72860.76,HI,,"South East Asia, East Asia, and Oceania",SEAO,,,2024,548.999
Hungary,HUN,,9686.46,,43601.43,HI,,Europe,EUR,,,2024,421.683
Iceland,ISL,,386.98,,69833.11,HI,,Europe,EUR,,,2024,27.078
India,IND,,1439163.44,,9183.37,LM,,Central and Southern Asia,CSA,,,2024,13119.62
Indonesia,IDN,,281190.1,,15835.82,UM,,"South East Asia, East Asia, and Oceania",SEAO,,,2024,4393.37
Iran (Islamic Republic of),IRN,,90608.71,,19941.53,LM,,Central and Southern Asia,CSA,,,2024,1725.87
Ireland,IRL,,5196.64,,137638.2,HI,,Europe,EUR,,,2024,722.929
Israel,ISR,,9256.32,,54771.43,HI,,Northern Africa and Western Asia,NAWA,,,2024,537.14
Italy,ITA,,59499.43,,54258.99,HI,,Europe,EUR,,,2024,3193.18
Jamaica,JAM,,2839.78,,12994.58,UM,,Latin America and the Caribbean,LCN,,,2024,35.69
Japan,JPN,,124370.95,,52119.56,HI,,"South East Asia, East Asia, and Oceania",SEAO,,,2024,6495.21
Jordan,JOR,,11439.23,,12809.17,LM,,Northern Africa and Western Asia,NAWA,,,2024,132.092
Kazakhstan,KAZ,,20432.42,,32712.12,UM,,Central and Southern Asia,CSA,,,2024,654.05
Kenya,KEN,,55339.01,,6576.85,LM,,Sub-Saharan Africa,SSA,,,2024,338.964
Kuwait,KWT,,4838.79,,51764.83,HI,,Northern Africa and Western Asia,NAWA,,,2024,256.593
Kyrgyzstan,KGZ,,7073.5,,6438.07,LM,,Central and Southern Asia,CSA,,,2024,44.623
Lao People's Democratic Republic,LAO,,7664.99,,9787.05,LM,,"South East Asia, East Asia, and Oceania",SEAO,,,2024,74.205
Latvia,LVA,,1882.41,,40891.8,HI,,Europe,EUR,,,2024,76.55
Lebanon,LBN,,5773.49,,,LM,,Northern Africa and Western Asia,NAWA,,,2024,
Lithuania,LTU,,2854.11,,49244.69,HI,,Europe,EUR,,,2024,137.328
Luxembourg,LUX,,665.09,,143303.6,HI,,Europe,EUR,,,2024,94.152
Madagascar,MDG,,31195.96,,1906.65,LI,,Sub-Saharan Africa,SSA,,,2024,56.754
Malaysia,MYS,,35126.31,,37082.84,UM,,"South East Asia, East Asia, and Oceania",SEAO,,,2024,1225.93
Mali,MLI,,23769.15,,2639.38,LI,,Sub-Saharan Africa,SSA,,,2024,61.625
Malta,MLT,,532.96,,63481.05,HI,,Europe,EUR,,,2024,33.303
Mauritania,MRT,,5022.44,,7542.41,LM,,Sub-Saharan Africa,SSA,,,2024,33.414
Mauritius,MUS,,1273.6,,29349.35,UM,,Sub-Saharan Africa,SSA,,,2024,37.012
Mexico,MEX,,129739.77,,24975.95,UM,,Latin America and the Caribbean,LCN,,,2024,3277.6
Mongolia,MNG,,3431.95,,15088,LM,,"South East Asia, East Asia, and Oceania",SEAO,,,2024,52.989
Montenegro,MNE,,633.57,,28002.05,UM,,Europe,EUR,,,2024,17.431
Morocco,MAR,,37712.53,,10408.31,LM,,Northern Africa and Western Asia,NAWA,,,2024,385.337
Mozambique,MOZ,,33635.14,,1584.49,LI,,Sub-Saharan Africa,SSA,,,2024,53.71
Myanmar,MMR,,54133.8,,5124.37,LM,,"South East Asia, East Asia, and Oceania",SEAO,,,2024,277.767
Namibia,NAM,,2963.12,,11603.03,UM,,Sub-Saharan Africa,SSA,,,2024,30.663
Nepal,NPL,,29694.6,,4934.16,LM,,Central and Southern Asia,CSA,,,2024,150.8
Netherlands (Kingdom of the),NLD,,18092.53,,73316.85,HI,,Europe,EUR,,,2024,1297.02
New Zealand,NZL,,5172.86,,53809.19,HI,,"South East Asia, East Asia, and Oceania",SEAO,,,2024,279.183
Nicaragua,NIC,,6823.63,,7642.31,LM,,Latin America and the Caribbean,LCN,,,2024,51.022
Niger,NER,,26159.86,,1579.05,LI,,Sub-Saharan Africa,SSA,,,2024,42.739
Nigeria,NGA,,227882.92,,6147.68,LM,,Sub-Saharan Africa,SSA,,,2024,1365.9
North Macedonia,MKD,,1831.79,,21391.25,UM,,Europe,EUR,,,2024,44.055
Norway,NOR,,5519.14,,82236.12,HI,,Europe,EUR,,,2024,452.964
Oman,OMN,,5049.28,,39336.14,HI,,Northern Africa and Western Asia,NAWA,,,2024,200.295
Pakistan,PAK,,247504.49,,6773.55,LM,,Central and Southern Asia,CSA,,,2024,1568.43
Panama,PAN,,4458.76,,42738.2,HI,,Latin America and the Caribbean,LCN,,,2024,190.306
Paraguay,PRY,,6844.15,,15533.1,UM,,Latin America and the Caribbean,LCN,,,2024,117.349
Peru,PER,,33845.63,,15893.53,UM,,Latin America and the Caribbean,LCN,,,2024,548.465
Philippines,PHL,,114891.21,,11326.01,LM,,"South East Asia, East Asia, and Oceania",SEAO,,,2024,1278.62
Poland,POL,,38762.83,,45538.13,HI,,Europe,EUR,,,2024,1712.63
Portugal,PRT,,10430.75,,45226.98,HI,,Europe,EUR,,,2024,465.131
Qatar,QAT,,2979.09,,114210.4,HI,,Northern Africa and Western Asia,NAWA,,,2024,328.134
Republic of Korea,KOR,,51748.75,,56708.95,HI,,"South East Asia, East Asia, and Oceania",SEAO,,,2024,2924.19
Republic of Moldova,MDA,,3067.1,,16915.71,UM,,Europe,EUR,,,2024,42.217
Romania,ROU,,19118.48,,41029.18,HI,,Europe,EUR,,,2024,780.797
Russian Federation,RUS,,145790.27,,35309.62,UM,,Europe,EUR,,,2024,5056.48
Rwanda,RWA,,13954.47,,3137,LI,,Sub-Saharan Africa,SSA,,,2024,42.346
Saudi Arabia,SAU,,32263.24,,68452.85,HI,,Northern Africa and Western Asia,NAWA,,,2024,2246.54
Senegal,SEN,,18077.59,,4324.88,LM,,Sub-Saharan Africa,SSA,,,2024,78.547
Serbia,SRB,,6773.19,,26074.16,UM,,Europe,EUR,,,2024,173.075
Singapore,SGP,,5789.1,,133107.6,HI,,"South East Asia, East Asia, and Oceania",SEAO,,,2024,753.273
Slovakia,SVK,,5518.04,,42228.01,HI,,Europe,EUR,,,2024,229.584
Slovenia,SVN,,2118.42,,51406.56,HI,,Europe,EUR,,,2024,108.683
South Africa,ZAF,,63212.41,,16211.16,UM,,Sub-Saharan Africa,SSA,,,2024,997.444
Spain,ESP,,47911.59,,50471.69,HI,,Europe,EUR,,,2024,2413.07
Sri Lanka,LKA,,22971.62,,,LM,,Central and Southern Asia,CSA,,,2024,
Sweden,SWE,,10551.48,,66209.34,HI,,Europe,EUR,,,2024,715.995
Switzerland,CHE,,8870.56,,89537.32,HI,,Europe,EUR,,,2024,788.335
Tajikistan,TJK,,10389.81,,5360.89,LM,,Central and Southern Asia,CSA,,,2024,53.679
Thailand,THA,,71702.43,,22490.57,UM,,"South East Asia, East Asia, and Oceania",SEAO,,,2024,1578.45
Togo,TGO,,9304.34,,2767.56,LI,,Sub-Saharan Africa,SSA,,,2024,25.103
