ISO3,ECONOMY_NAME,INCOME,REG_UN,REG_UN_CODE,POP,PPPGDP,PPPPC
ALB,Albania,UM,Europe,EUR,2791.76,58.196,21376.59
DZA,Algeria,UM,Northern Africa and Western Asia,NAWA,46814.31,826.136,17718.29
AGO,Angola,LM,Sub-Saharan Africa,SSA,37885.85,374.937,9801
ARG,Argentina,UM,Latin America and the Caribbean,LCN,45696.16,1353.804,28704.1
ARM,Armenia,UM,Northern Africa and Western Asia,NAWA,2973.84,69.297,23376.23
AUS,Australia,HI,"South East Asia, East Asia, and Oceania",SEAO,26713.21,1897.885,69475.41
AUT,Austria,HI,Europe,EUR,9120.82,667.153,73050.85
AZE,Azerbaijan,UM,Northern Africa and Western Asia,NAWA,10336.58,253.121,24698.09
BHR,Bahrain,HI,Northern Africa and Western Asia,NAWA,1607.05,105.646,65344.83
BGD,Bangladesh,LM,Central and Southern Asia,CSA,173562.36,1692.743,9840.47
BRB,Barbados,HI,Latin America and the Caribbean,LCN,282.47,6.408,22034.88
BLR,Belarus,UM,Europe,EUR,9056.7,293.136,32098.48
BEL,Belgium,HI,Europe,EUR,11738.77,863.837,73221.64
BEN,Benin,LM,Sub-Saharan Africa,SSA,14462.73,63.541,4500.58
BOL,Bolivia (Plurinational State of),LM,Latin America and the Caribbean,LCN,12413.31,139.158,11322.89
BIH,Bosnia and Herzegovina,UM,Europe,EUR,3164.26,74.278,21498.09
BWA,Botswana,UM,Sub-Saharan Africa,SSA,2521.14,53.642,19723.37
BRA,Brazil,UM,Latin America and the Caribbean,LCN,211998.57,4702.004,22122.71
BRN,Brunei Darussalam,HI,"South East Asia, East Asia, and Oceania",SEAO,462.72,41.016,91046.4
BGR,Bulgaria,HI,Europe,EUR,6757.69,248.906,39185.32
BFA,Burkina Faso,LI,Sub-Saharan Africa,SSA,23548.78,68.58,2850.07
BDI,Burundi,LI,Sub-Saharan Africa,SSA,14047.79,13.174,985.65
CPV,Cabo Verde,LM,Sub-Saharan Africa,SSA,524.88,5.83,11397.07
KHM,Cambodia,LM,"South East Asia, East Asia, and Oceania",SEAO,17638.8,139.801,8136.53
CMR,Cameroon,LM,Sub-Saharan Africa,SSA,29123.75,163.156,5565.67
CAN,Canada,HI,Northern America,NAC,39742.43,2582.228,62765.57
CHL,Chile,HI,Latin America and the Caribbean,LCN,19764.77,674.388,33574.4
CHN,China,UM,"South East Asia, East Asia, and Oceania",SEAO,1419321.28,37072.086,26309.99
COL,Colombia,UM,Latin America and the Caribbean,LCN,52886.36,1129.638,21436.9
COG,Congo,LM,Sub-Saharan Africa,SSA,6332.96,40.403,6403.61
CRI,Costa Rica,UM,Latin America and the Caribbean,LCN,5129.91,158.645,29779.19
HRV,Croatia,HI,Europe,EUR,3875.33,187.192,48811.09
CYP,Cyprus,HI,Northern Africa and Western Asia,NAWA,1358.28,55.14,59857.88
CZE,Czech Republic,HI,Europe,EUR,10735.86,619.881,56686.22
CIV,Côte d'Ivoire,LM,Sub-Saharan Africa,SSA,31934.23,244.611,7648.16
DNK,Denmark,HI,Europe,EUR,5977.41,496.696,83454.42
DOM,Dominican Republic,UM,Latin America and the Caribbean,LCN,11427.55,312.565,28949.59
ECU,Ecuador,UM,Latin America and the Caribbean,LCN,18135.48,296.728,16515.54
EGY,Egypt,LM,Northern Africa and Western Asia,NAWA,116538.26,2231.822,20799.05
SLV,El Salvador,UM,Latin America and the Caribbean,LCN,6338.19,84.22,13172.75
EST,Estonia,HI,Europe,EUR,1360.55,65.537,48008.04
ETH,Ethiopia,LI,Sub-Saharan Africa,SSA,132059.76,434.441,4045.13
FIN,Finland,HI,Europe,EUR,5617.31,361.312,64657.34
FRA,France,HI,Europe,EUR,66548.53,4359.372,65940.41
GEO,Georgia,UM,Northern Africa and Western Asia,NAWA,3807.67,102.245,27363.37
DEU,Germany,HI,Europe,EUR,84552.24,6017.222,70930.36
GHA,Ghana,LM,Sub-Saharan Africa,SSA,34427.42,269.105,7975.13
GRC,Greece,HI,Europe,EUR,10047.82,436.757,42065.72
GTM,Guatemala,UM,Latin America and the Caribbean,LCN,18406.36,264.033,14791.41
GIN,Guinea,LM,Sub-Saharan Africa,SSA,14754.78,66.624,4321.38
HND,Honduras,LM,Latin America and the Caribbean,LCN,10825.7,81.06,7604.66
HKG,"Hong Kong, China",HI,"South East Asia, East Asia, and Oceania",SEAO,7414.91,569.828,75406.84
HUN,Hungary,HI,Europe,EUR,9676.14,448.456,46807.17
ISL,Iceland,HI,Europe,EUR,393.4,30.241,78808.04
IND,India,LM,Central and Southern Asia,CSA,1450935.79,16019.97,11111.71
IDN,Indonesia,UM,"South East Asia, East Asia, and Oceania",SEAO,283487.93,4658.321,16542.11
IRN,Iran (Islamic Republic of),UM,Central and Southern Asia,CSA,91567.74,1698.463,19606.81
IRL,Ireland,HI,Europe,EUR,5255.02,691.904,127750.16
ISR,Israel,HI,Northern Africa and Western Asia,NAWA,9387.02,541.343,54446.21
ITA,Italy,HI,Europe,EUR,59342.87,3597.954,60992.86
JAM,Jamaica,UM,Latin America and the Caribbean,LCN,2839.18,33.775,12283.26
JPN,Japan,HI,"South East Asia, East Asia, and Oceania",SEAO,123753.04,6572.198,53059.36
JOR,Jordan,LM,Northern Africa and Western Asia,NAWA,11552.88,124.284,10916.51
KAZ,Kazakhstan,UM,Central and Southern Asia,CSA,20592.57,830.605,41366.31
KEN,Kenya,LM,Sub-Saharan Africa,SSA,56432.94,375.356,7157.32
KWT,Kuwait,HI,Northern Africa and Western Asia,NAWA,4934.51,249.255,49736.26
KGZ,Kyrgyzstan,LM,Central and Southern Asia,CSA,7186.01,55.01,7772.56
LAO,Lao People's Democratic Republic,LM,"South East Asia, East Asia, and Oceania",SEAO,7769.82,74.76,9727.29
LVA,Latvia,HI,Europe,EUR,1871.87,81.798,43526.93
LBN,Lebanon,LM,Northern Africa and Western Asia,NAWA,5805.96,,
LSO,Lesotho,LM,Sub-Saharan Africa,SSA,2337.42,7.055,3260.42
LTU,Lithuania,HI,Europe,EUR,2859.11,154.615,53623.64
LUX,Luxembourg,HI,Europe,EUR,673.04,101.876,151145.79
MDG,Madagascar,LI,Sub-Saharan Africa,SSA,31964.96,60.877,1989.82
MWI,Malawi,LI,Sub-Saharan Africa,SSA,21655.29,40.074,1713.77
MYS,Malaysia,UM,"South East Asia, East Asia, and Oceania",SEAO,35557.67,1372.61,41021.96
MLI,Mali,LI,Sub-Saharan Africa,SSA,24478.59,68.526,2843.34
MLT,Malta,HI,Europe,EUR,539.61,40.316,72941.91
MRT,Mauritania,LM,Sub-Saharan Africa,SSA,5169.4,37.285,8233.32
MUS,Mauritius,UM,Sub-Saharan Africa,SSA,1271.17,40.429,32062.71
MEX,Mexico,UM,Latin America and the Caribbean,LCN,130861.01,3303.067,24971.32
MNG,Mongolia,UM,"South East Asia, East Asia, and Oceania",SEAO,3475.54,67.691,19063.37
MNE,Montenegro,UM,Europe,EUR,638.48,20.181,31858.01
MAR,Morocco,LM,Northern Africa and Western Asia,NAWA,38081.17,396.685,10615.06
MOZ,Mozambique,LI,Sub-Saharan Africa,SSA,34631.77,60.29,1729.56
MMR,Myanmar,LM,"South East Asia, East Asia, and Oceania",SEAO,54500.09,283.747,5205.77
NAM,Namibia,UM,Sub-Saharan Africa,SSA,3030.13,35.071,11730.16
NPL,Nepal,LM,Central and Southern Asia,CSA,29651.06,169.122,5348.12
NLD,Netherlands (Kingdom of the),HI,Europe,EUR,18228.74,1460.53,81494.63
NZL,New Zealand,HI,"South East Asia, East Asia, and Oceania",SEAO,5213.94,283.908,52983.05
NIC,Nicaragua,LM,Latin America and the Caribbean,LCN,6916.14,60.374,8949.81
NER,Niger,LI,Sub-Saharan Africa,SSA,27032.41,55.547,1978.17
NGA,Nigeria,LM,Sub-Saharan Africa,SSA,232679.48,1489.832,6542.59
MKD,North Macedonia,UM,Europe,EUR,1823.01,49.295,26911.82
