year,type,num_pubs
2021,Algorithmic,107
2021,Governance,130
2021,Societal,72
2022,Algorithmic,199
2022,Governance,170
2022,Societal,121
2023,Algorithmic,241
2023,Governance,278
2023,Societal,182
2024,Algorithmic,471
2024,Governance,544
2024,Societal,347
2025,Algorithmic,896
2025,Governance,1228
2025,Societal,874
