Model Name,Date of Release,Model Performance,Release Year,Parameters
Chai-1,9/2/24,0.5123,2024,440M
HelixFold3,8/15/24,0.5182,2024,370M
Boltz-1,11/19/24,0.5504,2024,610M
AlphaFold 3,5/8/24,0.649,2024,370M
Protenix v0.7,11/5/25,0.507,2025,368M
Boltz-2,6/14/25,0.539,2025,521M
RosettaFold-3,8/15/25,0.5728,2025,730M
SeedFold,12/30/25,0.631,2025,923M
