year,type,num_pubs
2021,"Medical AI, global health, and ethics",7
2021,Medical AI and global health,22
2022,"Medical AI, global health, and ethics",4
2022,Medical AI and global health,10
2023,"Medical AI, global health, and ethics",8
2023,Medical AI and global health,26
2024,"Medical AI, global health, and ethics",27
2024,Medical AI and global health,67
2025,"Medical AI, global health, and ethics",100
2025,Medical AI and global health,193
