Volume of Publications,Specialty
1.0,Anesthesia
1.0,Nephrology
1.0,Hematology
1.0,Geriatrics
1.0,ENT
1.0,PM&R
1.0,Neurosurgery
1.0,Thoracic Surgery
1.0,Transplant
2.0,Palliative Care
2.0,Gastroenterology
2.0,Endocrinology
2.0,Rheumatology
3.0,Genetics/Genomics
3.0,Ortho
3.0,Pediatric
5.0,Emergency Medicine
5.0,Cardiology
6.0,Neurology
6.0,Urology
7.0,Dermatology
7.0,Dentistry
7.0,Surgery (general)
7.0,Ophthalmology
10.0,Psychiatry
12.0,Oncology
12.0,OB/Gyn
16.0,Radiology
24.0,Internal Medicine
70.0,General Healthcare
