year,type,num_pubs
2021,Algorithmic,4
2021,Governance,2
2021,Societal,5
2022,Algorithmic,1
2022,Governance,1
2022,Societal,2
2023,Algorithmic,2
2023,Governance,4
2023,Societal,4
2024,Algorithmic,14
2024,Governance,12
2024,Societal,13
2025,Algorithmic,29
2025,Governance,43
2025,Societal,54
