Number of Devices,Clinical Specialty
1,Immunology
4,Obstetrics and Gynecology
4,General Hospital
5,Orthopedic
5,Dental
5,Clinical Toxcicology
6,General and Plastic Surgery
6,Microbiology
8,Pathology
9,Clinical Chemistry
10,Ophthalmic
20,Hematology
21,Gastroenterology-Urology
23,Anesthesiology
61,Neurology
130,Cardiovascular
1039,Radiology
