Method,Succes rate
Overall,85.86744639
BoltzGen,98.13084112
BindCraft,88.88888889
RDFDiffusion,88.23529412
Germinal,28.57142857
Mosaic,100
Overall,9.649122807
BoltzGen,1.869158879
BindCraft,7.407407407
RDFDiffusion,17.64705882
Germinal,0
Mosaic,88.88888889
