year,type,num_pubs
2021,"Medical AI, and ethics",295
2021,Medical AI,1311
2022,"Medical AI, and ethics",449
2022,Medical AI,1650
2023,"Medical AI, and ethics",624
2023,Medical AI,1900
2024,"Medical AI, and ethics",1114
2024,Medical AI,3000
2025,"Medical AI, and ethics",2378
2025,Medical AI,5477
