Model,Parameters (Billions),Release Year
ProGen,1.2,2020
ProtBert,0.42,2020
ProGen2,6.4,2022
ProtT5,1.2,2022
ESM2,15,2023
OpenCRISPR-1 (proseLM),6.4,2024
ESM3,98,2024
SHIVER,0.043,2025
PoET-2,0.182,2025
Proteina,0.4,2025
ProGen3,46,2025
MSA-Pairformer,0.111,2025
E1,0.6,2025
MSA-Transformer,0.1,2025
