fig_id,variable,entity_type,chapter
fig_8.5.1,fig_8.5.1_cumulative_value,category,8
fig_8.5.2,fig_8.5.2_Public spending on AI (in billions of US dollars),category,8
fig_8.5.4,fig_8.5.4_Value,us_state,8
fig_8.5.5,fig_8.5.5_Value,us_state,8
fig_8.5.6,fig_8.5.6_Public spending on AI-related contracts and OTAs (% of total),category,8
fig_8.5.7,fig_8.5.7_Public spending on AI-related grants (% of total),category,8
fig_8.5.8,fig_8.5.8_cumulative_value,country,8
fig_8.5.9,fig_8.5.9_N. Contracts,country,8
fig_9.1.10,fig_9.1.10_trust_ai_at_work,country,9
fig_9.1.10,fig_9.1.10_using_ai_at_work,country,9
fig_9.1.11,fig_9.1.11_% of respondents,country,9
fig_9.1.11,fig_9.1.11_Category,country,9
fig_9.1.1,fig_9.1.1_Value,category,9
fig_9.1.2,"fig_9.1.2_% of respondents that ""Agree""",country,9
fig_9.1.3,fig_9.1.3_Country,category,9
fig_9.1.3,fig_9.1.3_Response,category,9
fig_9.1.4,fig_9.1.4_Country,category,9
fig_9.1.4,fig_9.1.4_Response,category,9
fig_9.1.5,fig_9.1.5_Country,category,9
fig_9.1.5,fig_9.1.5_Response,category,9
fig_9.1.6,fig_9.1.6_Country,category,9
fig_9.1.6,fig_9.1.6_Response,category,9
fig_9.1.7,fig_9.1.7_Response,category,9
fig_9.1.8,fig_9.1.8_Label,country,9
fig_9.1.8,fig_9.1.8_Percent of respondents,country,9
fig_9.1.9,fig_9.1.9_Country,category,9
fig_9.1.9,fig_9.1.9_Response,category,9
fig_9.2.10,fig_9.2.10_Label,country,9
fig_9.2.10,fig_9.2.10_Percent of respondents,country,9
fig_9.2.1,fig_9.2.1_Label,category,9
fig_9.2.1,fig_9.2.1_Percentage,category,9
fig_9.2.2,fig_9.2.2_Label,category,9
fig_9.2.2,fig_9.2.2_Percentage,category,9
fig_9.2.3,fig_9.2.3_,category,9
fig_9.2.3,fig_9.2.3_AI companionship adoption,category,9
fig_9.2.4,fig_9.2.4_Percentage,category,9
fig_9.2.4,fig_9.2.4_Response,category,9
fig_9.2.5,fig_9.2.5_,category,9
fig_9.2.5,fig_9.2.5_mean,category,9
fig_9.2.5,fig_9.2.5_median,category,9
fig_9.2.5,fig_9.2.5_question_percentile,category,9
fig_9.2.5,fig_9.2.5_question_resolution_date,category,9
fig_9.2.5,fig_9.2.5_question_resolution_year,category,9
fig_9.2.5,fig_9.2.5_question_set_name,category,9
fig_9.2.5,fig_9.2.5_unit_name,category,9
fig_9.2.5,fig_9.2.5_w_mean,category,9
fig_9.2.5,fig_9.2.5_w_median,category,9
fig_9.2.6,fig_9.2.6_Label,category,9
fig_9.2.6,fig_9.2.6_Percentage,category,9
fig_9.2.7,fig_9.2.7_% of respondents,category,9
fig_9.2.8,fig_9.2.8_Label,category,9
fig_9.2.8,fig_9.2.8_Percent of respondents,category,9
fig_9.2.9,fig_9.2.9_,category,9
fig_9.2.9,fig_9.2.9_mean,category,9
fig_9.2.9,fig_9.2.9_median,category,9
fig_9.2.9,fig_9.2.9_question_percentile,category,9
fig_9.2.9,fig_9.2.9_question_resolution_date,category,9
fig_9.2.9,fig_9.2.9_question_resolution_year,category,9
fig_9.2.9,fig_9.2.9_question_set_name,category,9
fig_9.2.9,fig_9.2.9_unit_name,category,9
fig_9.2.9,fig_9.2.9_w_mean,category,9
fig_9.2.9,fig_9.2.9_w_median,category,9
fig_9.3.1,fig_9.3.1_% of respondents,country,9
fig_9.3.2,fig_9.3.2_response_perc,country,9
fig_9.3.2,fig_9.3.2_trust_in,country,9
fig_9.3.3,fig_9.3.3_Label,country,9
fig_9.3.3,fig_9.3.3_Percent of respondents,country,9
fig_9.3.4,fig_9.3.4_net_concern,us_state,9
fig_9.3.5,fig_9.3.5_Label,us_state,9
fig_9.3.5,fig_9.3.5_Percent of respondents,us_state,9
fig_9.3.6,fig_9.3.6_Label,category,9
fig_9.3.6,fig_9.3.6_Percent of respondents,category,9
