question,y_var,model,x_var,coefficient,std_error,p_value,ci95_lower,ci95_upper,p_value_bootstrap,n_effective,r2,ci_method,n_boot,seed,r2_adj,cv_r2_mean_5fold,cv_r2_std_5fold,loocv_r2,model_hyperparams_json,fdr_q_value,fdr_significant_05
Q1,oxford_ind_company_investment_emerging_tech,OLS_full,n_binding,-8.093635069752887,10.301619151807104,0.44175126131749787,-90.67148573007395,51.29161206440314,0.597,36,0.8892856479321657,bootstrap_2000,2000.0,42,,,,,,0.44175126131749787,False
Q1,oxford_ind_company_investment_emerging_tech,OLS_full,n_non_binding,5.47789146161133,6.567003545661183,0.4145592171644368,-49.294312849515606,56.13311078453343,0.725,36,0.8892856479321657,bootstrap_2000,2000.0,42,,,,,,,
Q1,oxford_ind_company_investment_emerging_tech,OLS_full,n_hybrid,-0.8281032972245326,6.445504898856036,0.8991211832334041,-30.980841120534386,68.5284363364608,0.808,36,0.8892856479321657,bootstrap_2000,2000.0,42,,,,,,,
Q1,oxford_ind_company_investment_emerging_tech,OLS_full,regulatory_intensity,119.29303899605601,81.85507440659121,0.1613448411596718,-568.083817165068,767.4919537670147,0.5,36,0.8892856479321657,bootstrap_2000,2000.0,42,,,,,,,
Q1,oxford_ind_company_investment_emerging_tech,OLS_full,n_regulatory_mechanisms,-3.4438469053654543,3.0200349157496884,0.26831860667605484,-29.370743946287828,23.75593255521547,0.684,36,0.8892856479321657,bootstrap_2000,2000.0,42,,,,,,,
Q1,oxford_ind_company_investment_emerging_tech,OLS_full,wb_gdp_per_capita_ppp_z,0.2673494830337422,2.0637554080529896,0.8982879033606087,-9.6694454917753,7.5537114167488095,0.971,36,0.8892856479321657,bootstrap_2000,2000.0,42,,,,,,,
Q1,oxford_ind_company_investment_emerging_tech,OLS_full,wb_internet_penetration_z,-3.162017483830441,1.9299605485979607,0.11779571564132583,-8.997125925785783,7.2000176925857975,0.645,36,0.8892856479321657,bootstrap_2000,2000.0,42,,,,,,,
Q1,oxford_ind_company_investment_emerging_tech,OLS_full,wb_tertiary_education_enrollment_z,-1.7923725378728634,1.1566023745878555,0.13771317833939267,-7.321462774581492,4.294639709700747,0.393,36,0.8892856479321657,bootstrap_2000,2000.0,42,,,,,,,
Q1,oxford_ind_company_investment_emerging_tech,OLS_full,wb_rd_expenditure_pct_gdp_z,10.744761010831304,5.111210909661947,0.049100458868945415,-10.708254732088648,26.51282256090493,0.203,36,0.8892856479321657,bootstrap_2000,2000.0,42,,,,,,,
Q1,oxford_ind_company_investment_emerging_tech,OLS_full,wb_researchers_rd_per_million_z,-10.013274490585754,4.421184291277168,0.03540749542629953,-26.181868192108503,11.154408728267565,0.221,36,0.8892856479321657,bootstrap_2000,2000.0,42,,,,,,,
Q1,oxford_ind_company_investment_emerging_tech,OLS_full,wb_government_effectiveness_z,-1.4539788864196304,8.448390765104348,0.8651777994891947,-36.409794935291,32.99646056471698,0.75,36,0.8892856479321657,bootstrap_2000,2000.0,42,,,,,,,
Q1,oxford_ind_company_investment_emerging_tech,OLS_full,wb_rule_of_law_z,-4.992903439452018,6.189358722051916,0.4298268424281855,-31.650454360400047,25.822327342308938,0.453,36,0.8892856479321657,bootstrap_2000,2000.0,42,,,,,,,
Q1,oxford_ind_company_investment_emerging_tech,OLS_full,wb_regulatory_quality_z,14.656086744516687,7.438441954240232,0.06355195728289167,-13.355658652320363,49.721747318661855,0.198,36,0.8892856479321657,bootstrap_2000,2000.0,42,,,,,,,
Q1,oxford_ind_company_investment_emerging_tech,OLS_full,wipo_in_score_z,5.116596915600455,6.250669286105355,0.42318133412745806,-15.028688532289456,28.61802452396336,0.43,36,0.8892856479321657,bootstrap_2000,2000.0,42,,,,,,,
Q1,oxford_ind_company_investment_emerging_tech,OLS_full,wb_mobile_subscriptions_per100_z,-0.9073303264717949,1.0947123334836362,0.41749171753485625,-6.405281970435633,5.630970217410863,0.765,36,0.8892856479321657,bootstrap_2000,2000.0,42,,,,,,,
Q1,oxford_ind_company_investment_emerging_tech,OLS_full,wb_secure_servers_per_1m_z,2.603747847590009,1.4373775302654417,0.08590909684017528,-4.0078683553425645,6.969481872695115,0.452,36,0.8892856479321657,bootstrap_2000,2000.0,42,,,,,,,
Q1,oxford_ind_company_investment_emerging_tech,OLS_full,wb_electric_consumption_kwh_pc_z,2.658494670327199,1.04107328172527,0.019409828284343657,-2.4639044034213753,7.141475289382066,0.195,36,0.8892856479321657,bootstrap_2000,2000.0,42,,,,,,,
Q1,oxford_ind_company_investment_emerging_tech,OLS_full,const,53.85975140284397,6.021616609476035,3.075100105203345e-08,32.80414161717023,81.8697882504696,0.001,36,0.8892856479321657,bootstrap_2000,2000.0,42,,,,,,,
Q1,oxford_ind_company_investment_emerging_tech,OLS_only_X2,__model_metadata__,,,,,,,36,0.8706302341193739,,,42,0.8031329649642647,,,,,,
Q1,oxford_ind_company_investment_emerging_tech,Ridge,n_binding,3.51096196759984,,,,,,36,0.5346977034215268,,,42,,0.5346977034215268,0.26700636862933785,,"{""alpha"":1.0}",,
Q1,oxford_ind_company_investment_emerging_tech,Ridge,n_non_binding,-1.4436007603195202,,,,,,36,0.5346977034215268,,,42,,0.5346977034215268,0.26700636862933785,,"{""alpha"":1.0}",,
Q1,oxford_ind_company_investment_emerging_tech,Ridge,n_hybrid,-1.60403671944253,,,,,,36,0.5346977034215268,,,42,,0.5346977034215268,0.26700636862933785,,"{""alpha"":1.0}",,
Q1,oxford_ind_company_investment_emerging_tech,Ridge,regulatory_intensity,1.8400702702871932,,,,,,36,0.5346977034215268,,,42,,0.5346977034215268,0.26700636862933785,,"{""alpha"":1.0}",,
Q1,oxford_ind_company_investment_emerging_tech,Ridge,n_regulatory_mechanisms,0.46332448783752456,,,,,,36,0.5346977034215268,,,42,,0.5346977034215268,0.26700636862933785,,"{""alpha"":1.0}",,
Q1,oxford_ind_company_investment_emerging_tech,Ridge,wb_gdp_per_capita_ppp_z,-0.00631597031646467,,,,,,36,0.5346977034215268,,,42,,0.5346977034215268,0.26700636862933785,,"{""alpha"":1.0}",,
Q1,oxford_ind_company_investment_emerging_tech,Ridge,wb_internet_penetration_z,-2.6005468171539685,,,,,,36,0.5346977034215268,,,42,,0.5346977034215268,0.26700636862933785,,"{""alpha"":1.0}",,
Q1,oxford_ind_company_investment_emerging_tech,Ridge,wb_tertiary_education_enrollment_z,-2.080769432927181,,,,,,36,0.5346977034215268,,,42,,0.5346977034215268,0.26700636862933785,,"{""alpha"":1.0}",,
Q1,oxford_ind_company_investment_emerging_tech,Ridge,wb_rd_expenditure_pct_gdp_z,5.463886914882921,,,,,,36,0.5346977034215268,,,42,,0.5346977034215268,0.26700636862933785,,"{""alpha"":1.0}",,
Q1,oxford_ind_company_investment_emerging_tech,Ridge,wb_researchers_rd_per_million_z,-5.439056178269329,,,,,,36,0.5346977034215268,,,42,,0.5346977034215268,0.26700636862933785,,"{""alpha"":1.0}",,
Q1,oxford_ind_company_investment_emerging_tech,Ridge,wb_government_effectiveness_z,1.0077725483450317,,,,,,36,0.5346977034215268,,,42,,0.5346977034215268,0.26700636862933785,,"{""alpha"":1.0}",,
Q1,oxford_ind_company_investment_emerging_tech,Ridge,wb_rule_of_law_z,-1.8602257706810392,,,,,,36,0.5346977034215268,,,42,,0.5346977034215268,0.26700636862933785,,"{""alpha"":1.0}",,
Q1,oxford_ind_company_investment_emerging_tech,Ridge,wb_regulatory_quality_z,9.04892453585687,,,,,,36,0.5346977034215268,,,42,,0.5346977034215268,0.26700636862933785,,"{""alpha"":1.0}",,
Q1,oxford_ind_company_investment_emerging_tech,Ridge,wipo_in_score_z,5.280018213314322,,,,,,36,0.5346977034215268,,,42,,0.5346977034215268,0.26700636862933785,,"{""alpha"":1.0}",,
Q1,oxford_ind_company_investment_emerging_tech,Ridge,wb_mobile_subscriptions_per100_z,-0.7506677028499945,,,,,,36,0.5346977034215268,,,42,,0.5346977034215268,0.26700636862933785,,"{""alpha"":1.0}",,
Q1,oxford_ind_company_investment_emerging_tech,Ridge,wb_secure_servers_per_1m_z,2.057275178311606,,,,,,36,0.5346977034215268,,,42,,0.5346977034215268,0.26700636862933785,,"{""alpha"":1.0}",,
Q1,oxford_ind_company_investment_emerging_tech,Ridge,wb_electric_consumption_kwh_pc_z,2.1781447655845367,,,,,,36,0.5346977034215268,,,42,,0.5346977034215268,0.26700636862933785,,"{""alpha"":1.0}",,
Q1,oxford_ind_company_investment_emerging_tech,Lasso,n_binding,3.055059290362843,,,,,,36,0.46067444815796604,,,42,,0.46067444815796604,0.332901813812525,,"{""alpha"":0.1}",,
Q1,oxford_ind_company_investment_emerging_tech,Lasso,n_non_binding,-0.767550194503993,,,,,,36,0.46067444815796604,,,42,,0.46067444815796604,0.332901813812525,,"{""alpha"":0.1}",,
