variable,treated_mean,control_mean,smd_pre,smd_post
wb_gdp_per_capita_ppp,61046.80607181382,58103.860031435914,0.0765182599857628,
wb_internet_penetration,93.94619409199998,89.58459523833334,0.5443449600784246,
wb_tertiary_education_enrollment,79.26404461466312,83.87366250558784,-0.18978922022358813,
wb_rd_expenditure_pct_gdp,3.1807819999999998,1.1310383333333334,2.0298326842649854,
wb_researchers_rd_per_million,4946.401078000001,3686.7574783333334,0.39421895452267564,
wb_government_effectiveness,1.4180725200000002,1.2401250666666666,0.263688467765829,
wb_rule_of_law,0.7016689,0.8266509333333333,-0.1535043973954488,
wb_regulatory_quality,0.95004504,0.9647393666666667,-0.018055409329127206,
wipo_in_score,61.34700981023104,50.134223609358436,1.1023205714397497,
wb_mobile_subscriptions_per100,159.8207013242288,124.5383453189463,1.0126341957640057,
wb_secure_servers_per_1m,49398.174224606824,47779.1655331871,0.019785124364325165,
wb_electric_consumption_kwh_pc,10704.787683329743,6700.788128498942,0.9352815142867206,
