question,y_var,binarization_threshold_value,binarization_method,model,x_var,n_effective,n_class_0,n_class_1,auc_cv_5fold_mean,auc_cv_5fold_std,auc_loocv,confusion_tp,confusion_tn,confusion_fp,confusion_fn,model_hyperparams_json,seed,coefficient_or_importance
Q2,ms_h2_2025_ai_diffusion_pct,28.6,median,Logistic,__model_metadata__,35,17.0,18.0,0.9253333333333333,0.13569737572177942,,15.0,15.0,2.0,3.0,"{""penalty"":""l2"",""C"":1.0}",42,
Q2,ms_h2_2025_ai_diffusion_pct,,,Logistic,n_binding,35,,,,,,,,,,,42,-0.10624405364405723
Q2,ms_h2_2025_ai_diffusion_pct,,,Logistic,n_non_binding,35,,,,,,,,,,,42,0.18175822140286463
Q2,ms_h2_2025_ai_diffusion_pct,,,Logistic,n_hybrid,35,,,,,,,,,,,42,-0.22682078150571197
Q2,ms_h2_2025_ai_diffusion_pct,,,Logistic,regulatory_intensity,35,,,,,,,,,,,42,0.014374471988290605
Q2,ms_h2_2025_ai_diffusion_pct,,,Logistic,n_regulatory_mechanisms,35,,,,,,,,,,,42,-0.15130661374690393
Q2,ms_h2_2025_ai_diffusion_pct,,,Logistic,wb_gdp_per_capita_ppp_z,35,,,,,,,,,,,42,0.9511613730579446
Q2,ms_h2_2025_ai_diffusion_pct,,,Logistic,wb_internet_penetration_z,35,,,,,,,,,,,42,1.4328382171272502
Q2,ms_h2_2025_ai_diffusion_pct,,,Logistic,wb_tertiary_education_enrollment_z,35,,,,,,,,,,,42,-0.44463576728307475
Q2,ms_h2_2025_ai_diffusion_pct,,,Logistic,wb_rd_expenditure_pct_gdp_z,35,,,,,,,,,,,42,0.13319016194359548
Q2,ms_h2_2025_ai_diffusion_pct,,,Logistic,wb_researchers_rd_per_million_z,35,,,,,,,,,,,42,0.8099781820095546
Q2,ms_h2_2025_ai_diffusion_pct,,,Logistic,wb_government_effectiveness_z,35,,,,,,,,,,,42,0.39817845470889224
Q2,ms_h2_2025_ai_diffusion_pct,,,Logistic,wb_rule_of_law_z,35,,,,,,,,,,,42,0.07483719944052278
Q2,ms_h2_2025_ai_diffusion_pct,,,Logistic,wb_regulatory_quality_z,35,,,,,,,,,,,42,0.13689785923422323
Q2,ms_h2_2025_ai_diffusion_pct,,,Logistic,wipo_in_score_z,35,,,,,,,,,,,42,0.6359674133963523
