question,tier,y_var,model,x_var,coefficient,std_error,p_value,ci95_lower,ci95_upper,p_value_bootstrap,n_effective,r2,ci_method,n_boot,seed,binarization_threshold_value,binarization_method,n_class_0,n_class_1,auc_cv_5fold_mean,auc_cv_5fold_std,auc_loocv,model_hyperparams_json,fdr_q_value,fdr_significant_05
Q6,primary,oxford_public_sector_adoption,Logistic,n_regulatory_mechanisms,0.06278284910891817,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_public_sector_adoption,Logistic,wb_gdp_per_capita_ppp_z,-0.4746887003079992,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_public_sector_adoption,Logistic,wb_internet_penetration_z,-0.07484104834646017,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_public_sector_adoption,Logistic,wb_tertiary_education_enrollment_z,0.1871629359362054,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_public_sector_adoption,Logistic,wb_rd_expenditure_pct_gdp_z,-0.4630599533086866,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_public_sector_adoption,Logistic,wb_researchers_rd_per_million_z,0.444075406562175,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_public_sector_adoption,Logistic,wb_government_effectiveness_z,-0.2564142259662816,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_public_sector_adoption,Logistic,wb_rule_of_law_z,0.48964914096739903,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_public_sector_adoption,Logistic,wb_regulatory_quality_z,-0.5696119959935341,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_public_sector_adoption,Logistic,wipo_in_score_z,0.323555107521665,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_public_sector_adoption,Logistic,wb_mobile_subscriptions_per100_z,-0.06087448863705373,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_public_sector_adoption,Logistic,wb_secure_servers_per_1m_z,0.5121754018252577,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_public_sector_adoption,Logistic,wb_electric_consumption_kwh_pc_z,0.4165086562900225,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_e_government_delivery,OLS_full,n_binding,12.238492244442487,12.326068253083065,0.33323855049550655,-65.76736326001463,82.96544190877566,0.693,36,0.4979413581396497,bootstrap_2000,2000.0,42,,,,,,,,,0.5700613516031483,False
