question,tier,x_var,n_y_total,n_y_negative,n_y_positive,n_y_significant_05
Q3,primary,n_binding,6,0,6,0
Q3,auxiliary_low_n,n_binding,1,0,1,0
Q3,primary,n_non_binding,6,6,0,0
Q3,auxiliary_low_n,n_non_binding,1,1,0,0
Q3,primary,n_hybrid,6,3,3,0
Q3,auxiliary_low_n,n_hybrid,1,0,1,0
Q3,primary,regulatory_intensity,6,6,0,0
Q3,auxiliary_low_n,regulatory_intensity,1,1,0,0
Q3,primary,n_regulatory_mechanisms,6,0,6,0
Q3,auxiliary_low_n,n_regulatory_mechanisms,1,0,1,0
