variable_matriz,n_total,n_non_null,n_missing,pct_complete,below_threshold
iapp_ley_ia_vigente,43,18,25,41.86,False
iapp_categoria_obligatoriedad,43,18,25,41.86,False
iapp_proyecto_ley_ia,43,18,25,41.86,False
iapp_modelo_gobernanza,43,18,25,41.86,False
iapp_n_leyes_relacionadas,43,18,25,41.86,False
iapp_n_autoridades,43,18,25,41.86,False
oxford_ind_company_investment_emerging_tech,43,43,0,100.0,False
oxford_ind_ai_unicorns_log,43,43,0,100.0,False
oxford_ind_non_ai_unicorns_log,43,43,0,100.0,False
oxford_ind_vc_availability,43,43,0,100.0,False
wipo_c_vencapdeal_score,43,40,3,93.02,False
wb_fdi_net_inflows,43,42,1,97.67,False
ms_h2_2025_ai_diffusion_pct,43,42,1,97.67,False
ms_h1_2025_ai_diffusion_pct,43,42,1,97.67,False
ms_change_pp,43,42,1,97.67,False
anthropic_usage_pct,43,42,1,97.67,False
anthropic_collaboration_pct,43,42,1,97.67,False
oecd_5_ict_business_oecd_biz_ai_pct,43,31,12,72.09,False
oecd_5_ict_business_oecd_biz_bigdata_pct,43,29,14,67.44,False
oxford_public_sector_adoption,43,43,0,100.0,False
oxford_ind_adoption_emerging_tech,43,43,0,100.0,False
wipo_out_score,43,42,1,97.67,False
oxford_total_score,43,43,0,100.0,False
wipo_gii_score,43,42,1,97.67,False
oxford_innovation_capacity,43,43,0,100.0,False
oxford_ind_ai_research_papers_log,43,43,0,100.0,False
stanford_fig_6_3_5_fig_6_3_5_volume_of_publications,43,26,17,60.47,False
wb_patent_applications_residents,43,41,2,95.35,False
wb_gdp_per_capita_ppp,43,42,1,97.67,False
wb_internet_penetration,43,42,1,97.67,False
wb_tertiary_education_enrollment,43,41,2,95.35,False
wb_rd_expenditure_pct_gdp,43,42,1,97.67,False
wb_researchers_rd_per_million,43,36,7,83.72,False
wb_government_effectiveness,43,42,1,97.67,False
wb_rule_of_law,43,42,1,97.67,False
wb_regulatory_quality,43,42,1,97.67,False
wipo_in_score,43,42,1,97.67,False
wb_mobile_subscriptions_per100,43,42,1,97.67,False
wb_secure_servers_per_1m,43,42,1,97.67,False
wb_electric_consumption_kwh_pc,43,42,1,97.67,False
