source_id,raw_entity_name,raw_geo_code,candidate_iso3,final_iso3,iso3_resuelto,country_name_canonical,entity_type_final,match_method,confidence_score,action,review_status,reviewer,review_date,evidence,notes
microsoft,United Arab Emirates,,ARE,ARE,ARE,United Arab Emirates,country_iso3,fuzzy_token_sort_ratio,100.0,approved_by_human,approved_by_bulk_exact_match_policy,project_owner_policy,2026-05-06,candidate=United Arab Emirates; score=100.0,Exact matches bulk-approved under documented rescue policy; lower scores remain excluded until reviewed.
microsoft,Singapore,,SGP,SGP,SGP,Singapore,country_iso3,fuzzy_token_sort_ratio,100.0,approved_by_human,approved_by_bulk_exact_match_policy,project_owner_policy,2026-05-06,candidate=Singapore; score=100.0,Exact matches bulk-approved under documented rescue policy; lower scores remain excluded until reviewed.
microsoft,Norway,,NOR,NOR,NOR,Norway,country_iso3,fuzzy_token_sort_ratio,100.0,approved_by_human,approved_by_bulk_exact_match_policy,project_owner_policy,2026-05-06,candidate=Norway; score=100.0,Exact matches bulk-approved under documented rescue policy; lower scores remain excluded until reviewed.
microsoft,Ireland,,IRL,IRL,IRL,Ireland,country_iso3,fuzzy_token_sort_ratio,100.0,approved_by_human,approved_by_bulk_exact_match_policy,project_owner_policy,2026-05-06,candidate=Ireland; score=100.0,Exact matches bulk-approved under documented rescue policy; lower scores remain excluded until reviewed.
microsoft,France,,FRA,FRA,FRA,France,country_iso3,fuzzy_token_sort_ratio,100.0,approved_by_human,approved_by_bulk_exact_match_policy,project_owner_policy,2026-05-06,candidate=France; score=100.0,Exact matches bulk-approved under documented rescue policy; lower scores remain excluded until reviewed.
microsoft,Spain,,ESP,ESP,ESP,Spain,country_iso3,fuzzy_token_sort_ratio,100.0,approved_by_human,approved_by_bulk_exact_match_policy,project_owner_policy,2026-05-06,candidate=Spain; score=100.0,Exact matches bulk-approved under documented rescue policy; lower scores remain excluded until reviewed.
microsoft,New Zealand,,NZL,NZL,NZL,New Zealand,country_iso3,fuzzy_token_sort_ratio,100.0,approved_by_human,approved_by_bulk_exact_match_policy,project_owner_policy,2026-05-06,candidate=New Zealand; score=100.0,Exact matches bulk-approved under documented rescue policy; lower scores remain excluded until reviewed.
microsoft,Netherlands,,NLD,NLD,NLD,Netherlands,country_iso3,fuzzy_token_sort_ratio,100.0,approved_by_human,approved_by_bulk_exact_match_policy,project_owner_policy,2026-05-06,candidate=Netherlands; score=100.0,Exact matches bulk-approved under documented rescue policy; lower scores remain excluded until reviewed.
microsoft,United Kingdom,,GBR,GBR,GBR,United Kingdom,country_iso3,fuzzy_token_sort_ratio,100.0,approved_by_human,approved_by_bulk_exact_match_policy,project_owner_policy,2026-05-06,candidate=United Kingdom; score=100.0,Exact matches bulk-approved under documented rescue policy; lower scores remain excluded until reviewed.
microsoft,Qatar,,QAT,QAT,QAT,Qatar,country_iso3,fuzzy_token_sort_ratio,100.0,approved_by_human,approved_by_bulk_exact_match_policy,project_owner_policy,2026-05-06,candidate=Qatar; score=100.0,Exact matches bulk-approved under documented rescue policy; lower scores remain excluded until reviewed.
microsoft,Australia,,AUS,AUS,AUS,Australia,country_iso3,fuzzy_token_sort_ratio,100.0,approved_by_human,approved_by_bulk_exact_match_policy,project_owner_policy,2026-05-06,candidate=Australia; score=100.0,Exact matches bulk-approved under documented rescue policy; lower scores remain excluded until reviewed.
microsoft,Israel,,ISR,ISR,ISR,Israel,country_iso3,fuzzy_token_sort_ratio,100.0,approved_by_human,approved_by_bulk_exact_match_policy,project_owner_policy,2026-05-06,candidate=Israel; score=100.0,Exact matches bulk-approved under documented rescue policy; lower scores remain excluded until reviewed.
microsoft,Belgium,,BEL,BEL,BEL,Belgium,country_iso3,fuzzy_token_sort_ratio,100.0,approved_by_human,approved_by_bulk_exact_match_policy,project_owner_policy,2026-05-06,candidate=Belgium; score=100.0,Exact matches bulk-approved under documented rescue policy; lower scores remain excluded until reviewed.
microsoft,Canada,,CAN,CAN,CAN,Canada,country_iso3,fuzzy_token_sort_ratio,100.0,approved_by_human,approved_by_bulk_exact_match_policy,project_owner_policy,2026-05-06,candidate=Canada; score=100.0,Exact matches bulk-approved under documented rescue policy; lower scores remain excluded until reviewed.
microsoft,Switzerland,,CHE,CHE,CHE,Switzerland,country_iso3,fuzzy_token_sort_ratio,100.0,approved_by_human,approved_by_bulk_exact_match_policy,project_owner_policy,2026-05-06,candidate=Switzerland; score=100.0,Exact matches bulk-approved under documented rescue policy; lower scores remain excluded until reviewed.
microsoft,Sweden,,SWE,SWE,SWE,Sweden,country_iso3,fuzzy_token_sort_ratio,100.0,approved_by_human,approved_by_bulk_exact_match_policy,project_owner_policy,2026-05-06,candidate=Sweden; score=100.0,Exact matches bulk-approved under documented rescue policy; lower scores remain excluded until reviewed.
microsoft,Austria,,AUT,AUT,AUT,Austria,country_iso3,fuzzy_token_sort_ratio,100.0,approved_by_human,approved_by_bulk_exact_match_policy,project_owner_policy,2026-05-06,candidate=Austria; score=100.0,Exact matches bulk-approved under documented rescue policy; lower scores remain excluded until reviewed.
microsoft,South Korea,,KOR,KOR,KOR,South Korea,country_iso3,fuzzy_token_sort_ratio,100.0,approved_by_human,approved_by_bulk_exact_match_policy,project_owner_policy,2026-05-06,candidate=South Korea; score=100.0,Exact matches bulk-approved under documented rescue policy; lower scores remain excluded until reviewed.
microsoft,Hungary,,HUN,HUN,HUN,Hungary,country_iso3,fuzzy_token_sort_ratio,100.0,approved_by_human,approved_by_bulk_exact_match_policy,project_owner_policy,2026-05-06,candidate=Hungary; score=100.0,Exact matches bulk-approved under documented rescue policy; lower scores remain excluded until reviewed.
microsoft,Denmark,,DNK,DNK,DNK,Denmark,country_iso3,fuzzy_token_sort_ratio,100.0,approved_by_human,approved_by_bulk_exact_match_policy,project_owner_policy,2026-05-06,candidate=Denmark; score=100.0,Exact matches bulk-approved under documented rescue policy; lower scores remain excluded until reviewed.
microsoft,Germany,,DEU,DEU,DEU,Germany,country_iso3,fuzzy_token_sort_ratio,100.0,approved_by_human,approved_by_bulk_exact_match_policy,project_owner_policy,2026-05-06,candidate=Germany; score=100.0,Exact matches bulk-approved under documented rescue policy; lower scores remain excluded until reviewed.
microsoft,Poland,,POL,POL,POL,Poland,country_iso3,fuzzy_token_sort_ratio,100.0,approved_by_human,approved_by_bulk_exact_match_policy,project_owner_policy,2026-05-06,candidate=Poland; score=100.0,Exact matches bulk-approved under documented rescue policy; lower scores remain excluded until reviewed.
microsoft,Taiwan,,TWN,TWN,TWN,Taiwan,country_iso3,fuzzy_token_sort_ratio,100.0,approved_by_human,approved_by_bulk_exact_match_policy,project_owner_policy,2026-05-06,candidate=Taiwan; score=100.0,Exact matches bulk-approved under documented rescue policy; lower scores remain excluded until reviewed.
microsoft,United States,,USA,USA,USA,United States,country_iso3,fuzzy_token_sort_ratio,100.0,approved_by_human,approved_by_bulk_exact_match_policy,project_owner_policy,2026-05-06,candidate=United States; score=100.0,Exact matches bulk-approved under documented rescue policy; lower scores remain excluded until reviewed.
microsoft,Czechia,,CZE,CZE,CZE,Czechia,country_iso3,fuzzy_token_sort_ratio,100.0,approved_by_human,approved_by_bulk_exact_match_policy,project_owner_policy,2026-05-06,candidate=Czechia; score=100.0,Exact matches bulk-approved under documented rescue policy; lower scores remain excluded until reviewed.
microsoft,Italy,,ITA,ITA,ITA,Italy,country_iso3,fuzzy_token_sort_ratio,100.0,approved_by_human,approved_by_bulk_exact_match_policy,project_owner_policy,2026-05-06,candidate=Italy; score=100.0,Exact matches bulk-approved under documented rescue policy; lower scores remain excluded until reviewed.
microsoft,Bulgaria,,BGR,BGR,BGR,Bulgaria,country_iso3,fuzzy_token_sort_ratio,100.0,approved_by_human,approved_by_bulk_exact_match_policy,project_owner_policy,2026-05-06,candidate=Bulgaria; score=100.0,Exact matches bulk-approved under documented rescue policy; lower scores remain excluded until reviewed.
microsoft,Finland,,FIN,FIN,FIN,Finland,country_iso3,fuzzy_token_sort_ratio,100.0,approved_by_human,approved_by_bulk_exact_match_policy,project_owner_policy,2026-05-06,candidate=Finland; score=100.0,Exact matches bulk-approved under documented rescue policy; lower scores remain excluded until reviewed.
microsoft,Jordan,,JOR,JOR,JOR,Jordan,country_iso3,fuzzy_token_sort_ratio,100.0,approved_by_human,approved_by_bulk_exact_match_policy,project_owner_policy,2026-05-06,candidate=Jordan; score=100.0,Exact matches bulk-approved under documented rescue policy; lower scores remain excluded until reviewed.
microsoft,Costa Rica,,CRI,CRI,CRI,Costa Rica,country_iso3,fuzzy_token_sort_ratio,100.0,approved_by_human,approved_by_bulk_exact_match_policy,project_owner_policy,2026-05-06,candidate=Costa Rica; score=100.0,Exact matches bulk-approved under documented rescue policy; lower scores remain excluded until reviewed.
microsoft,Slovenia,,SVN,SVN,SVN,Slovenia,country_iso3,fuzzy_token_sort_ratio,100.0,approved_by_human,approved_by_bulk_exact_match_policy,project_owner_policy,2026-05-06,candidate=Slovenia; score=100.0,Exact matches bulk-approved under documented rescue policy; lower scores remain excluded until reviewed.
microsoft,Saudi Arabia,,SAU,SAU,SAU,Saudi Arabia,country_iso3,fuzzy_token_sort_ratio,100.0,approved_by_human,approved_by_bulk_exact_match_policy,project_owner_policy,2026-05-06,candidate=Saudi Arabia; score=100.0,Exact matches bulk-approved under documented rescue policy; lower scores remain excluded until reviewed.
microsoft,Lebanon,,LBN,LBN,LBN,Lebanon,country_iso3,fuzzy_token_sort_ratio,100.0,approved_by_human,approved_by_bulk_exact_match_policy,project_owner_policy,2026-05-06,candidate=Lebanon; score=100.0,Exact matches bulk-approved under documented rescue policy; lower scores remain excluded until reviewed.
microsoft,Oman,,OMN,OMN,OMN,Oman,country_iso3,fuzzy_token_sort_ratio,100.0,approved_by_human,approved_by_bulk_exact_match_policy,project_owner_policy,2026-05-06,candidate=Oman; score=100.0,Exact matches bulk-approved under documented rescue policy; lower scores remain excluded until reviewed.
