iso3,country_name_canonical,entity_type,region,income_group,present_iapp,present_microsoft,present_oxford,present_wb,present_wipo,present_stanford,present_oecd,present_anthropic,n_sources_present,source_list,included_in_matrix,included_in_dense_candidate,inclusion_notes
ERI,ERI,country_iso3,Sub-Saharan Africa ,Low income,0,1,1,1,0,1,1,1,6,"microsoft, oxford, wb, stanford, oecd, anthropic",True,True,
EST,Estonia,country_iso3,Europe & Central Asia,High income,0,0,1,1,1,1,1,1,6,"oxford, wb, wipo, stanford, oecd, anthropic",True,True,
GAB,GAB,country_iso3,Sub-Saharan Africa ,Upper middle income,0,1,1,1,0,1,1,1,6,"microsoft, oxford, wb, stanford, oecd, anthropic",True,True,
GMB,Gambia (Republic of The),country_iso3,Sub-Saharan Africa ,Low income,0,1,1,1,0,1,1,1,6,"microsoft, oxford, wb, stanford, oecd, anthropic",True,True,
GUY,GUY,country_iso3,Latin America & Caribbean ,High income,0,1,1,1,0,1,1,1,6,"microsoft, oxford, wb, stanford, oecd, anthropic",True,True,
HKG,"Hong Kong, China",country_iso3,East Asia & Pacific,High income,1,0,0,1,1,1,1,1,6,"iapp, wb, wipo, stanford, oecd, anthropic",True,True,included by documented human-in-loop decision; comparable special case
HTI,Haiti,country_iso3,Latin America & Caribbean ,Lower middle income,0,1,1,1,0,1,1,1,6,"microsoft, oxford, wb, stanford, oecd, anthropic",True,True,
ISL,Iceland,country_iso3,Europe & Central Asia,High income,0,0,1,1,1,1,1,1,6,"oxford, wb, wipo, stanford, oecd, anthropic",True,True,
LBR,Liberia,country_iso3,Sub-Saharan Africa ,Low income,0,1,1,1,0,1,1,1,6,"microsoft, oxford, wb, stanford, oecd, anthropic",True,True,
LBY,Libya,country_iso3,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,0,1,1,1,0,1,1,1,6,"microsoft, oxford, wb, stanford, oecd, anthropic",True,True,
LUX,Luxembourg,country_iso3,Europe & Central Asia,High income,0,0,1,1,1,1,1,1,6,"oxford, wb, wipo, stanford, oecd, anthropic",True,True,
LVA,Latvia,country_iso3,Europe & Central Asia,High income,0,0,1,1,1,1,1,1,6,"oxford, wb, wipo, stanford, oecd, anthropic",True,True,
MKD,The former Yugoslav Republic of Macedonia,country_iso3,Europe & Central Asia,Upper middle income,0,0,1,1,1,1,1,1,6,"oxford, wb, wipo, stanford, oecd, anthropic",True,True,
MLT,MLT,country_iso3,"Middle East, North Africa, Afghanistan & Pakistan",High income,0,0,1,1,1,1,1,1,6,"oxford, wb, wipo, stanford, oecd, anthropic",True,True,
MNE,MNE,country_iso3,Europe & Central Asia,Upper middle income,0,0,1,1,1,1,1,1,6,"oxford, wb, wipo, stanford, oecd, anthropic",True,True,
PNG,Papua New Guinea,country_iso3,East Asia & Pacific,Lower middle income,0,1,1,1,0,1,1,1,6,"microsoft, oxford, wb, stanford, oecd, anthropic",True,True,
SDN,SDN,country_iso3,Sub-Saharan Africa ,Low income,0,1,1,1,0,1,1,1,6,"microsoft, oxford, wb, stanford, oecd, anthropic",True,True,
SLE,Sierra Leone,country_iso3,Sub-Saharan Africa ,Low income,0,1,1,1,0,1,1,1,6,"microsoft, oxford, wb, stanford, oecd, anthropic",True,True,
SOM,"Somalia, Fed. Rep.",country_iso3,Sub-Saharan Africa ,Low income,0,1,1,1,0,1,1,1,6,"microsoft, oxford, wb, stanford, oecd, anthropic",True,True,
SSD,SSD,country_iso3,Sub-Saharan Africa ,Low income,0,1,1,1,0,1,1,1,6,"microsoft, oxford, wb, stanford, oecd, anthropic",True,True,
SUR,SUR,country_iso3,Latin America & Caribbean ,Upper middle income,0,1,1,1,0,1,1,1,6,"microsoft, oxford, wb, stanford, oecd, anthropic",True,True,
