iso3,country_name_canonical,source_id,variable_matriz,year_used,value_original,source_file,source_sheet,row_identifier,audit_status,audit_notes
IND,India,oxford,oxford_total_score,2025,66.55,Oxford Insights/data_index/UNIFICADO/Oxford_Insights_Unificado.xlsx,Consolidado,oxford:IND:total_score:2025,queued_for_manual_review,Stratified sample for human verification.
IND,India,wb,wb_gdp_current_usd,2024,3909891533858.08,World Bank WDI/WB_WDI_WGI_unificado.xlsx,MATRIZ_COMPLETA,wb:IND:gdp_current_usd_2024,queued_for_manual_review,Stratified sample for human verification.
IND,India,wb,wb_government_effectiveness,2024,0.4046051,World Bank WDI/WB_WDI_WGI_unificado.xlsx,MATRIZ_COMPLETA,wb:IND:government_effectiveness_2024,queued_for_manual_review,Stratified sample for human verification.
IND,India,wipo,wipo_gii_score,2025,38.1998133830439,WIPO Global Innovation Index/data_wipo_gii/WIPO_GII_2021_2025_UNIFICADO.xlsx,MATRIZ_GII,wipo:IND:GII_SCORE_2025,queued_for_manual_review,Stratified sample for human verification.
KEN,Kenya,iapp,iapp_ley_ia_vigente,,0,IAPP/iapp_dataset_unificado.xlsx,datos,iapp:KEN:ley_ia_vigente,queued_for_manual_review,Stratified sample for human verification.
KEN,Kenya,microsoft,ms_h2_2025_ai_diffusion_pct,2025,8.1,MICROSOFT/Microsoft_AI_Reports_Data_unificado.xlsx,1_AI_Diffusion,microsoft:Kenya:H2 2025 AI Diffusion (%),queued_for_manual_review,Stratified sample for human verification.
KEN,Kenya,oxford,oxford_total_score,2025,52.55,Oxford Insights/data_index/UNIFICADO/Oxford_Insights_Unificado.xlsx,Consolidado,oxford:KEN:total_score:2025,queued_for_manual_review,Stratified sample for human verification.
KEN,Kenya,wb,wb_gdp_current_usd,2024,120339557905.932,World Bank WDI/WB_WDI_WGI_unificado.xlsx,MATRIZ_COMPLETA,wb:KEN:gdp_current_usd_2024,queued_for_manual_review,Stratified sample for human verification.
KEN,Kenya,wb,wb_government_effectiveness,2024,-0.2978904,World Bank WDI/WB_WDI_WGI_unificado.xlsx,MATRIZ_COMPLETA,wb:KEN:government_effectiveness_2024,queued_for_manual_review,Stratified sample for human verification.
KEN,Kenya,wipo,wipo_gii_score,2025,21.3791141049195,WIPO Global Innovation Index/data_wipo_gii/WIPO_GII_2021_2025_UNIFICADO.xlsx,MATRIZ_GII,wipo:KEN:GII_SCORE_2025,queued_for_manual_review,Stratified sample for human verification.
MEX,Mexico,microsoft,ms_h2_2025_ai_diffusion_pct,2025,17.8,MICROSOFT/Microsoft_AI_Reports_Data_unificado.xlsx,1_AI_Diffusion,microsoft:Mexico:H2 2025 AI Diffusion (%),queued_for_manual_review,Stratified sample for human verification.
MEX,Mexico,oxford,oxford_total_score,2025,48.33,Oxford Insights/data_index/UNIFICADO/Oxford_Insights_Unificado.xlsx,Consolidado,oxford:MEX:total_score:2025,queued_for_manual_review,Stratified sample for human verification.
MEX,Mexico,wb,wb_gdp_current_usd,2024,1856365616165.94,World Bank WDI/WB_WDI_WGI_unificado.xlsx,MATRIZ_COMPLETA,wb:MEX:gdp_current_usd_2024,queued_for_manual_review,Stratified sample for human verification.
MEX,Mexico,wb,wb_government_effectiveness,2024,-0.2199329,World Bank WDI/WB_WDI_WGI_unificado.xlsx,MATRIZ_COMPLETA,wb:MEX:government_effectiveness_2024,queued_for_manual_review,Stratified sample for human verification.
MEX,Mexico,wipo,wipo_gii_score,2025,30.5127163343233,WIPO Global Innovation Index/data_wipo_gii/WIPO_GII_2021_2025_UNIFICADO.xlsx,MATRIZ_GII,wipo:MEX:GII_SCORE_2025,queued_for_manual_review,Stratified sample for human verification.
URY,Uruguay,microsoft,ms_h2_2025_ai_diffusion_pct,2025,22.5,MICROSOFT/Microsoft_AI_Reports_Data_unificado.xlsx,1_AI_Diffusion,microsoft:Uruguay:H2 2025 AI Diffusion (%),queued_for_manual_review,Stratified sample for human verification.
URY,Uruguay,oxford,oxford_total_score,2025,58.47,Oxford Insights/data_index/UNIFICADO/Oxford_Insights_Unificado.xlsx,Consolidado,oxford:URY:total_score:2025,queued_for_manual_review,Stratified sample for human verification.
URY,Uruguay,wb,wb_gdp_current_usd,2024,80961511073.5797,World Bank WDI/WB_WDI_WGI_unificado.xlsx,MATRIZ_COMPLETA,wb:URY:gdp_current_usd_2024,queued_for_manual_review,Stratified sample for human verification.
URY,Uruguay,wb,wb_government_effectiveness,2024,0.6904798999999999,World Bank WDI/WB_WDI_WGI_unificado.xlsx,MATRIZ_COMPLETA,wb:URY:government_effectiveness_2024,queued_for_manual_review,Stratified sample for human verification.
URY,Uruguay,wipo,wipo_gii_score,2025,28.837903949844,WIPO Global Innovation Index/data_wipo_gii/WIPO_GII_2021_2025_UNIFICADO.xlsx,MATRIZ_GII,wipo:URY:GII_SCORE_2025,queued_for_manual_review,Stratified sample for human verification.
USA,United States,iapp,iapp_ley_ia_vigente,,1,IAPP/iapp_dataset_unificado.xlsx,datos,iapp:USA:ley_ia_vigente,queued_for_manual_review,Stratified sample for human verification.
USA,United States,microsoft,ms_h2_2025_ai_diffusion_pct,2025,28.3,MICROSOFT/Microsoft_AI_Reports_Data_unificado.xlsx,1_AI_Diffusion,microsoft:United States:H2 2025 AI Diffusion (%),queued_for_manual_review,Stratified sample for human verification.
USA,United States of America,oxford,oxford_total_score,2025,88.36,Oxford Insights/data_index/UNIFICADO/Oxford_Insights_Unificado.xlsx,Consolidado,oxford:USA:total_score:2025,queued_for_manual_review,Stratified sample for human verification.
USA,United States,wb,wb_gdp_current_usd,2024,28750956130731.2,World Bank WDI/WB_WDI_WGI_unificado.xlsx,MATRIZ_COMPLETA,wb:USA:gdp_current_usd_2024,queued_for_manual_review,Stratified sample for human verification.
USA,United States,wb,wb_government_effectiveness,2024,1.3599787,World Bank WDI/WB_WDI_WGI_unificado.xlsx,MATRIZ_COMPLETA,wb:USA:government_effectiveness_2024,queued_for_manual_review,Stratified sample for human verification.
USA,United States of America,wipo,wipo_gii_score,2025,61.6892112586677,WIPO Global Innovation Index/data_wipo_gii/WIPO_GII_2021_2025_UNIFICADO.xlsx,MATRIZ_GII,wipo:USA:GII_SCORE_2025,queued_for_manual_review,Stratified sample for human verification.
