source_variable,derived_variable,transform,method,center_median,scale_mad,n_non_null,status
iapp_ley_ia_vigente,iapp_ley_ia_vigente_z,robust_zscore,median_mad,0.0,0.0,18,zero_mad_or_not_estimable
iapp_proyecto_ley_ia,iapp_proyecto_ley_ia_z,robust_zscore,median_mad,1.0,0.0,18,zero_mad_or_not_estimable
iapp_n_leyes_relacionadas,iapp_n_leyes_relacionadas_z,robust_zscore,median_mad,7.5,1.5,18,ok
iapp_n_autoridades,iapp_n_autoridades_z,robust_zscore,median_mad,7.0,1.5,18,ok
oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech_z,robust_zscore,median_mad,64.25,18.0,43,ok
oxford_ind_ai_unicorns_log,oxford_ind_ai_unicorns_log_log,log_transform,log1p,,,43,ok
oxford_ind_ai_unicorns_log,oxford_ind_ai_unicorns_log_z,robust_zscore,median_mad,0.0,0.0,43,zero_mad_or_not_estimable
oxford_ind_ai_unicorns_log_log,oxford_ind_ai_unicorns_log_log_z,robust_zscore,median_mad,0.0,0.0,43,zero_mad_or_not_estimable
oxford_ind_non_ai_unicorns_log,oxford_ind_non_ai_unicorns_log_log,log_transform,log1p,,,43,ok
oxford_ind_non_ai_unicorns_log,oxford_ind_non_ai_unicorns_log_z,robust_zscore,median_mad,18.16677155,18.16677155,43,ok
oxford_ind_non_ai_unicorns_log_log,oxford_ind_non_ai_unicorns_log_log_z,robust_zscore,median_mad,2.953178131294136,0.8454463007848947,43,ok
oxford_ind_vc_availability,oxford_ind_vc_availability_log,log_transform,log1p,,,43,ok
oxford_ind_vc_availability,oxford_ind_vc_availability_z,robust_zscore,median_mad,25.0,17.0,43,ok
oxford_ind_vc_availability_log,oxford_ind_vc_availability_log_z,robust_zscore,median_mad,3.2580965380214817,0.9555114450274362,43,ok
wipo_c_vencapdeal_score,wipo_c_vencapdeal_score_z,robust_zscore,median_mad,16.9934708088141,13.909540529515105,40,ok
wb_fdi_net_inflows,wb_fdi_net_inflows_log,log_transform,signed_log1p,,,42,ok
wb_fdi_net_inflows,wb_fdi_net_inflows_z,robust_zscore,median_mad,12956939786.347599,11846940541.179762,42,ok
wb_fdi_net_inflows_log,wb_fdi_net_inflows_log_z,robust_zscore,median_mad,23.284870808885728,1.0193573008065187,42,ok
ms_h2_2025_ai_diffusion_pct,ms_h2_2025_ai_diffusion_pct_z,robust_zscore,median_mad,28.55,7.65,42,ok
ms_h1_2025_ai_diffusion_pct,ms_h1_2025_ai_diffusion_pct_z,robust_zscore,median_mad,26.4,7.300000000000001,42,ok
ms_change_pp,ms_change_pp_z,robust_zscore,median_mad,2.05,0.44999999999999996,42,ok
anthropic_usage_pct,anthropic_usage_pct_z,robust_zscore,median_mad,0.49349999999999994,0.3326999999999999,42,ok
anthropic_collaboration_pct,anthropic_collaboration_pct_z,robust_zscore,median_mad,16.66666666666667,0.0,42,zero_mad_or_not_estimable
oecd_5_ict_business_oecd_biz_ai_pct,oecd_5_ict_business_oecd_biz_ai_pct_z,robust_zscore,median_mad,15.1928,8.007950096,31,ok
oecd_5_ict_business_oecd_biz_bigdata_pct,oecd_5_ict_business_oecd_biz_bigdata_pct_z,robust_zscore,median_mad,37.668,10.604499999999998,29,ok
oxford_public_sector_adoption,oxford_public_sector_adoption_z,robust_zscore,median_mad,74.84,6.929999999999993,43,ok
oxford_ind_adoption_emerging_tech,oxford_ind_adoption_emerging_tech_z,robust_zscore,median_mad,71.34,14.14,43,ok
wipo_out_score,wipo_out_score_z,robust_zscore,median_mad,39.1095520959462,9.879892609022802,42,ok
oxford_total_score,oxford_total_score_z,robust_zscore,median_mad,69.45,6.280000000000001,43,ok
wipo_gii_score,wipo_gii_score_z,robust_zscore,median_mad,46.74749738319955,9.234373570143898,42,ok
oxford_innovation_capacity,oxford_innovation_capacity_z,robust_zscore,median_mad,63.20960161,8.668236180000001,43,ok
oxford_ind_ai_research_papers_log,oxford_ind_ai_research_papers_log_z,robust_zscore,median_mad,60.96047396,6.722442659999999,43,ok
stanford_fig_6_3_5_fig_6_3_5_volume_of_publications,stanford_fig_6_3_5_fig_6_3_5_volume_of_publications_z,robust_zscore,median_mad,3.0,2.0,26,ok
wb_patent_applications_residents,wb_patent_applications_residents_z,robust_zscore,median_mad,1288.0,1123.0,41,ok
wb_gdp_per_capita_ppp,wb_gdp_per_capita_ppp_log,log_transform,log1p,,,42,ok
wb_gdp_per_capita_ppp,wb_gdp_per_capita_ppp_z,robust_zscore,median_mad,57625.3592570108,15907.849680093903,42,ok
wb_gdp_per_capita_ppp_log,wb_gdp_per_capita_ppp_log_z,robust_zscore,median_mad,10.961717968830854,0.25562994039839904,42,ok
wb_internet_penetration,wb_internet_penetration_z,robust_zscore,median_mad,92.868978915,4.176490704999999,42,ok
wb_tertiary_education_enrollment,wb_tertiary_education_enrollment_z,robust_zscore,median_mad,77.2406463623047,11.571418762207003,41,ok
wb_rd_expenditure_pct_gdp,wb_rd_expenditure_pct_gdp_z,robust_zscore,median_mad,1.6895449999999999,0.98709,42,ok
wb_researchers_rd_per_million,wb_researchers_rd_per_million_log,log_transform,log1p,,,36,ok
wb_researchers_rd_per_million,wb_researchers_rd_per_million_z,robust_zscore,median_mad,4868.967805,2138.0128750000003,36,ok
wb_researchers_rd_per_million_log,wb_researchers_rd_per_million_log_z,robust_zscore,median_mad,8.490743595127432,0.4794811250813029,36,ok
wb_government_effectiveness,wb_government_effectiveness_z,robust_zscore,median_mad,1.1811189,0.57444225,42,ok
wb_rule_of_law,wb_rule_of_law_z,robust_zscore,median_mad,0.9561767,0.5818852000000001,42,ok
wb_regulatory_quality,wb_regulatory_quality_z,robust_zscore,median_mad,1.11979745,0.5513264499999999,42,ok
wipo_in_score,wipo_in_score_z,robust_zscore,median_mad,56.55123189798275,8.716968657779248,42,ok
wb_mobile_subscriptions_per100,wb_mobile_subscriptions_per100_log,log_transform,log1p,,,42,ok
wb_mobile_subscriptions_per100,wb_mobile_subscriptions_per100_z,robust_zscore,median_mad,127.6126492169645,11.874132892082997,42,ok
wb_mobile_subscriptions_per100_log,wb_mobile_subscriptions_per100_log_z,robust_zscore,median_mad,4.856779241324132,0.09204988638106748,42,ok
wb_secure_servers_per_1m,wb_secure_servers_per_1m_log,log_transform,log1p,,,42,ok
wb_secure_servers_per_1m,wb_secure_servers_per_1m_z,robust_zscore,median_mad,34199.312988999955,28002.008808281782,42,ok
wb_secure_servers_per_1m_log,wb_secure_servers_per_1m_log_z,robust_zscore,median_mad,10.439299522417949,1.0542922140649829,42,ok
wb_electric_consumption_kwh_pc,wb_electric_consumption_kwh_pc_log,log_transform,log1p,,,42,ok
wb_electric_consumption_kwh_pc,wb_electric_consumption_kwh_pc_z,robust_zscore,median_mad,6137.280645345715,1811.515127327175,42,ok
wb_electric_consumption_kwh_pc_log,wb_electric_consumption_kwh_pc_log_z,robust_zscore,median_mad,8.722289407224288,0.33920144013010844,42,ok
