source_file,sha256,size_bytes,size_mb,extension,n_rows,processed_at
.gitattributes,5d318644c221f73eb6b40451a99186710921e8d22df16aaf532f83b1ca91185f,3124,0.0,,,2026-05-04T13:21:30.918343
.gitignore,cf237c7aff44efbe6e502e645c3e06da03a69d7bdeb43392108ef3348143417e,10,0.0,,,2026-05-04T13:21:30.918493
README.md,3a8e7056bf8800f1467652079a49edcc3f4dcb2bbd335450fc2d0ec5b0e18deb,4396,0.0,.md,,2026-05-04T13:21:30.918649
labor_market_impacts/job_exposure.csv,4f0a3adf5feeb2ec5f5d02ab18cc5e851a2a4b8470bde84c0c9335017be12d68,37176,0.04,.csv,757.0,2026-05-04T13:21:30.918949
labor_market_impacts/task_penetration.csv,85bee872db1d55d3e9a7f4e89da5ae4a5d59aa8ec875d728fbf4b7d820984616,1889822,1.8,.csv,17999.0,2026-05-04T13:21:30.922550
release_2025_02_10/README.md,27b0c2df5bb4563e006a208189b8031b5a7cd20110a76ac3486cb19293f7a0ac,2981,0.0,.md,,2026-05-04T13:21:30.922748
release_2025_02_10/SOC_Structure.csv,05eb5e689fb471b7a66962b57bba6666dee2c3e6a6854f0f84faf423af68dd17,77176,0.07,.csv,1597.0,2026-05-04T13:21:30.923260
release_2025_02_10/automation_vs_augmentation.csv,d1e264882b17618db4f4a00b6f87f48134222bc5c15eefb3d46aae9519e89d11,197,0.0,.csv,7.0,2026-05-04T13:21:30.923397
release_2025_02_10/bls_employment_may_2023.csv,4bbfd186cf0b87f6f57f7af86a9258ac457374440f32500b0a3515e64e35d51e,1132,0.0,.csv,23.0,2026-05-04T13:21:30.923539
release_2025_02_10/onet_task_mappings.csv,8de89c99f762146c9e46b2202c3501e2a14f11c5b44c61c8007021127b6c676e,461306,0.44,.csv,3515.0,2026-05-04T13:21:30.924676
release_2025_02_10/onet_task_statements.csv,82e4c418dc08475ef1263ad1e8c66ffa3357291370cd35ee1065ecea590597ec,3592256,3.43,.csv,19531.0,2026-05-04T13:21:30.930120
release_2025_02_10/plots/automation_vs_augmentation.png,fd534bbf2b60f501dd093abd1e486e561d647ef0c4c7f0d6b896adab85f89024,38030,0.04,.png,,2026-05-04T13:21:30.930489
release_2025_02_10/plots/occupational_category_distribution.png,e1f5c0a500075a17ca506b58e328eb266c55210e40eda5389f6aa0fec1a1ccee,141804,0.14,.png,,2026-05-04T13:21:30.930925
release_2025_02_10/plots/occupational_category_distribution_bls.png,5a0398fcb5542576c245234f48263ed39f89b5ed6b6f042256886aa19eba3b20,230300,0.22,.png,,2026-05-04T13:21:30.931452
release_2025_02_10/plots/occupations_distribution.png,899ec11727036272bcedff7b49984ca24c9885203698097c1bfab14de2edbd52,104710,0.1,.png,,2026-05-04T13:21:30.931811
release_2025_02_10/plots/task_distribution.png,489664776ce00dca17f1ff48ee53117ad49b6f88ee8728651251ce59ece7a7ad,221631,0.21,.png,,2026-05-04T13:21:30.932269
release_2025_02_10/plots/wage_distribution.png,b4bd0f32c587dbf68d412830aa8de1a31c8aba6c827fd7ae1436ebb57b2506d1,214070,0.2,.png,,2026-05-04T13:21:30.932699
release_2025_02_10/plots.ipynb,f6835a3be832d63a89a64b7c9c44a3d3420fc3369113b4e60abf870af710f0bf,25886,0.02,.ipynb,,2026-05-04T13:21:30.932864
release_2025_02_10/wage_data.csv,4453fc56402c94306e4749ad62b6f7c313f63d884ca99bab767a52e7d627b15f,128047,0.12,.csv,1091.0,2026-05-04T13:21:30.933387
release_2025_03_27/README.md,0a72214226fa9815a16881b5c872045e84a8d70420090875f1cc975c9ad8ef3a,3205,0.0,.md,,2026-05-04T13:21:30.933512
release_2025_03_27/SOC_Structure.csv,05eb5e689fb471b7a66962b57bba6666dee2c3e6a6854f0f84faf423af68dd17,77176,0.07,.csv,1597.0,2026-05-04T13:21:30.933910
