Group,Response,Percentage
U.S. adults,Fewer jobs,64
U.S. adults,Not much difference,14
U.S. adults,More jobs,5
U.S. adults,Not sure,16
AI experts,Fewer jobs,39
AI experts,Not much difference,33
AI experts,More jobs,19
AI experts,Not sure,10
