Percent of respondents,Country,Label
0.1,Global,Extremely excited
0.29,Nigeria,Extremely excited
0.27,India,Extremely excited
0.22,United Arab Emirates,Extremely excited
0.2,South Africa,Extremely excited
0.14,Brazil,Extremely excited
0.13,Mexico,Extremely excited
0.09,Singapore,Extremely excited
0.08,Germany,Extremely excited
0.07,Australia,Extremely excited
0.07,South Korea,Extremely excited
0.07,Argentina,Extremely excited
0.07,Ireland,Extremely excited
0.07,United Kingdom,Extremely excited
0.07,Spain,Extremely excited
0.07,Poland,Extremely excited
0.07,Belgium,Extremely excited
0.05,Canada,Extremely excited
0.05,France,Extremely excited
0.04,Italy,Extremely excited
0.04,United States,Extremely excited
0.02,Japan,Extremely excited
0.16,Global,Very excited
0.36,Nigeria,Very excited
0.32,India,Very excited
0.24,United Arab Emirates,Very excited
0.21,South Africa,Very excited
0.21,Brazil,Very excited
0.25,Mexico,Very excited
0.17,Singapore,Very excited
0.16,Germany,Very excited
0.13,Australia,Very excited
0.19,South Korea,Very excited
0.15,Argentina,Very excited
0.12,Ireland,Very excited
0.12,United Kingdom,Very excited
0.14,Spain,Very excited
0.16,Poland,Very excited
0.1,Belgium,Very excited
0.09,Canada,Very excited
0.09,France,Very excited
0.09,Italy,Very excited
0.05,United States,Very excited
0.09,Japan,Very excited
0.26,Global,Somewhat excited
0.17,Nigeria,Somewhat excited
0.24,India,Somewhat excited
0.32,United Arab Emirates,Somewhat excited
0.29,South Africa,Somewhat excited
0.2,Brazil,Somewhat excited
0.27,Mexico,Somewhat excited
0.39,Singapore,Somewhat excited
0.25,Germany,Somewhat excited
0.22,Australia,Somewhat excited
0.41,South Korea,Somewhat excited
0.25,Argentina,Somewhat excited
0.28,Ireland,Somewhat excited
0.21,United Kingdom,Somewhat excited
0.26,Spain,Somewhat excited
0.26,Poland,Somewhat excited
0.23,Belgium,Somewhat excited
0.19,Canada,Somewhat excited
0.24,France,Somewhat excited
0.29,Italy,Somewhat excited
0.16,United States,Somewhat excited
0.31,Japan,Somewhat excited
