Category,Country,Response
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years ,Hungary,0.07
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years ,Hungary,0.03
I trust artificial intelligence to not discriminate or show bias toward any group of people ,Hungary,-0.04
I trust that companies that use artificial intelligence will protect my personal data ,Hungary,-0.09
Products and services using artificial intelligence make me excited ,Hungary,-0.03
Products and services using artificial intelligence make me nervous ,Hungary,0.11
Products and services using artificial intelligence make me nervous ,India,0.14
Products and services using artificial intelligence make me excited ,India,0.02
I trust that companies that use artificial intelligence will protect my personal data ,India,0.06
I trust artificial intelligence to not discriminate or show bias toward any group of people ,India,0.04
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years ,India,0.02
I know which types of products and services use artificial intelligence ,India,0.03
I have a good understanding of what artificial intelligence is ,India,0.03
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years ,India,0.04
I have a good understanding of what artificial intelligence is ,Indonesia,0.05
I know which types of products and services use artificial intelligence ,Indonesia,0.04
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years ,Indonesia,0.05
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years ,Indonesia,0.04
I trust artificial intelligence to not discriminate or show bias toward any group of people ,Indonesia,0.1
I trust that companies that use artificial intelligence will protect my personal data ,Indonesia,0.06
Products and services using artificial intelligence make me excited ,Indonesia,0.04
Products and services using artificial intelligence make me nervous ,Indonesia,-0.05
I trust that companies that use artificial intelligence will protect my personal data ,Ireland,-0.03
Products and services using artificial intelligence make me excited ,Ireland,0.01
I trust artificial intelligence to not discriminate or show bias toward any group of people ,Ireland,0.01
Products and services using artificial intelligence make me nervous ,Ireland,-0.03
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years ,Ireland,0.02
I have a good understanding of what artificial intelligence is ,Ireland,-0.02
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years ,Ireland,-0.05
I know which types of products and services use artificial intelligence ,Ireland,0.03
I have a good understanding of what artificial intelligence is ,Italy,-0.01
I know which types of products and services use artificial intelligence ,Italy,-0.05
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years ,Italy,0.06
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years ,Italy,0.02
I trust artificial intelligence to not discriminate or show bias toward any group of people ,Italy,-0.04
I trust that companies that use artificial intelligence will protect my personal data ,Italy,-0.04
Products and services using artificial intelligence make me excited ,Italy,0
Products and services using artificial intelligence make me nervous ,Italy,0.01
I trust that companies that use artificial intelligence will protect my personal data ,Japan,0.04
Products and services using artificial intelligence make me nervous ,Japan,0.04
Products and services using artificial intelligence make me excited ,Japan,-0.01
I trust artificial intelligence to not discriminate or show bias toward any group of people ,Japan,0.01
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years ,Japan,-0.03
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years ,Japan,0
I know which types of products and services use artificial intelligence ,Japan,-0.02
I have a good understanding of what artificial intelligence is ,Japan,-0.03
I have a good understanding of what artificial intelligence is ,Malaysia,0.09
I know which types of products and services use artificial intelligence ,Malaysia,0.1
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years ,Malaysia,0.11
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years ,Malaysia,0.09
I trust artificial intelligence to not discriminate or show bias toward any group of people ,Malaysia,0.09
I trust that companies that use artificial intelligence will protect my personal data ,Malaysia,0.1
Products and services using artificial intelligence make me excited ,Malaysia,0.09
Products and services using artificial intelligence make me nervous ,Malaysia,0.05
Products and services using artificial intelligence make me excited ,Mexico,-0.05
I trust that companies that use artificial intelligence will protect my personal data ,Mexico,-0.05
I trust artificial intelligence to not discriminate or show bias toward any group of people ,Mexico,-0.03
Products and services using artificial intelligence make me nervous ,Mexico,0.06
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years ,Mexico,-0.02
I know which types of products and services use artificial intelligence ,Mexico,-0.02
I have a good understanding of what artificial intelligence is ,Mexico,-0.05
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years ,Mexico,-0.01
I have a good understanding of what artificial intelligence is ,Netherlands,0.05
I know which types of products and services use artificial intelligence ,Netherlands,0.04
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years ,Netherlands,0.09
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years ,Netherlands,0.06
I trust artificial intelligence to not discriminate or show bias toward any group of people ,Netherlands,-0.05
I trust that companies that use artificial intelligence will protect my personal data ,Netherlands,-0.05
Products and services using artificial intelligence make me excited ,Netherlands,-0.01
Products and services using artificial intelligence make me nervous ,Netherlands,0.03
Products and services using artificial intelligence make me nervous ,Peru,-0.03
Products and services using artificial intelligence make me excited ,Peru,-0.01
I trust that companies that use artificial intelligence will protect my personal data ,Peru,-0.01
I trust artificial intelligence to not discriminate or show bias toward any group of people ,Peru,-0.03
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years ,Peru,-0.05
