,participant_group,question_set_name,question_resolution_date,question_resolution_year,question_percentile,unit_name,w_median,median,w_mean,mean
0,Superforecaster,AI Companions,2040-12-31,2040,75.0,percent,40.0,40.0,49.05321428571428,49.05321428571428
1,Superforecaster,AI Companions,2040-12-31,2040,50.0,percent,28.6,28.6,33.526785714285715,33.526785714285715
2,Superforecaster,AI Companions,2040-12-31,2040,25.0,percent,15.0,15.0,17.721785714285712,17.721785714285712
3,Superforecaster,AI Companions,2030-12-31,2030,25.0,percent,10.0,10.0,10.73625,10.73625
4,Superforecaster,AI Companions,2030-12-31,2030,50.0,percent,15.45,15.45,19.957142857142856,19.957142857142856
5,Superforecaster,AI Companions,2030-12-31,2030,75.0,percent,25.0,25.0,31.21642857142857,31.21642857142857
6,Superforecaster,AI Companions,2027-12-31,2027,75.0,percent,15.0,15.0,18.377142857142854,18.377142857142854
7,Superforecaster,AI Companions,2027-12-31,2027,50.0,percent,10.0,10.0,11.305357142857144,11.305357142857144
8,Superforecaster,AI Companions,2027-12-31,2027,25.0,percent,7.0,7.0,6.819285714285714,6.819285714285714
9,Expert,AI Companions,2027-12-31,2027,75.0,percent,15.0,15.0,18.514038055813863,18.901297709923664
10,Expert,AI Companions,2027-12-31,2027,50.0,percent,10.0,10.0,12.283509913909471,12.239274809160305
11,Expert,AI Companions,2027-12-31,2027,25.0,percent,7.0,6.7,7.858721040685526,7.695610687022901
12,Expert,AI Companions,2030-12-31,2030,25.0,percent,10.0,10.0,12.34651088380278,12.238931297709923
13,Expert,AI Companions,2030-12-31,2030,50.0,percent,15.1,15.95,19.974048854625995,20.12709923664122
14,Expert,AI Companions,2030-12-31,2030,75.0,percent,25.0,25.0,29.616154223035473,30.72480916030534
15,Expert,AI Companions,2040-12-31,2040,75.0,percent,45.0,50.0,47.56213126556078,50.022099236641225
16,Expert,AI Companions,2040-12-31,2040,50.0,percent,30.0,30.0,31.63374028856825,33.186641221374046
17,Expert,AI Companions,2040-12-31,2040,25.0,percent,15.0,15.0,19.283168251492334,19.36167938931298
18,Public,AI Companions,2027-12-31,2027,75.0,percent,12.0,12.0,14.545833480314343,14.420069790628116
19,Public,AI Companions,2027-12-31,2027,50.0,percent,9.0,9.0,10.445839555529426,10.30704885343968
20,Public,AI Companions,2027-12-31,2027,25.0,percent,6.0,6.0,7.0210320026652555,6.910568295114656
21,Public,AI Companions,2030-12-31,2030,25.0,percent,9.0,9.0,10.711388186646287,10.560787637088733
22,Public,AI Companions,2030-12-31,2030,50.0,percent,13.0,12.8,15.617283398984851,15.487318045862413
23,Public,AI Companions,2030-12-31,2030,75.0,percent,17.0,17.0,21.24513394869383,21.230309072781655
24,Public,AI Companions,2040-12-31,2040,75.0,percent,25.0,26.0,31.667807631254046,31.947437686939182
25,Public,AI Companions,2040-12-31,2040,50.0,percent,20.0,20.0,23.747917083112863,23.83899302093719
26,Public,AI Companions,2040-12-31,2040,25.0,percent,15.0,14.1,16.682923256315284,16.589182452642074
