state,net_concern
AL,8
AZ,16
AR,11
CA,11
CO,14
CT,17
FL,12
GA,6
IL,16
IN,15
IA,21
KS,15
KY,17
LA,12
MD,13
MA,20
MI,14
MN,22
MS,6
MO,28
NE,12
NV,9
NH,18
NJ,15
NM,22
NY,5
NC,13
OH,16
OK,17
OR,24
PA,18
SC,15
TN,6
TX,8
UT,19
VA,16
WA,24
WV,14
WI,20
