Percentage,Category,Label
73,Cashiers,U.S. adults
67,Factory workers,U.S. adults
59,Journalists,U.S. adults
48,Software engineers,U.S. adults
45,Musicians,U.S. adults
43,Teachers,U.S. adults
33,Truck drivers,U.S. adults
29,Mental health therapists,U.S. adults
28,Medical doctors,U.S. adults
23,Lawyers,U.S. adults
73,Cashiers,AI experts
60,Factory workers,AI experts
60,Journalists,AI experts
50,Software engineers,AI experts
35,Musicians,AI experts
31,Teachers,AI experts
62,Truck drivers,AI experts
27,Mental health therapists,AI experts
18,Medical doctors,AI experts
38,Lawyers,AI experts
