Percentage,Category,Label
44,Medical care,U.S. adults
24,K-12 education,U.S. adults
23,How people do their jobs,U.S. adults
21,The economy,U.S. adults
20,Arts and entertainment,U.S. adults
20,The environment,U.S. adults
19,The criminal justice system,U.S. adults
10,The news people get,U.S. adults
9,Elections,U.S. adults
7,Personal relationships,U.S. adults
84,Medical care,AI experts
61,K-12 education,AI experts
73,How people do their jobs,AI experts
69,The economy,AI experts
48,Arts and entertainment,AI experts
36,The environment,AI experts
32,The criminal justice system,AI experts
18,The news people get,AI experts
11,Elections,AI experts
22,Personal relationships,AI experts
