iso3,country_name,region,income_group,pct_coverage_regulatory_treatment,avg_pct_rank_regulatory_treatment,pct_coverage_ecosystem_outcome,avg_pct_rank_ecosystem_outcome,pct_coverage_adoption_diffusion,avg_pct_rank_adoption_diffusion,pct_coverage_socioeconomic_control,avg_pct_rank_socioeconomic_control,pct_coverage_institutional_control,avg_pct_rank_institutional_control,pct_coverage_tech_infrastructure_control,avg_pct_rank_tech_infrastructure_control
SGP,Singapore,East Asia & Pacific,High income,100.0,57.52,97.58,15.09,57.14,35.91,96.43,25.38,87.1,38.09,92.22,17.17
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,96.77,65.47,99.19,30.09,57.14,38.27,96.43,33.57,64.52,36.45,91.62,25.95
IRL,Ireland,Europe & Central Asia,High income,41.94,48.65,99.19,22.7,100.0,35.66,100.0,33.33,100.0,49.84,97.01,25.33
CHL,Chile,Latin America & Caribbean ,High income,96.77,69.6,99.19,38.53,57.14,49.63,100.0,38.11,100.0,47.87,99.4,44.28
