iso3,country_name_canonical,region,income_group,n_vars_total,n_vars_available,n_vars_missing,pct_vars_available,pct_regulatory_treatment,pct_ecosystem_outcome,pct_adoption_diffusion,pct_socioeconomic_control,pct_institutional_control,pct_tech_infrastructure_control,n_blocks_with_data,included_in_dense_candidate
COL,Colombia,Latin America & Caribbean ,Upper middle income,397,392,5,98.74,96.97,99.19,100.0,96.43,100.0,98.8,6,True
KOR,South Korea,East Asia & Pacific,High income,397,392,5,98.74,100.0,99.19,92.86,100.0,100.0,98.2,6,True
BRA,Brazil,Latin America & Caribbean ,Upper middle income,397,389,8,97.98,96.97,100.0,100.0,96.43,90.32,98.2,6,True
GBR,United Kingdom,Europe & Central Asia,High income,397,389,8,97.98,100.0,98.39,92.86,96.43,100.0,97.6,6,True
CAN,Canada,North America,High income,397,388,9,97.73,100.0,96.77,100.0,100.0,100.0,97.01,6,True
CHL,Chile,Latin America & Caribbean ,High income,397,388,9,97.73,96.97,99.19,57.14,100.0,100.0,99.4,6,True
JPN,Japan,East Asia & Pacific,High income,397,387,10,97.48,96.97,99.19,85.71,96.43,100.0,97.01,6,True
TUR,Turkiye,Europe & Central Asia,Upper middle income,397,387,10,97.48,84.85,100.0,100.0,96.43,93.55,98.8,6,True
AUS,Australia,East Asia & Pacific,High income,397,386,11,97.23,100.0,99.19,100.0,96.43,100.0,94.61,6,True
NZL,New Zealand,East Asia & Pacific,High income,397,385,12,96.98,96.97,97.58,92.86,100.0,100.0,95.81,6,True
ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income,397,383,14,96.47,84.85,98.39,100.0,96.43,100.0,96.41,6,True
ARG,Argentina,Latin America & Caribbean ,Upper middle income,397,379,18,95.47,96.97,97.58,57.14,100.0,90.32,97.01,6,True
IDN,Indonesia,East Asia & Pacific,Upper middle income,397,377,20,94.96,96.97,99.19,57.14,96.43,90.32,95.21,6,True
ITA,Italy,Europe & Central Asia,High income,397,376,21,94.71,42.42,100.0,100.0,100.0,100.0,98.8,6,True
USA,United States,North America,High income,397,375,22,94.46,100.0,96.77,71.43,100.0,93.55,92.81,6,True
PRT,Portugal,Europe & Central Asia,High income,397,375,22,94.46,39.39,100.0,100.0,100.0,100.0,98.8,6,True
FRA,France,Europe & Central Asia,High income,397,374,23,94.21,39.39,100.0,100.0,100.0,100.0,98.2,6,True
ESP,Spain,Europe & Central Asia,High income,397,374,23,94.21,39.39,100.0,100.0,100.0,100.0,98.2,6,True
FIN,Finland,Europe & Central Asia,High income,397,373,24,93.95,39.39,100.0,100.0,100.0,100.0,97.6,6,True
HUN,Hungary,Europe & Central Asia,High income,397,373,24,93.95,39.39,99.19,100.0,100.0,100.0,98.2,6,True
AUT,Austria,Europe & Central Asia,High income,397,373,24,93.95,39.39,99.19,100.0,100.0,100.0,98.2,6,True
IND,India,South Asia,Lower middle income,397,373,24,93.95,96.97,98.39,57.14,96.43,87.1,94.01,6,True
NLD,Netherlands (Kingdom of the),Europe & Central Asia,High income,397,372,25,93.7,39.39,98.39,100.0,100.0,100.0,98.2,6,True
VNM,Vietnam,East Asia & Pacific,Lower middle income,397,372,25,93.7,96.97,99.19,57.14,92.86,87.1,93.41,6,True
BEL,Belgium,Europe & Central Asia,High income,397,372,25,93.7,39.39,98.39,100.0,100.0,100.0,98.2,6,True
IRL,Ireland,Europe & Central Asia,High income,397,371,26,93.45,39.39,99.19,100.0,100.0,100.0,97.01,6,True
SVN,Slovenia,Europe & Central Asia,High income,397,370,27,93.2,39.39,97.58,100.0,100.0,100.0,97.6,6,True
MEX,Mexico,Latin America & Caribbean ,Upper middle income,397,370,27,93.2,39.39,99.19,57.14,100.0,100.0,100.0,6,True
SGP,Singapore,East Asia & Pacific,High income,397,370,27,93.2,100.0,97.58,57.14,96.43,87.1,92.22,6,True
NOR,Norway,Europe & Central Asia,High income,397,368,29,92.7,27.27,98.39,100.0,100.0,100.0,98.2,6,True
DEU,Germany,Europe & Central Asia,High income,397,368,29,92.7,42.42,100.0,100.0,100.0,100.0,94.01,6,True
PER,Peru,Latin America & Caribbean ,Upper middle income,397,368,29,92.7,72.73,100.0,57.14,92.86,90.32,94.61,6,True
EGY,Egypt,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,397,368,29,92.7,96.97,97.58,57.14,85.71,87.1,93.41,6,True
EST,Estonia,Europe & Central Asia,High income,397,368,29,92.7,39.39,98.39,78.57,100.0,100.0,97.6,6,True
POL,Poland,Europe & Central Asia,High income,397,368,29,92.7,15.15,99.19,100.0,100.0,100.0,100.0,6,True
SWE,Sweden,Europe & Central Asia,High income,397,367,30,92.44,27.27,98.39,100.0,100.0,100.0,97.6,6,True
LTU,Lithuania,Europe & Central Asia,High income,397,367,30,92.44,36.36,96.77,100.0,100.0,100.0,97.01,6,True
DNK,Denmark,Europe & Central Asia,High income,397,366,31,92.19,27.27,100.0,100.0,100.0,100.0,95.81,6,True
GRC,Greece,Europe & Central Asia,High income,397,364,33,91.69,39.39,98.39,100.0,96.43,100.0,94.01,6,True
SVK,Slovakia,Europe & Central Asia,High income,397,364,33,91.69,39.39,98.39,100.0,100.0,100.0,93.41,6,True
CHE,Switzerland,Europe & Central Asia,High income,397,364,33,91.69,39.39,98.39,92.86,100.0,100.0,94.01,6,True
KEN,Kenya,Sub-Saharan Africa ,Lower middle income,397,364,33,91.69,96.97,99.19,57.14,92.86,90.32,88.02,6,True
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,397,363,34,91.44,96.97,99.19,57.14,96.43,64.52,91.62,6,True
ROU,Romania,Europe & Central Asia,High income,397,362,35,91.18,15.15,99.19,100.0,100.0,80.65,100.0,6,True
CHN,China,East Asia & Pacific,Upper middle income,397,361,36,90.93,100.0,97.58,21.43,89.29,90.32,90.42,6,True
SAU,Saudi Arabia,"Middle East, North Africa, Afghanistan & Pakistan",High income,397,360,37,90.68,96.97,98.39,57.14,92.86,87.1,86.83,6,True
LUX,Luxembourg,Europe & Central Asia,High income,397,359,38,90.43,27.27,95.16,78.57,100.0,100.0,97.01,6,True
CZE,Czech Republic,Europe & Central Asia,High income,397,358,39,90.18,3.03,98.39,100.0,100.0,100.0,97.01,6,True
LVA,Latvia,Europe & Central Asia,High income,397,357,40,89.92,12.12,97.58,78.57,100.0,100.0,97.01,6,True
MYS,Malaysia,East Asia & Pacific,Upper middle income,397,357,40,89.92,39.39,100.0,57.14,96.43,87.1,94.61,6,True
HRV,Croatia,Europe & Central Asia,High income,397,355,42,89.42,15.15,98.39,100.0,100.0,80.65,96.41,6,True
CRI,Costa Rica,Latin America & Caribbean ,High income,397,355,42,89.42,15.15,97.58,57.14,100.0,100.0,97.01,6,True
ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,397,354,43,89.17,39.39,98.39,57.14,96.43,90.32,93.41,6,True
MUS,Mauritius,Sub-Saharan Africa ,Upper middle income,397,353,44,88.92,69.7,95.16,35.71,92.86,87.1,92.22,6,True
ISL,Iceland,Europe & Central Asia,High income,397,352,45,88.66,27.27,95.16,50.0,100.0,100.0,95.21,6,True
BGR,Bulgaria,Europe & Central Asia,High income,397,350,47,88.16,15.15,97.58,100.0,100.0,80.65,94.01,6,True
TUN,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,397,350,47,88.16,36.36,96.77,57.14,96.43,87.1,93.41,6,True
MAR,Morocco,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,397,349,48,87.91,39.39,97.58,57.14,85.71,87.1,93.41,6,True
THA,Thailand,East Asia & Pacific,Upper middle income,397,349,48,87.91,15.15,99.19,57.14,100.0,90.32,94.01,6,True
URY,Uruguay,Latin America & Caribbean ,High income,397,347,50,87.41,39.39,95.97,57.14,96.43,87.1,91.62,6,True
PHL,Philippines (the),East Asia & Pacific,Lower middle income,397,345,52,86.9,15.15,99.19,57.14,92.86,90.32,92.81,6,True
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,397,345,52,86.9,12.12,99.19,57.14,96.43,87.1,93.41,6,True
RUS,Russia,Europe & Central Asia,High income,397,344,53,86.65,27.27,99.19,21.43,96.43,83.87,93.41,6,True
SRB,Serbia,Europe & Central Asia,Upper middle income,397,342,55,86.15,15.15,98.39,57.14,92.86,87.1,92.22,6,True
NGA,Nigeria,Sub-Saharan Africa ,Lower middle income,397,342,55,86.15,96.97,95.97,57.14,67.86,83.87,82.63,6,True
UKR,Ukraine,Europe & Central Asia,Upper middle income,397,340,57,85.64,15.15,97.58,57.14,96.43,67.74,94.61,6,True
MLT,Malta,"Middle East, North Africa, Afghanistan & Pakistan",High income,397,340,57,85.64,24.24,97.58,35.71,100.0,77.42,92.22,6,True
PAN,Panama,Latin America & Caribbean ,High income,397,339,58,85.39,12.12,97.58,57.14,96.43,83.87,91.62,6,True
PAK,Pakistan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,397,338,59,85.14,39.39,95.97,57.14,89.29,83.87,88.02,6,True
ARM,Armenia,Europe & Central Asia,Upper middle income,397,338,59,85.14,36.36,96.77,57.14,92.86,70.97,89.82,6,True
QAT,Qatar,"Middle East, North Africa, Afghanistan & Pakistan",High income,397,337,60,84.89,39.39,95.97,57.14,96.43,64.52,89.82,6,True
LKA,Sri Lanka,South Asia,Lower middle income,397,335,62,84.38,36.36,95.16,57.14,89.29,64.52,91.02,6,True
CYP,Cyprus,Europe & Central Asia,High income,397,334,63,84.13,3.03,96.77,35.71,100.0,77.42,93.41,6,True
GEO,Georgia,Europe & Central Asia,Upper middle income,397,332,65,83.63,15.15,97.58,57.14,96.43,67.74,89.82,6,True
BGD,Bangladesh,South Asia,Lower middle income,397,332,65,83.63,60.61,94.35,57.14,78.57,67.74,86.23,6,True
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,397,332,65,83.63,36.36,96.77,35.71,92.86,64.52,89.22,6,True
MDA,Moldova,Europe & Central Asia,Upper middle income,397,332,65,83.63,12.12,96.77,57.14,96.43,70.97,90.42,6,True
ECU,Ecuador,Latin America & Caribbean ,Upper middle income,397,332,65,83.63,12.12,96.77,57.14,85.71,83.87,89.82,6,True
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,397,331,66,83.38,15.15,96.77,57.14,85.71,87.1,88.02,6,True
SEN,Senegal,Sub-Saharan Africa ,Lower middle income,397,331,66,83.38,12.12,95.97,57.14,82.14,83.87,90.42,6,True
JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,397,331,66,83.38,12.12,97.58,57.14,89.29,67.74,91.02,6,True
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,397,330,67,83.12,0.0,96.77,57.14,92.86,87.1,89.22,5,True
RWA,Rwanda,Sub-Saharan Africa ,Low income,397,330,67,83.12,12.12,94.35,57.14,92.86,87.1,88.62,6,True
GTM,Guatemala,Latin America & Caribbean ,Upper middle income,397,329,68,82.87,15.15,94.35,57.14,92.86,83.87,88.02,6,True
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,397,328,69,82.62,12.12,96.77,57.14,96.43,67.74,88.62,6,True
MKD,North Macedonia,Europe & Central Asia,Upper middle income,397,328,69,82.62,12.12,96.77,35.71,89.29,87.1,88.02,6,True
ALB,Albania,Europe & Central Asia,Upper middle income,397,327,70,82.37,12.12,96.77,57.14,92.86,87.1,85.03,6,True
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,397,327,70,82.37,12.12,97.58,57.14,92.86,67.74,88.02,6,True
GHA,Ghana,Sub-Saharan Africa ,Lower middle income,397,327,70,82.37,15.15,95.97,57.14,85.71,83.87,86.83,6,True
SLV,El Salvador,Latin America & Caribbean ,Upper middle income,397,327,70,82.37,12.12,94.35,57.14,92.86,83.87,87.43,6,True
MNG,Mongolia,East Asia & Pacific,Upper middle income,397,326,71,82.12,12.12,97.58,57.14,92.86,67.74,87.43,6,True
NAM,Namibia,Sub-Saharan Africa ,Lower middle income,397,325,72,81.86,15.15,96.77,21.43,92.86,87.1,86.23,6,True
BWA,Botswana,Sub-Saharan Africa ,Upper middle income,397,325,72,81.86,15.15,95.97,57.14,78.57,87.1,86.23,6,True
