bloque_tematico,variable_matriz,tipo_matriz,source_id,unit,is_primary,n_non_null,pct_complete,n_unique,median,iqr,min,max
ecosystem_outcome,oxford_ind_open_data,numeric,oxford,score_0_100,True,187,93.97,34,35.75,50.75,0.0,90.0
ecosystem_outcome,oxford_ind_procurement_data,numeric,oxford,score_0_100,True,187,93.97,79,45.0,29.125,0.0,96.0
ecosystem_outcome,oxford_ind_rd_spending_log,numeric,oxford,score_0_100,True,190,95.48,138,16.820578,29.280839,0.548271,100.0
ecosystem_outcome,oxford_ind_regulatory_quality,numeric,oxford,score_0_100,False,193,96.98,159,47.0,26.0,2.2,94.2
ecosystem_outcome,oxford_ind_software_spending,numeric,oxford,score_0_100,True,184,92.46,142,17.496277,23.507395,0.0,100.0
ecosystem_outcome,oxford_ind_statistical_capacity,numeric,oxford,score_0_100,True,192,96.48,181,61.824167,25.423021,19.617917,90.09375
ecosystem_outcome,oxford_ind_stem_graduates,numeric,oxford,score_0_100,True,193,96.98,146,28.108653,11.259207,1.682002,100.0
ecosystem_outcome,oxford_ind_supercomputers_log,numeric,oxford,score_0_100,True,193,96.98,17,0.0,0.0,0.0,100.0
ecosystem_outcome,oxford_ind_telecom_infrastructure,numeric,oxford,score_0_100,True,193,96.98,190,60.82,43.62,0.0,100.0
ecosystem_outcome,oxford_ind_time_govt_regulations,numeric,oxford,score_0_100,True,180,90.45,103,91.55,7.691667,71.2,99.9
ecosystem_outcome,oxford_ind_vc_availability,numeric,oxford,score_0_100,True,180,90.45,52,10.0,15.714286,0.0,100.0
ecosystem_outcome,oxford_infrastructure,numeric,oxford,score_0_100,True,193,96.98,193,35.708667,30.811276,1.693333,88.378778
ecosystem_outcome,oxford_innovation_capacity,numeric,oxford,score_0_100,True,193,96.98,190,40.550897,17.36979,11.003264,92.476371
ecosystem_outcome,oxford_maturity,numeric,oxford,score_0_100,True,193,96.98,190,20.171085,17.62548,0.0,83.796707
ecosystem_outcome,oxford_policy_capacity,numeric,oxford,score_0_100,True,195,97.99,55,34.5,64.5,0.0,100.0
ecosystem_outcome,oxford_policy_commitment,numeric,oxford,score_0_100,True,195,97.99,11,25.0,62.5,0.0,100.0
ecosystem_outcome,oxford_policy_vision,numeric,oxford,score_0_100,True,195,97.99,13,40.0,50.0,0.0,100.0
ecosystem_outcome,oxford_public_sector_adoption,numeric,oxford,score_0_100,True,195,97.99,194,48.35,47.86,0.0,99.63
ecosystem_outcome,oxford_regulatory_compliance,numeric,oxford,score_0_100,True,195,97.99,95,53.72,40.925,0.0,92.25
ecosystem_outcome,oxford_resilience,numeric,oxford,score_0_100,True,195,97.99,190,38.98,27.07,7.46,90.01
ecosystem_outcome,oxford_safety_security,numeric,oxford,score_0_100,True,195,97.99,41,33.33,40.83,0.0,100.0
ecosystem_outcome,oxford_size,numeric,oxford,score_0_100,True,176,88.44,176,18.850493,17.753038,1.691379,87.03541
ecosystem_outcome,oxford_societal_transition,numeric,oxford,score_0_100,True,195,97.99,183,44.25,21.35,14.92,90.67
ecosystem_outcome,oxford_technology_sector,numeric,oxford,score_0_100,True,193,96.98,193,32.64685,16.686408,14.26929,80.943829
ecosystem_outcome,oxford_total_score,numeric,oxford,score_0_100,True,195,97.99,192,40.19,34.18,12.12,88.36
ecosystem_outcome,oxford_vision,numeric,oxford,score_0_100,True,193,96.98,3,0.0,100.0,0.0,100.0
ecosystem_outcome,stanford_fig_6_3_5_fig_6_3_5_volume_of_publications,numeric,stanford,count,True,39,19.6,12,2.0,4.0,1.0,62.0
ecosystem_outcome,wipo_appcrea_score,numeric,wipo,score_0_100,True,104,52.26,101,7.812085,19.921378,0.0,100.0
ecosystem_outcome,wipo_brandval_score,numeric,wipo,score_0_100,True,113,56.78,80,3.961682,22.023071,0.0,100.0
ecosystem_outcome,wipo_c_scitechart_score,numeric,wipo,score_0_100,True,131,65.83,131,20.000387,30.749135,0.0,100.0
ecosystem_outcome,wipo_creagoodexp_score,numeric,wipo,score_0_100,True,131,65.83,127,4.457242,18.949792,0.0,100.0
ecosystem_outcome,wipo_elecout_score,numeric,wipo,score_0_100,True,124,62.31,123,11.508996,18.78328,0.0,100.0
ecosystem_outcome,wipo_gii_score,numeric,wipo,score_0_100,True,141,70.85,141,28.480284,19.043326,11.909935,65.961951
ecosystem_outcome,wipo_industdes_score,numeric,wipo,score_0_100,True,121,60.8,117,6.223413,14.537151,0.0,100.0
ecosystem_outcome,wipo_out_6_1_1_score,numeric,wipo,score_0_100,True,140,70.35,139,11.52954,18.168163,0.0,100.0
ecosystem_outcome,wipo_out_6_1_2_score,numeric,wipo,score_0_100,True,125,62.81,109,3.070959,18.884461,0.0,100.0
ecosystem_outcome,wipo_out_6_1_3_score,numeric,wipo,score_0_100,True,88,44.22,75,4.779145,23.614405,0.0,100.0
ecosystem_outcome,wipo_out_6_1_4_score,numeric,wipo,score_0_100,True,141,70.85,141,19.920063,27.943231,0.0,100.0
ecosystem_outcome,wipo_out_6_1_5_score,numeric,wipo,score_0_100,True,141,70.85,121,11.378446,23.609023,0.0,100.0
ecosystem_outcome,wipo_out_6_1_score,numeric,wipo,score_0_100,True,141,70.85,141,12.938514,20.597539,0.342343,70.299782
ecosystem_outcome,wipo_out_6_2_1_score,numeric,wipo,score_0_100,True,139,69.85,138,50.012568,19.161042,0.0,100.0
ecosystem_outcome,wipo_out_6_2_2_score,numeric,wipo,score_0_100,True,140,70.35,49,0.0,16.29005,0.0,100.0
ecosystem_outcome,wipo_out_6_2_3_score,numeric,wipo,score_0_100,True,139,69.85,139,15.79878,21.381943,0.0,100.0
ecosystem_outcome,wipo_out_6_2_4_score,numeric,wipo,score_0_100,True,137,68.84,137,20.975272,34.945235,0.0,100.0
ecosystem_outcome,wipo_out_6_2_5_score,numeric,wipo,score_0_100,True,110,55.28,110,29.93278,36.815666,0.0,100.0
ecosystem_outcome,wipo_out_6_2_score,numeric,wipo,score_0_100,True,141,70.85,141,24.343589,16.797153,0.974279,78.708675
ecosystem_outcome,wipo_out_6_3_1_score,numeric,wipo,score_0_100,True,141,70.85,129,3.277356,14.017509,0.0,100.0
ecosystem_outcome,wipo_out_6_3_2_score,numeric,wipo,score_0_100,True,130,65.33,130,47.661475,32.379786,0.0,100.0
