variable_matriz,source_id,bloque_tematico,unit,direction,is_primary,n_total,n_non_null,n_missing,pct_complete,pct_missing
oxford_ind_online_services,oxford,ecosystem_outcome,score_0_100,higher_better,True,199,193,6,96.98,3.02
oxford_ind_github_activity_log,oxford,ecosystem_outcome,score_0_100,higher_better,True,199,193,6,96.98,3.02
oxford_innovation_capacity,oxford,ecosystem_outcome,score_0_100,higher_better,True,199,193,6,96.98,3.02
oxford_ind_ai_unicorns_log,oxford,ecosystem_outcome,score_0_100,higher_better,True,199,193,6,96.98,3.02
oxford_ind_cybersecurity,oxford,ecosystem_outcome,score_0_100,higher_better,True,199,193,6,96.98,3.02
oxford_ind_data_governance,oxford,ecosystem_outcome,score_0_100,higher_better,True,199,193,6,96.98,3.02
oxford_ind_eng_tech_higher_ed_quality,oxford,ecosystem_outcome,score_0_100,higher_better,True,199,193,6,96.98,3.02
oxford_human_capital,oxford,ecosystem_outcome,score_0_100,higher_better,True,199,193,6,96.98,3.02
oxford_ind_5g_infrastructure,oxford,ecosystem_outcome,score_0_100,higher_better,True,199,193,6,96.98,3.02
oxford_ind_accountability,oxford,ecosystem_outcome,score_0_100,higher_better,True,199,193,6,96.98,3.02
oxford_infrastructure,oxford,ecosystem_outcome,score_0_100,higher_better,True,199,193,6,96.98,3.02
oxford_ind_statistical_capacity,oxford,ecosystem_outcome,score_0_100,higher_better,True,199,192,7,96.48,3.52
oxford_ind_data_protection_laws,oxford,ecosystem_outcome,score_0_100,higher_better,True,199,192,7,96.48,3.52
oxford_ind_ict_trade_services_log,oxford,ecosystem_outcome,score_0_100,higher_better,True,199,192,7,96.48,3.52
oxford_data_representativeness,oxford,ecosystem_outcome,score_0_100,higher_better,True,199,192,7,96.48,3.52
oxford_ind_ict_trade_goods_log,oxford,ecosystem_outcome,score_0_100,higher_better,True,199,192,7,96.48,3.52
oxford_ind_households_internet,oxford,ecosystem_outcome,score_0_100,higher_better,True,199,192,7,96.48,3.52
wb_fdi_net_inflows,wb,socioeconomic_control,count,unknown,True,199,191,8,95.98,4.02
oecd_2_indigo_oecd_indigo_score,oecd,tech_infrastructure_control,score_0_100,higher_better,True,199,191,8,95.98,4.02
oxford_ind_cost_internet_device,oxford,ecosystem_outcome,score_0_100,higher_better,True,199,191,8,95.98,4.02
wb_internet_penetration,wb,tech_infrastructure_control,count,higher_better,True,199,191,8,95.98,4.02
oxford_ind_female_stem_graduates,oxford,ecosystem_outcome,score_0_100,higher_better,True,199,190,9,95.48,4.52
oxford_ind_rd_spending_log,oxford,ecosystem_outcome,score_0_100,higher_better,True,199,190,9,95.48,4.52
wb_fdi_pct_gdp,wb,socioeconomic_control,pct,higher_better,True,199,189,10,94.97,5.03
wb_gdp_per_capita_ppp,wb,socioeconomic_control,usd,higher_better,True,199,189,10,94.97,5.03
