iso3,country_name_canonical,region,income_group,umap_x,umap_y,method
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,,,not_estimated
AGO,Angola,Sub-Saharan Africa ,Lower middle income,-25.52322000511154,-3.111320995600946,pca_2d_fallback_for_umap_slot
ALB,Albania,Europe & Central Asia,Upper middle income,-14.593359186729588,-7.983654736076572,pca_2d_fallback_for_umap_slot
AND,Andorra,Europe & Central Asia,High income,,,not_estimated
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,-0.5269406473737381,0.7437683666574838,pca_2d_fallback_for_umap_slot
ARG,Argentina,Latin America & Caribbean ,Upper middle income,-28.27824814636334,7.615224261787075,pca_2d_fallback_for_umap_slot
ARM,Armenia,Europe & Central Asia,Upper middle income,-13.10141393356805,-8.301633638574645,pca_2d_fallback_for_umap_slot
ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,,,not_estimated
AUS,Australia,East Asia & Pacific,High income,,,not_estimated
AUT,Austria,Europe & Central Asia,High income,28.407454284898463,-6.297806434002233,pca_2d_fallback_for_umap_slot
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,-15.476223721484853,-6.756293381939653,pca_2d_fallback_for_umap_slot
BDI,Burundi,Sub-Saharan Africa ,Low income,,,not_estimated
BEL,Belgium,Europe & Central Asia,High income,22.990394717962122,-7.560986337071461,pca_2d_fallback_for_umap_slot
BEN,Benin,Sub-Saharan Africa ,Lower middle income,-20.942545579941584,-6.152029465178993,pca_2d_fallback_for_umap_slot
BFA,Burkina Faso,Sub-Saharan Africa ,Low income,-23.61195466295647,-5.6641988014603735,pca_2d_fallback_for_umap_slot
BGD,Bangladesh,South Asia,Lower middle income,,,not_estimated
BGR,Bulgaria,Europe & Central Asia,High income,8.348052287808137,-9.486326983171379,pca_2d_fallback_for_umap_slot
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,,,not_estimated
BHS,The Bahamas,Latin America & Caribbean ,High income,,,not_estimated
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,-15.430692310615152,-8.595984820435472,pca_2d_fallback_for_umap_slot
BLR,Belarus,Europe & Central Asia,Upper middle income,,,not_estimated
BLZ,Belize,Latin America & Caribbean ,Upper middle income,,,not_estimated
BOL,Bolivia,Latin America & Caribbean ,Lower middle income,,,not_estimated
BRA,Brazil,Latin America & Caribbean ,Upper middle income,-0.3402920799234445,39.023994284338386,pca_2d_fallback_for_umap_slot
BRB,Barbados,Latin America & Caribbean ,High income,,,not_estimated
BRN,Brunei,East Asia & Pacific,High income,,,not_estimated
BTN,Bhutan,South Asia,Lower middle income,,,not_estimated
BWA,Botswana,Sub-Saharan Africa ,Upper middle income,-17.672915898373052,-8.15073497291774,pca_2d_fallback_for_umap_slot
CAF,Central African Republic (the),Sub-Saharan Africa ,Low income,,,not_estimated
CAN,Canada,North America,High income,,,not_estimated
CHE,Switzerland,Europe & Central Asia,High income,89.79962073131765,-20.18993886614487,pca_2d_fallback_for_umap_slot
CHL,Chile,Latin America & Caribbean ,High income,-5.25934769611013,-3.100407891511987,pca_2d_fallback_for_umap_slot
CHN,China,East Asia & Pacific,Upper middle income,,,not_estimated
CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,-20.178734808419737,-4.019228917688707,pca_2d_fallback_for_umap_slot
CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,-22.163390188417125,-4.452299973690781,pca_2d_fallback_for_umap_slot
COD,Democratic Republic of the Congo,Sub-Saharan Africa ,Low income,,,not_estimated
COG,Republic of the Congo,Sub-Saharan Africa ,Lower middle income,,,not_estimated
