variable_matriz,bloque_tematico,n,pct_complete,mean,median,std,mad,min,p05,p25,p75,p95,max,iqr,skewness,kurtosis,suggest_log_transform
oecd_5_ict_business_oecd_biz_cloud_pct,adoption_diffusion,38,19.1,52.852567,54.45265,16.106809,11.155692,17.8331,23.72544,44.136571,65.849171,74.37672,79.2058,21.7126,-0.4638,-0.5019,False
oecd_5_ict_business_oecd_biz_ict_specialists_pct,adoption_diffusion,36,18.09,21.113513,20.38225,6.746608,5.391086,8.08,12.923,15.924275,26.649715,30.62175,36.57458,10.72544,0.3182,-0.7372,False
oecd_5_ict_business_oecd_biz_iot_pct,adoption_diffusion,36,18.09,26.877228,23.37315,11.891731,5.7644,6.189147,10.086743,19.978625,32.6977,49.790425,55.18,12.719075,0.6012,-0.1229,False
oecd_5_ict_business_oecd_biz_website_pct,adoption_diffusion,36,18.09,76.130458,77.4983,12.786926,9.08605,49.7322,53.277475,67.2383,84.511837,92.42675,98.4709,17.273537,-0.3542,-0.7729,False
oecd_6_fdi_restrictiveness_oecd_fdi_restrictiveness,institutional_control,103,51.76,0.120042,0.078896,0.117662,0.064452,0.000167,0.007634,0.024955,0.190527,0.350644,0.566825,0.165572,1.2451,1.1929,False
oecd_7_pmr_oecd_pmr_overall,institutional_control,55,27.64,1.563788,1.478137,0.522641,0.297115,0.806338,0.901368,1.209562,1.810991,2.542956,2.922681,0.601429,0.8133,-0.0467,False
oecd_8_rd_tax_oecd_rd_tax_subsidy_rate,socioeconomic_control,52,26.13,0.147308,0.155,0.124446,0.115,-0.02,-0.02,0.0275,0.26,0.349,0.39,0.2325,0.2254,-1.1637,False
oxford_adaptability,ecosystem_outcome,193,96.98,46.435835,46.029125,15.807272,10.760813,5.644707,22.692321,35.152131,56.564381,72.998692,89.700364,21.412251,0.0011,-0.2596,False
oxford_ai_infrastructure,ecosystem_outcome,195,97.99,44.208462,41.48,14.368363,10.25,16.63,23.06,33.225,54.7,69.901,91.77,21.475,0.4158,-0.2781,False
oxford_ai_sector_maturity,ecosystem_outcome,195,97.99,17.828564,13.3,15.985663,8.96,0.58,1.556,5.1,24.975,47.288,100.0,19.875,1.4947,3.1148,False
oxford_ai_technology_diffusion,ecosystem_outcome,195,97.99,40.360872,38.98,19.405567,14.87,1.21,12.178,24.37,54.08,71.552,86.51,29.71,0.0943,-0.8368,False
oxford_compute_capacity,ecosystem_outcome,195,97.99,9.86959,5.37,14.18027,3.76,0.0,0.0,2.08,10.19,40.81,90.92,8.11,2.7343,8.9389,True
oxford_data_availability,ecosystem_outcome,193,96.98,59.438719,58.716726,22.308903,19.303467,8.884615,22.937669,41.340383,80.163672,90.827762,98.320401,38.823289,-0.1698,-1.0961,False
oxford_data_infrastructure,ecosystem_outcome,193,96.98,59.320797,56.987688,18.028223,13.368532,5.288974,32.162127,46.096991,75.003863,86.477581,93.135341,28.906872,-0.1646,-0.5198,False
oxford_data_quality,ecosystem_outcome,195,97.99,64.354154,66.53,19.653143,17.11,13.3,32.946,47.705,82.26,91.989,96.55,34.555,-0.2982,-0.8207,False
oxford_data_representativeness,ecosystem_outcome,192,96.48,78.412457,79.040166,16.793977,12.153875,4.995139,50.732714,69.771943,93.117429,98.6125,100.0,23.345486,-1.2655,2.9677,False
oxford_development_diffusion,ecosystem_outcome,195,97.99,31.370615,28.21,17.00209,11.64,9.19,10.898,17.695,43.415,63.352,88.16,25.72,0.7348,-0.2074,False
oxford_digital_capacity,ecosystem_outcome,193,96.98,44.630901,44.104613,18.618394,14.979378,7.849032,17.385487,29.702544,59.450445,75.34532,91.30133,29.747902,0.2584,-0.7283,False
oxford_e_government_delivery,ecosystem_outcome,195,97.99,58.005026,61.74,29.625056,25.12,0.0,6.466,34.865,85.345,96.971,99.98,50.48,-0.3427,-1.1144,False
