variable_matriz,bloque_tematico,n,pct_complete,mean,median,std,mad,min,p05,p25,p75,p95,max,iqr,skewness,kurtosis,suggest_log_transform
wb_gdp_growth_annual_pct,socioeconomic_control,193,96.98,3.043395,3.327623,4.587046,1.472186,-26.557526,-1.086382,1.554795,4.321224,7.152267,43.819311,2.766429,1.9265,40.2733,False
wb_gdp_per_capita_ppp,socioeconomic_control,189,94.97,29883.583287,18614.988069,29822.535942,14268.145572,1194.946814,2150.17886,7368.752753,47404.964844,83305.401268,155941.288211,40036.212091,1.568,2.7731,False
wb_government_effectiveness,institutional_control,196,98.49,0.003583,-0.081506,0.964074,0.683917,-2.172846,-1.489264,-0.708541,0.63447,1.763017,2.279627,1.343011,0.2021,-0.4802,False
wb_government_effectiveness_se,institutional_control,196,98.49,0.236843,0.22486,0.047085,0.012932,0.177319,0.184473,0.212453,0.238634,0.338699,0.433097,0.026182,1.8937,3.8931,False
wb_gross_capital_formation_pct_gdp,socioeconomic_control,168,84.42,23.234353,23.333191,7.790183,4.030076,0.252269,9.966908,18.98206,26.99031,35.861078,45.265737,8.00825,-0.0043,0.844,False
wb_high_tech_exports_pct_manufactured,socioeconomic_control,170,85.43,11.916943,6.261543,14.757911,4.875571,0.0,0.154334,2.133129,17.448781,44.76414,76.670064,15.315652,2.1582,5.0112,True
wb_ict_goods_exports_pct,socioeconomic_control,161,80.9,3.705709,0.53,8.744504,0.5,0.0,0.01,0.08,2.82,17.82,62.47,2.74,4.0506,18.9199,True
wb_ict_service_exports_pct,socioeconomic_control,173,86.93,9.969722,6.921688,11.436725,4.762188,0.058855,0.463581,2.240403,11.963953,32.358261,63.961715,9.723551,2.1707,5.3513,True
wb_inflation_consumer_prices,socioeconomic_control,181,90.95,8.694129,3.143491,22.804184,1.541605,-12.296984,0.409162,1.80023,5.408744,32.17965,219.883929,3.608514,6.2802,47.031,True
wb_internet_penetration,tech_infrastructure_control,191,95.98,71.314902,81.95706,25.959196,12.440538,6.671,18.08445,56.5232,91.283941,98.147301,100.0,34.760741,-0.9506,-0.3423,False
wb_labor_force,socioeconomic_control,181,90.95,20777369.093923,4731937.0,75699905.59801,3961669.0,33628.0,237763.0,1391230.0,13250486.0,69386649.0,767626880.0,11859256.0,8.1753,71.6894,True
wb_mobile_subscriptions_per100,socioeconomic_control,197,98.99,115.383147,115.457279,52.750107,21.351307,19.988583,49.531393,88.192937,132.548743,177.600972,574.152333,44.355806,3.8122,29.653,True
wb_patent_applications_residents,tech_infrastructure_control,135,67.84,17029.488889,104.0,126741.996983,102.0,1.0,1.0,11.0,882.0,15240.9,1426644.0,871.0,10.407,112.22,True
wb_political_stability,institutional_control,196,98.49,-0.093715,-0.035211,0.979252,0.664378,-2.750564,-2.008006,-0.654012,0.654122,1.238708,1.582354,1.308134,-0.5346,-0.3705,False
wb_political_stability_se,institutional_control,196,98.49,0.246898,0.24345,0.018898,0.007618,0.216471,0.222317,0.237364,0.251855,0.285539,0.309324,0.014491,1.3738,2.2403,False
wb_population,socioeconomic_control,197,98.99,41197003.71066,9132629.0,149419934.322539,8604830.0,9646.0,91405.2,2127400.0,31934230.0,131100759.0,1450935791.0,29806830.0,8.3157,73.8092,True
wb_rd_expenditure_pct_gdp,socioeconomic_control,117,58.79,1.039894,0.61479,1.22228,0.46736,0.00609,0.05223,0.19997,1.4943,3.30613,6.34589,1.29433,1.9916,4.5159,False
wb_regulatory_quality,institutional_control,196,98.49,-0.067356,-0.154073,0.93634,0.608792,-2.035365,-1.549858,-0.737831,0.59158,1.684302,2.13212,1.329411,0.2451,-0.4632,False
wb_regulatory_quality_se,institutional_control,196,98.49,0.213415,0.202276,0.053553,0.013771,0.149652,0.154871,0.190169,0.216344,0.300405,0.484918,0.026175,2.5908,9.307,True
wb_researchers_rd_per_million,socioeconomic_control,108,54.27,2433.636161,1101.16448,2955.855073,1040.73902,1.44569,26.727721,305.02474,3904.043035,8012.392065,18129.75165,3599.018295,2.0082,6.0873,True
wb_rule_of_law,institutional_control,196,98.49,-0.106786,-0.205636,1.002661,0.783154,-2.20545,-1.702209,-0.896917,0.600232,1.63778,2.02127,1.497149,0.1381,-0.7821,False
wb_rule_of_law_se,institutional_control,196,98.49,0.169396,0.151585,0.042341,0.006753,0.132215,0.137044,0.147094,0.183853,0.262669,0.361625,0.036759,2.4945,7.0143,True
wb_secure_servers_per_1m,socioeconomic_control,196,98.49,22087.977213,738.327133,55192.840502,722.746739,1.23158,10.828457,97.267849,12782.596854,142715.986754,464560.075958,12685.329005,4.2529,23.5591,True
wb_tertiary_education_enrollment,socioeconomic_control,157,78.89,50.547079,50.801079,31.490336,26.510484,2.566425,6.333237,22.41037,75.949654,106.273365,165.113419,53.539284,0.4336,-0.1025,False
wb_trade_pct_gdp,socioeconomic_control,172,86.43,93.202225,81.550069,58.902378,30.12457,1.995412,31.852322,51.706608,112.241184,189.284344,359.506711,60.534577,2.0373,5.9643,True
wb_unemployment_rate,socioeconomic_control,181,90.95,6.861409,5.092,5.667413,2.208,0.13,1.505,3.227,8.54,18.758,34.202,5.313,2.0675,5.3369,True
wb_voice_accountability,institutional_control,196,98.49,-0.144427,-0.110221,1.043167,0.893739,-2.289781,-1.718189,-1.021029,0.63794,1.533786,1.929425,1.658969,0.0246,-0.9936,False
wb_voice_accountability_se,institutional_control,196,98.49,0.17668,0.15768,0.051918,0.009831,0.138556,0.142237,0.151615,0.177114,0.297926,0.41932,0.025498,2.9737,9.4605,True
wipo_appcrea_score,ecosystem_outcome,104,52.26,16.611347,7.812085,24.674311,7.639162,0.0,0.003675,0.606723,20.528101,83.83592,100.0,19.921378,2.1879,4.1945,True
wipo_apptarriff_score,tech_infrastructure_control,132,66.33,73.603417,80.771379,21.781906,9.893797,0.0,32.657906,59.027386,89.714924,95.721073,100.0,30.687537,-1.1292,0.5399,False
wipo_brandval_score,ecosystem_outcome,113,56.78,14.438445,3.961682,20.532407,3.961682,0.0,0.0,0.0,22.023071,54.43348,100.0,22.023071,1.7271,2.6892,False
wipo_c_eccomplexity_score,tech_infrastructure_control,121,60.8,46.869593,44.24091,22.202419,15.241928,0.0,13.643723,30.476917,63.701545,85.583773,100.0,33.224628,0.301,-0.6619,False
wipo_c_hhi_score,tech_infrastructure_control,112,56.28,83.47478,88.330691,16.747463,7.914808,0.0,51.580812,77.49061,94.76251,98.635973,100.0,17.2719,-2.1578,6.142,True
wipo_c_hitechmanufind2_score,tech_infrastructure_control,110,55.28,33.282831,29.342217,22.999847,17.366608,0.0,3.276227,16.060361,49.782224,75.56895,100.0,33.721863,0.6079,-0.416,False
wipo_c_htexphkg_score,tech_infrastructure_control,131,65.83,16.706315,5.90146,24.396144,5.37185,0.0,0.234968,1.381716,22.043386,75.45206,100.0,20.66167,2.1669,4.3272,True
wipo_c_scitechart_score,ecosystem_outcome,131,65.83,28.612623,20.000387,24.253756,12.348256,0.0,2.584411,10.828357,41.577492,79.190565,100.0,30.749135,1.0837,0.2017,False
wipo_c_vencapdeal_score,tech_infrastructure_control,94,47.24,18.358099,9.231397,24.146203,7.235578,0.0,0.664035,3.282183,22.470498,80.169439,100.0,19.188315,2.1978,4.3306,True
wipo_cctld_score,tech_infrastructure_control,132,66.33,14.726042,2.333719,25.176934,2.283487,0.0,0.026323,0.445027,14.370884,69.525912,100.0,13.925856,2.087,3.4665,True
wipo_citdoc_score,tech_infrastructure_control,132,66.33,20.630811,11.496225,21.884429,6.897735,0.0,2.515443,5.525051,29.186685,68.695951,100.0,23.661633,1.7141,2.4472,False
wipo_compsoftspend_score,tech_infrastructure_control,125,62.81,20.970332,19.836091,17.284389,12.269931,0.0,1.123466,6.298498,28.587988,48.205045,100.0,22.28949,1.1664,2.258,False
wipo_costredu_score,tech_infrastructure_control,130,65.33,79.563378,82.838284,19.447449,12.513751,0.0,46.192362,70.202735,95.00275,100.0,100.0,24.800016,-1.6467,3.7461,False
wipo_creagoodexp_score,ecosystem_outcome,131,65.83,15.93015,4.457242,24.84745,4.217268,0.0,0.12292,1.179689,20.129481,80.484527,100.0,18.949792,2.1571,3.9557,True
wipo_cultservexp_score,tech_infrastructure_control,113,56.78,19.332368,10.94338,23.348917,9.382806,0.0,0.079659,3.290996,27.263364,62.90222,100.0,23.972368,1.8321,3.2691,False
wipo_domcred2priv_score,tech_infrastructure_control,130,65.33,25.302423,19.928413,19.725937,11.264851,0.0,2.875431,9.998471,35.261547,65.398067,100.0,25.263076,1.1723,1.1216,False
wipo_dommarksc_score,tech_infrastructure_control,132,66.33,52.76299,51.618841,16.895038,12.339328,0.0,30.798217,39.327477,63.412062,79.926133,100.0,24.084585,0.2415,0.0796,False
wipo_easecred_score,institutional_control,132,66.33,62.575758,65.0,20.9915,15.0,0.0,27.75,50.0,76.25,95.0,100.0,26.25,-0.6017,0.2349,False
wipo_easeinsol_score,institutional_control,132,66.33,53.674566,53.040345,20.007035,14.221955,0.0,26.260921,39.48576,68.53166,84.412943,92.69427,29.0459,-0.2479,-0.0732,False
wipo_easeprotinv_score,institutional_control,132,66.33,58.890909,62.0,17.606424,12.0,10.0,27.1,44.0,72.0,84.0,92.0,28.0,-0.4726,-0.4474,False
wipo_easestartbus_score,institutional_control,132,66.33,86.814789,88.418985,8.563332,4.99068,52.42046,70.416594,82.86372,93.235827,96.355652,99.97544,10.372107,-1.2363,1.7698,False
wipo_elecout_score,ecosystem_outcome,124,62.31,17.370254,11.508996,18.563505,8.299287,0.0,0.577581,4.318372,23.101652,58.274742,100.0,18.78328,2.1128,5.5353,True
wipo_entmedia_score,tech_infrastructure_control,63,31.66,26.549172,13.799032,26.969578,12.469975,0.0,0.910232,4.963809,50.590249,75.975134,100.0,45.62644,0.946,-0.1273,False
wipo_envperf_score,tech_infrastructure_control,130,65.33,50.114615,46.6,15.970783,11.85,25.1,29.18,37.425,63.55,78.81,82.5,26.125,0.4367,-0.9322,False
wipo_epart_score,tech_infrastructure_control,131,65.83,68.402137,71.43,21.182913,15.47,15.48,30.95,51.785,85.71,97.62,100.0,33.925,-0.4385,-0.8029,False
wipo_expedu_score,socioeconomic_control,114,57.29,44.464276,45.357728,19.756702,12.870534,0.0,14.200401,31.097817,56.061435,77.287886,100.0,24.963618,0.395,0.0622,False
wipo_fdinetinfl_score,tech_infrastructure_control,132,66.33,44.180797,42.876448,12.6453,2.683118,0.0,33.721669,40.140347,45.349396,61.699248,100.0,5.209049,1.9659,9.4107,False
wipo_femempdeg_score,tech_infrastructure_control,124,62.31,38.450158,36.748397,26.961136,21.799147,0.0,1.620114,16.533043,60.125807,82.323136,100.0,43.592764,0.2865,-1.0499,False
wipo_firmtrain_score,tech_infrastructure_control,98,49.25,37.782944,34.379263,22.042792,14.051842,0.0,8.976808,20.600273,50.375171,81.896317,100.0,29.774898,0.6848,-0.1108,False
wipo_gdpener_score,tech_infrastructure_control,124,62.31,29.835513,28.072415,17.896347,10.415477,0.0,7.920935,17.880294,38.4669,61.68861,100.0,20.586606,1.317,2.7459,False
wipo_gentld_score,tech_infrastructure_control,132,66.33,13.985901,2.806862,23.567067,2.638548,0.0,0.057362,0.871288,13.396591,73.072169,100.0,12.525304,2.1386,3.7152,True
wipo_gerdfinabr_score,tech_infrastructure_control,102,51.26,15.561711,7.320792,20.193672,6.894407,0.0,0.039171,1.567922,23.723999,52.056212,100.0,22.156077,2.1084,5.1204,True
wipo_gerdfinbus_score,tech_infrastructure_control,103,51.76,40.328058,45.230335,28.680163,23.357877,0.0,0.478585,11.352121,62.654929,84.537766,100.0,51.302808,0.082,-1.1079,False
wipo_gerdperf_score,tech_infrastructure_control,89,44.72,15.604894,8.158868,19.548632,7.383212,0.0,0.192248,1.41047,20.734027,51.500452,100.0,19.323558,1.9078,4.0986,False
wipo_gii_score,ecosystem_outcome,141,70.85,31.225591,28.480284,13.468388,8.901696,11.909935,14.421053,20.951048,39.994374,57.035492,65.961951,19.043326,0.6943,-0.4818,False
wipo_goveff_score,institutional_control,132,66.33,55.548365,52.513142,20.071256,15.163134,0.0,27.265119,39.20427,72.735369,89.903824,100.0,33.531099,0.2428,-0.6417,False
wipo_govfundpup_score,tech_infrastructure_control,102,51.26,29.655708,29.4516,16.474108,8.726391,0.0,5.015872,19.819718,37.101932,53.112372,100.0,17.282214,0.9452,2.5482,False
wipo_govolserv_score,tech_infrastructure_control,131,65.83,67.574809,70.59,19.50879,14.7,19.41,30.585,52.645,84.12,94.71,100.0,31.475,-0.4998,-0.5659,False
wipo_grocap_score,tech_infrastructure_control,126,63.32,29.516509,26.571146,14.510802,7.050035,0.0,10.268201,21.402881,34.827207,55.073527,100.0,13.424327,1.3994,4.0682,False
wipo_hitechimp_score,tech_infrastructure_control,131,65.83,28.434896,24.093489,19.987559,8.23908,0.0,5.323151,17.152459,33.423722,78.960495,100.0,16.271263,1.8083,3.6227,False
wipo_ictacc_score,tech_infrastructure_control,132,66.33,62.461773,66.959329,20.624607,16.344334,21.665122,25.915157,44.787166,79.820258,90.229628,95.051625,35.033093,-0.3308,-1.1223,False
wipo_ictorgmod_score,tech_infrastructure_control,125,62.81,55.580095,54.433393,12.933173,9.387819,21.689014,37.393968,47.233069,63.983329,78.692614,83.734417,16.75026,0.1453,-0.4214,False
wipo_ictservexp_score,tech_infrastructure_control,131,65.83,19.520629,14.036279,21.422349,10.244361,0.0,1.199775,4.957039,26.186929,55.146208,100.0,21.22989,2.122,5.0507,True
wipo_ictsevimp_score,tech_infrastructure_control,131,65.83,30.939314,25.358468,22.139829,14.543011,0.0,5.115317,13.042045,44.31585,71.284457,100.0,31.273804,0.9637,0.6288,False
wipo_ictuse_score,tech_infrastructure_control,132,66.33,54.759216,57.607782,24.356905,18.705961,3.083421,12.539732,38.515483,76.280431,86.78085,90.438198,37.764948,-0.4243,-0.9934,False
wipo_in_1_1_1_score,tech_infrastructure_control,141,70.85,58.45476,60.666667,21.079638,14.666667,0.0,20.0,46.666667,75.333333,86.666667,100.0,28.666667,-0.6051,0.012,False
wipo_in_1_1_2_score,tech_infrastructure_control,141,70.85,46.207726,43.399503,22.575676,17.110911,0.0,15.08999,27.352482,61.540514,83.00016,100.0,34.188033,0.2696,-0.7042,False
wipo_in_1_1_score,tech_infrastructure_control,141,70.85,52.331243,53.577952,21.145878,15.611604,0.0,19.113064,37.227585,68.286115,86.301805,98.666667,31.05853,-0.1184,-0.5476,False
wipo_in_1_2_1_score,tech_infrastructure_control,141,70.85,49.720465,49.074068,21.918309,15.904374,0.0,18.151566,33.129214,64.696886,87.099233,100.0,31.567672,0.1474,-0.6809,False
wipo_in_1_2_2_score,tech_infrastructure_control,141,70.85,53.242564,49.143829,23.278023,16.79272,0.0,21.863783,36.721329,69.292367,94.028808,100.0,32.571038,0.1762,-0.6504,False
wipo_in_1_2_3_score,tech_infrastructure_control,133,66.83,79.845388,84.378439,19.321645,11.441146,0.0,46.738336,70.579923,95.104511,100.0,100.0,24.524589,-1.6771,3.8679,False
wipo_in_1_2_score,tech_infrastructure_control,141,70.85,52.016028,48.559642,21.616275,15.714701,0.0,22.130912,36.245606,67.483623,90.182804,97.403589,31.238018,0.285,-0.7528,False
wipo_in_1_3_1_score,tech_infrastructure_control,136,68.34,47.531795,46.275069,21.667665,17.615143,0.0,12.981727,30.611082,65.196294,79.727964,100.0,34.585212,0.0294,-0.7272,False
wipo_in_1_3_2_score,tech_infrastructure_control,93,46.73,41.502688,41.438337,22.601412,14.931315,0.0,9.247587,25.780681,53.077495,78.133699,100.0,27.296814,0.4456,-0.2587,False
wipo_in_1_3_score,tech_infrastructure_control,138,69.35,44.782968,43.759388,20.896799,15.697532,0.0,9.50558,28.657074,60.141666,77.181859,100.0,31.484593,0.0875,-0.5662,False
wipo_in_1_score,tech_infrastructure_control,141,70.85,49.601907,48.958414,19.055015,14.444053,1.878481,18.279251,34.609744,65.257289,81.233109,98.690085,30.647544,0.0973,-0.6196,False
wipo_in_2_1_1_score,tech_infrastructure_control,137,68.84,43.122134,41.956448,16.589639,10.653357,0.0,17.664454,31.946999,52.702933,70.485854,100.0,20.755935,0.292,0.7579,False
wipo_in_2_1_2_score,tech_infrastructure_control,116,58.29,30.735211,28.801201,18.45666,11.273265,0.0,3.70659,17.560085,40.131296,63.149163,100.0,22.57121,0.7233,0.8609,False
wipo_in_2_1_3_score,tech_infrastructure_control,130,65.33,52.70971,54.763283,21.843681,14.323131,0.0,15.475151,37.043607,67.725662,86.794403,100.0,30.682055,-0.2257,-0.4642,False
wipo_in_2_1_4_score,tech_infrastructure_control,86,43.22,42.220608,42.156779,22.842069,18.115667,0.0,8.180068,24.582236,60.448889,75.159164,100.0,35.866653,0.064,-0.8656,False
wipo_in_2_1_5_score,tech_infrastructure_control,137,68.84,74.819403,80.459196,20.097592,10.037874,0.0,35.734313,66.30124,89.782995,95.086137,100.0,23.481754,-1.4558,2.0677,False
wipo_in_2_1_score,tech_infrastructure_control,141,70.85,49.523407,49.680991,14.367847,10.897964,0.400894,26.869492,40.566034,61.123031,69.987241,91.338512,20.556997,-0.3401,0.3943,False
wipo_in_2_2_1_score,tech_infrastructure_control,135,67.84,29.353181,30.952094,19.588978,15.956287,0.0,2.013489,11.500588,44.782657,60.051251,100.0,33.282069,0.3738,-0.1044,False
wipo_in_2_2_2_score,tech_infrastructure_control,119,59.8,43.53701,43.062574,21.724073,13.906428,0.0,7.315476,30.538841,58.417192,83.413289,100.0,27.878351,0.1704,-0.3667,False
wipo_in_2_2_3_score,tech_infrastructure_control,122,61.31,17.338882,10.545295,20.54244,9.034165,0.0,0.544317,2.974532,24.325891,53.111549,100.0,21.35136,2.068,4.9207,True
wipo_in_2_2_score,tech_infrastructure_control,136,68.34,28.84507,29.901129,15.39963,11.179144,0.0,4.477684,17.507798,39.031091,52.853369,73.412593,21.523293,0.1147,-0.3425,False
wipo_in_2_3_1_score,tech_infrastructure_control,118,59.3,20.288634,7.9646,24.606262,7.703553,0.0,0.166326,1.704694,34.746109,68.573561,100.0,33.041415,1.3026,0.7335,False
wipo_in_2_3_2_score,tech_infrastructure_control,121,60.8,15.34307,9.394156,17.624998,7.028689,0.0,0.667349,3.0945,22.344767,51.940851,100.0,19.250266,1.9595,4.5783,False
wipo_in_2_3_3_score,tech_infrastructure_control,140,70.35,19.466909,0.0,30.59834,0.0,0.0,0.0,0.0,46.051309,81.886337,100.0,46.051309,1.1001,-0.4249,False
wipo_in_2_3_4_score,tech_infrastructure_control,141,70.85,21.523073,10.276545,27.02536,10.276545,0.0,0.0,0.0,39.09184,79.378628,100.0,39.09184,1.1525,0.2872,False
wipo_in_2_3_score,tech_infrastructure_control,141,70.85,18.225084,7.003911,22.585846,6.979188,0.0,0.0,0.861889,28.502271,66.428343,83.961762,27.640381,1.2052,0.1987,False
wipo_in_2_score,tech_infrastructure_control,141,70.85,32.2638,30.401614,14.752106,10.887169,5.517167,12.763458,19.886427,42.696462,58.575082,66.991373,22.810035,0.4228,-0.7426,False
wipo_in_3_1_1_score,tech_infrastructure_control,140,70.35,77.305182,84.278428,22.624515,12.920878,0.0,34.002174,63.438358,96.013754,99.826664,100.0,32.575396,-1.0795,0.3912,False
wipo_in_3_1_2_score,tech_infrastructure_control,141,70.85,68.798591,77.536747,24.366425,10.813451,0.0,12.717133,61.005155,84.818058,94.488189,100.0,23.812903,-1.271,0.7731,False
wipo_in_3_1_3_score,tech_infrastructure_control,140,70.35,61.347288,66.562602,24.613103,19.410859,0.0,19.602026,39.735145,82.436147,93.468498,100.0,42.701002,-0.3554,-1.0037,False
wipo_in_3_1_4_score,tech_infrastructure_control,135,67.84,53.388321,53.494321,23.616408,19.758518,0.0,19.888468,32.559091,72.096593,95.344316,100.0,39.537501,0.0463,-0.9385,False
wipo_in_3_1_score,tech_infrastructure_control,141,70.85,69.310146,75.373119,21.912935,14.010887,10.333793,25.366891,56.814267,87.389245,95.010296,98.595105,30.574978,-0.8209,-0.2672,False
wipo_in_3_2_1_score,tech_infrastructure_control,134,67.34,18.613017,12.208022,20.898906,9.449952,0.0,0.431043,3.800951,24.806634,64.541704,100.0,21.005683,2.0613,4.5749,True
wipo_in_3_2_2_score,tech_infrastructure_control,131,65.83,42.982909,38.604651,25.971906,20.422833,0.0,9.090909,21.860465,63.636364,86.363636,100.0,41.775899,0.3312,-1.006,False
wipo_in_3_2_3_score,tech_infrastructure_control,134,67.34,38.836784,36.684398,20.290112,11.509445,0.0,9.487581,26.96771,48.859775,80.487895,100.0,21.892065,0.6938,0.5342,False
wipo_in_3_2_score,tech_infrastructure_control,141,70.85,33.282383,32.973075,15.989816,11.69888,3.133304,8.910441,20.860914,43.725653,64.296402,73.670883,22.864739,0.3598,-0.335,False
wipo_in_3_3_1_score,tech_infrastructure_control,134,67.34,26.136913,22.764503,17.288196,9.567357,0.0,6.192262,14.713018,33.530393,56.077865,100.0,18.817374,1.64,3.7742,False
wipo_in_3_3_2_score,tech_infrastructure_control,140,70.35,26.62547,22.37711,22.687088,14.585433,0.0,0.547255,8.207782,38.632111,73.712052,100.0,30.424329,1.0605,0.7698,False
wipo_in_3_3_3_score,tech_infrastructure_control,141,70.85,16.813607,7.457556,21.297885,6.41436,0.0,0.466806,2.208012,20.939988,65.906045,100.0,18.731975,1.8163,2.8734,False
wipo_in_3_3_score,tech_infrastructure_control,141,70.85,22.924346,19.943377,13.02708,9.19071,1.064434,6.106481,13.154622,34.09035,45.152581,57.367066,20.935728,0.5112,-0.6441,False
wipo_in_3_score,tech_infrastructure_control,141,70.85,41.838958,41.565471,13.395003,11.207665,11.055644,21.628592,30.957269,52.970332,62.868322,68.827346,22.013063,-0.0688,-0.8161,False
wipo_in_4_1_1_score,tech_infrastructure_control,93,46.73,50.842953,50.947707,21.82645,15.297079,0.0,17.40978,34.664894,63.968861,89.123132,100.0,29.303967,0.0896,-0.5175,False
wipo_in_4_1_2_score,tech_infrastructure_control,137,68.84,21.380571,16.689047,18.919876,9.702542,0.0,1.17985,8.200355,30.327798,58.185006,100.0,22.127444,1.4936,2.3788,False
wipo_in_4_1_3_score,tech_infrastructure_control,68,34.17,19.076738,10.776165,23.538256,8.278699,0.0,0.03395,4.393269,28.01155,63.2307,100.0,23.618281,2.0246,4.0024,True
wipo_in_4_1_score,tech_infrastructure_control,141,70.85,29.93867,27.961553,19.744418,14.22304,0.0,2.799215,14.179649,43.552713,66.47,92.559341,29.373065,0.6082,-0.2141,False
wipo_in_4_2_1_score,tech_infrastructure_control,88,44.22,21.539824,12.275406,23.489168,8.984481,0.0,1.27349,6.324722,28.610268,80.136381,100.0,22.285546,2.0004,3.9151,True
wipo_in_4_2_2_score,tech_infrastructure_control,129,64.82,16.005101,5.840467,22.814075,4.396785,0.0,0.500215,2.477312,20.540149,65.958948,100.0,18.062836,2.2142,4.5971,True
wipo_in_4_2_3_score,tech_infrastructure_control,121,60.8,6.607471,1.214038,14.572895,1.158155,0.0,0.006064,0.205574,6.028243,31.175194,100.0,5.822669,3.9945,18.5791,True
wipo_in_4_2_4_score,tech_infrastructure_control,125,62.81,7.904123,3.414042,12.751656,2.869647,0.0,0.122573,1.068918,9.22942,31.608294,100.0,8.160502,3.9013,21.4385,True
wipo_in_4_2_5_score,tech_infrastructure_control,116,58.29,18.303416,5.97159,25.916114,4.893907,0.0,0.640089,1.993945,23.374697,88.999287,100.0,21.380752,1.9062,2.8739,False
wipo_in_4_2_score,tech_infrastructure_control,132,66.33,12.761808,5.598931,15.221915,4.384641,0.117656,0.562442,2.322774,19.07371,46.759697,65.270232,16.750935,1.5859,1.7724,False
wipo_in_4_3_1_score,tech_infrastructure_control,140,70.35,69.513814,81.503881,26.544242,11.084169,0.0,9.569232,54.321168,89.551469,94.660705,100.0,35.230301,-1.0777,0.0908,False
wipo_in_4_3_2_score,tech_infrastructure_control,120,60.3,76.133819,83.620901,22.163374,11.600374,0.0,31.214641,65.175237,91.966193,97.661944,100.0,26.790957,-1.6666,2.9016,False
wipo_in_4_3_3_score,tech_infrastructure_control,141,70.85,52.37982,52.334365,18.053272,12.487144,0.0,26.955984,39.613645,64.092852,80.278746,100.0,24.479207,-0.1514,0.4502,False
wipo_in_4_3_score,tech_infrastructure_control,141,70.85,64.391843,68.275669,18.132167,11.766808,10.055189,30.794409,52.376989,78.532388,87.247636,94.552737,26.1554,-0.7375,-0.1384,False
wipo_in_4_score,tech_infrastructure_control,141,70.85,36.253927,35.386266,13.873337,8.290895,6.009651,14.567556,27.317572,44.800616,59.487752,75.034915,17.483044,0.2927,-0.2723,False
wipo_in_5_1_1_score,tech_infrastructure_control,134,67.34,37.479816,32.726712,23.96187,19.104946,0.0,3.736936,17.146974,58.897137,75.845594,100.0,41.750163,0.3452,-0.8894,False
wipo_in_5_1_2_score,tech_infrastructure_control,135,67.84,42.681301,40.789929,30.299316,26.849076,0.0,1.996084,14.213436,66.56056,94.038941,100.0,52.347123,0.297,-1.1065,False
wipo_in_5_1_3_score,tech_infrastructure_control,140,70.35,43.104732,36.105024,27.575696,19.78234,0.0,11.524536,18.894297,61.874165,90.748859,100.0,42.979868,0.5191,-0.9864,False
wipo_in_5_1_4_score,tech_infrastructure_control,106,53.27,17.376556,7.8157,21.980083,7.574482,0.0,0.05851,1.245603,25.64209,61.421954,100.0,24.396487,1.6746,2.6307,False
wipo_in_5_1_5_score,tech_infrastructure_control,135,67.84,36.030729,35.53591,27.945685,25.498526,0.0,0.891496,8.507258,57.659335,80.241647,100.0,49.152078,0.3284,-1.0065,False
wipo_in_5_1_score,tech_infrastructure_control,141,70.85,37.81532,35.347622,13.854239,8.989175,9.182798,19.686275,27.413377,45.213935,62.088475,85.044032,17.800558,0.6741,0.2214,False
wipo_in_5_2_1_score,tech_infrastructure_control,140,70.35,20.205742,12.660751,20.829345,8.09702,0.0,1.684741,5.991896,23.512959,60.470459,100.0,17.521063,1.7693,2.859,False
wipo_in_5_2_2_score,tech_infrastructure_control,136,68.34,37.374453,35.028878,18.790563,12.998642,0.0,9.865362,24.004354,52.652358,66.851118,100.0,28.648004,0.3551,-0.1439,False
wipo_in_5_2_3_score,tech_infrastructure_control,134,67.34,38.364632,31.705866,27.993623,17.501321,0.0,3.894984,14.938448,54.762888,95.028409,100.0,39.82444,0.7092,-0.5795,False
wipo_in_5_2_4_score,tech_infrastructure_control,140,70.35,48.462565,44.422508,24.036925,16.708826,0.0,9.050035,30.996622,69.68799,89.043223,100.0,38.691368,0.1438,-0.7485,False
wipo_in_5_2_5_score,tech_infrastructure_control,141,70.85,8.021455,0.715611,15.312131,0.715611,0.0,0.0,0.0,7.222081,39.153933,100.0,7.222081,2.8232,10.0151,True
wipo_in_5_2_score,tech_infrastructure_control,141,70.85,29.459936,24.3257,18.389688,9.201963,0.255436,6.494686,16.047655,37.667342,67.449973,80.647081,21.619686,0.8952,-0.0094,False
wipo_in_5_3_1_score,tech_infrastructure_control,141,70.85,16.188925,13.26094,16.000513,8.923014,0.0,0.0,4.337925,21.989457,43.899882,100.0,17.651531,1.9552,5.676,False
wipo_in_5_3_2_score,tech_infrastructure_control,139,69.85,27.743716,23.790409,18.475655,7.743955,0.0,6.704124,16.502849,32.501679,68.029115,100.0,15.99883,1.8087,4.0152,False
wipo_in_5_3_3_score,tech_infrastructure_control,141,70.85,20.6524,17.518614,17.177829,8.946105,0.0,2.958969,8.126173,26.03849,50.001053,100.0,17.912317,1.9826,5.5827,False
wipo_in_5_3_4_score,tech_infrastructure_control,140,70.35,47.261065,44.694265,15.18075,4.415609,0.0,28.208283,41.18917,49.992743,73.520515,100.0,8.803572,0.9913,4.4113,False
wipo_in_5_3_5_score,tech_infrastructure_control,90,45.23,37.775988,37.677236,29.879989,28.801321,0.0,0.612805,7.549957,62.701423,89.577556,100.0,55.151466,0.3068,-1.1724,False
