iso3,country_name_canonical,region,income_group,n_habilitantes_alto,n_inhabilitantes_alto,n_variables_taxonomia,taxonomy_status
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,0,6,16,exploratory_counts_not_index
AGO,Angola,Sub-Saharan Africa ,Lower middle income,0,8,16,exploratory_counts_not_index
ALB,Albania,Europe & Central Asia,Upper middle income,1,2,16,exploratory_counts_not_index
AND,Andorra,Europe & Central Asia,High income,3,1,16,exploratory_counts_not_index
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,8,0,16,exploratory_counts_not_index
ARG,Argentina,Latin America & Caribbean ,Upper middle income,2,1,16,exploratory_counts_not_index
ARM,Armenia,Europe & Central Asia,Upper middle income,3,3,16,exploratory_counts_not_index
ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,5,0,16,exploratory_counts_not_index
AUS,Australia,East Asia & Pacific,High income,10,0,16,exploratory_counts_not_index
AUT,Austria,Europe & Central Asia,High income,11,0,16,exploratory_counts_not_index
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2,4,16,exploratory_counts_not_index
BDI,Burundi,Sub-Saharan Africa ,Low income,0,8,16,exploratory_counts_not_index
BEL,Belgium,Europe & Central Asia,High income,12,0,16,exploratory_counts_not_index
BEN,Benin,Sub-Saharan Africa ,Lower middle income,0,6,16,exploratory_counts_not_index
BFA,Burkina Faso,Sub-Saharan Africa ,Low income,0,7,16,exploratory_counts_not_index
BGD,Bangladesh,South Asia,Lower middle income,0,6,16,exploratory_counts_not_index
BGR,Bulgaria,Europe & Central Asia,High income,2,3,16,exploratory_counts_not_index
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,4,4,16,exploratory_counts_not_index
BHS,The Bahamas,Latin America & Caribbean ,High income,2,0,16,exploratory_counts_not_index
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,1,2,16,exploratory_counts_not_index
BLR,Belarus,Europe & Central Asia,Upper middle income,2,3,16,exploratory_counts_not_index
BLZ,Belize,Latin America & Caribbean ,Upper middle income,1,1,16,exploratory_counts_not_index
BOL,Bolivia,Latin America & Caribbean ,Lower middle income,0,5,16,exploratory_counts_not_index
BRA,Brazil,Latin America & Caribbean ,Upper middle income,2,1,16,exploratory_counts_not_index
BRB,Barbados,Latin America & Caribbean ,High income,3,0,16,exploratory_counts_not_index
BRN,Brunei,East Asia & Pacific,High income,4,3,16,exploratory_counts_not_index
BTN,Bhutan,South Asia,Lower middle income,2,3,16,exploratory_counts_not_index
BWA,Botswana,Sub-Saharan Africa ,Upper middle income,1,3,16,exploratory_counts_not_index
CAF,Central African Republic (the),Sub-Saharan Africa ,Low income,0,6,16,exploratory_counts_not_index
CAN,Canada,North America,High income,9,0,16,exploratory_counts_not_index
CHE,Switzerland,Europe & Central Asia,High income,13,1,16,exploratory_counts_not_index
CHL,Chile,Latin America & Caribbean ,High income,6,1,16,exploratory_counts_not_index
CHN,China,East Asia & Pacific,Upper middle income,9,1,16,exploratory_counts_not_index
CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,1,7,16,exploratory_counts_not_index
CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,0,6,16,exploratory_counts_not_index
COD,Democratic Republic of the Congo,Sub-Saharan Africa ,Low income,0,8,16,exploratory_counts_not_index
COG,Republic of the Congo,Sub-Saharan Africa ,Lower middle income,0,7,16,exploratory_counts_not_index
COL,Colombia,Latin America & Caribbean ,Upper middle income,1,2,16,exploratory_counts_not_index
COM,Comoros (the),Sub-Saharan Africa ,Lower middle income,1,4,16,exploratory_counts_not_index
CPV,Cabo Verde,Sub-Saharan Africa ,Upper middle income,2,2,16,exploratory_counts_not_index
CRI,Costa Rica,Latin America & Caribbean ,High income,2,4,16,exploratory_counts_not_index
CUB,Cuba,Latin America & Caribbean ,Upper middle income,2,2,16,exploratory_counts_not_index
CYP,Cyprus,Europe & Central Asia,High income,5,2,16,exploratory_counts_not_index
CZE,Czech Republic,Europe & Central Asia,High income,8,2,16,exploratory_counts_not_index
DEU,Germany,Europe & Central Asia,High income,12,0,16,exploratory_counts_not_index
DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0,5,16,exploratory_counts_not_index
DMA,Dominica,Latin America & Caribbean ,Upper middle income,2,1,16,exploratory_counts_not_index
