record_type,iso3,variable_matriz,component,value,explained_variance_ratio
loading,,anthropic_ai_autonomy_mean,PC1,-0.031257,0.37287
loading,,anthropic_ai_autonomy_mean,PC2,0.009274,0.22296
loading,,anthropic_ai_autonomy_mean,PC3,-0.000302,0.148778
loading,,anthropic_ai_autonomy_mean,PC4,-0.043319,0.060602
loading,,anthropic_ai_autonomy_mean,PC5,-0.032074,0.037459
loading,,anthropic_ai_autonomy_mean,PC6,0.018035,0.032488
loading,,anthropic_ai_autonomy_mean,PC7,0.040664,0.024564
loading,,anthropic_ai_autonomy_mean,PC8,0.031278,0.017946
loading,,anthropic_ai_autonomy_mean,PC9,0.009197,0.010927
loading,,anthropic_ai_autonomy_mean,PC10,-0.062727,0.007181
loading,,anthropic_ai_education_years_mean,PC1,0.002449,0.37287
loading,,anthropic_ai_education_years_mean,PC2,0.01035,0.22296
loading,,anthropic_ai_education_years_mean,PC3,0.006343,0.148778
loading,,anthropic_ai_education_years_mean,PC4,-0.020967,0.060602
loading,,anthropic_ai_education_years_mean,PC5,-0.009228,0.037459
loading,,anthropic_ai_education_years_mean,PC6,-0.00055,0.032488
loading,,anthropic_ai_education_years_mean,PC7,-0.01199,0.024564
loading,,anthropic_ai_education_years_mean,PC8,0.014871,0.017946
loading,,anthropic_ai_education_years_mean,PC9,-0.110552,0.010927
loading,,anthropic_ai_education_years_mean,PC10,-0.108257,0.007181
loading,,anthropic_gdp_total,PC1,0.146173,0.37287
loading,,anthropic_gdp_total,PC2,0.258958,0.22296
loading,,anthropic_gdp_total,PC3,0.030738,0.148778
loading,,anthropic_gdp_total,PC4,0.243737,0.060602
loading,,anthropic_gdp_total,PC5,-0.265139,0.037459
loading,,anthropic_gdp_total,PC6,-0.016323,0.032488
loading,,anthropic_gdp_total,PC7,0.271497,0.024564
loading,,anthropic_gdp_total,PC8,-0.238082,0.017946
loading,,anthropic_gdp_total,PC9,0.092139,0.010927
loading,,anthropic_gdp_total,PC10,0.058808,0.007181
loading,,anthropic_usage_pct,PC1,0.097032,0.37287
loading,,anthropic_usage_pct,PC2,0.297727,0.22296
loading,,anthropic_usage_pct,PC3,0.006163,0.148778
loading,,anthropic_usage_pct,PC4,0.119979,0.060602
loading,,anthropic_usage_pct,PC5,-0.127339,0.037459
loading,,anthropic_usage_pct,PC6,-0.033366,0.032488
loading,,anthropic_usage_pct,PC7,0.166619,0.024564
loading,,anthropic_usage_pct,PC8,-0.117274,0.017946
loading,,anthropic_usage_pct,PC9,-0.014668,0.010927
loading,,anthropic_usage_pct,PC10,0.062369,0.007181
