variable_matriz,bloque_tematico,source_id,unit,direction,is_primary,n,n_missing,pct_complete,mean,median,std,mad,min,p01,p05,p10,p25,p75,p90,p95,p99,max,iqr,cv_robust,skewness,kurtosis,n_zero,n_negative,n_outliers_iqr_1_5,n_outliers_iqr_3_0,n_outliers_z_robust,normality_test,normality_stat,normality_p,suggest_log_transform,status
oecd_3_regulatory_gov_oecd_reg_gov_ex_post_eval,institutional_control,oecd,count,unknown,True,43,156,21.61,0.237442,0.15,0.237668,0.11,0.0,0.0,0.0,0.008,0.04,0.465,0.574,0.62,0.808,0.85,0.425,0.7333,0.8937,-0.4196,5,0,0,0,6,shapiro,0.852,5.9e-05,False,ok
oecd_3_regulatory_gov_oecd_reg_gov_ria,institutional_control,oecd,count,unknown,True,41,158,20.6,0.40878,0.4,0.187313,0.14,0.0,0.024,0.11,0.15,0.29,0.56,0.62,0.69,0.75,0.79,0.27,0.35,-0.1781,-0.579,1,0,0,0,0,shapiro,0.9846,0.843116,False,ok
oecd_3_regulatory_gov_oecd_reg_gov_stakeholder,institutional_control,oecd,count,unknown,True,41,158,20.6,0.411707,0.38,0.219635,0.13,0.0,0.0,0.0,0.25,0.25,0.61,0.68,0.69,0.852,0.88,0.36,0.3421,0.0416,-0.7135,3,0,0,0,1,shapiro,0.9453,0.047972,False,ok
oecd_4_digital_gov_oecd_digital_gov_data_driven,tech_infrastructure_control,oecd,count,unknown,True,38,161,19.1,0.103158,0.1,0.028199,0.02,0.05,0.05,0.0585,0.077,0.09,0.1275,0.14,0.143,0.1663,0.17,0.0375,0.2,0.325,-0.2652,0,0,0,0,1,shapiro,0.9618,0.217749,False,ok
oecd_4_digital_gov_oecd_digital_gov_design,tech_infrastructure_control,oecd,count,unknown,True,38,161,19.1,0.111316,0.11,0.024514,0.01,0.05,0.0574,0.07,0.08,0.1,0.13,0.14,0.1515,0.16,0.16,0.03,0.0909,-0.0983,0.0068,0,0,1,0,6,shapiro,0.9696,0.380425,False,ok
oecd_4_digital_gov_oecd_digital_gov_open_data,tech_infrastructure_control,oecd,count,unknown,True,38,161,19.1,0.084737,0.085,0.026482,0.015,0.04,0.04,0.04,0.05,0.07,0.1,0.12,0.13,0.1426,0.15,0.03,0.1765,0.2378,-0.2529,0,0,1,0,1,shapiro,0.9688,0.359986,False,ok
oecd_4_digital_gov_oecd_digital_gov_overall,tech_infrastructure_control,oecd,count,unknown,True,38,161,19.1,0.583947,0.59,0.147145,0.07,0.2,0.2074,0.339,0.414,0.505,0.6475,0.756,0.7845,0.8856,0.93,0.1425,0.1186,-0.4158,0.9044,0,0,3,0,3,shapiro,0.9636,0.248575,False,ok
oecd_4_digital_gov_oecd_digital_gov_policy,tech_infrastructure_control,oecd,count,unknown,True,38,161,19.1,0.098684,0.105,0.028301,0.005,0.02,0.02,0.054,0.07,0.0825,0.11,0.123,0.1415,0.15,0.15,0.0275,0.0476,-0.9014,1.3745,0,0,2,0,14,shapiro,0.8981,0.002257,False,ok
oecd_4_digital_gov_oecd_digital_gov_proactiveness,tech_infrastructure_control,oecd,count,unknown,True,38,161,19.1,0.087632,0.09,0.036939,0.02,0.0,0.0037,0.01,0.044,0.07,0.11,0.13,0.14,0.1526,0.16,0.04,0.2222,-0.5205,0.0242,1,0,3,0,3,shapiro,0.9637,0.249241,False,ok
oecd_4_digital_gov_oecd_digital_gov_user_driven,tech_infrastructure_control,oecd,count,unknown,True,38,161,19.1,0.096316,0.1,0.031573,0.02,0.01,0.0211,0.0485,0.057,0.0725,0.11,0.14,0.1415,0.15,0.15,0.0375,0.2,-0.4285,0.0757,0,0,1,0,1,shapiro,0.9697,0.384687,False,ok
oecd_4_digital_gov_oecd_open_gov_data,tech_infrastructure_control,oecd,count,unknown,True,40,159,20.1,0.47825,0.455,0.195224,0.125,0.09,0.1056,0.187,0.228,0.3675,0.64,0.751,0.792,0.8788,0.91,0.2725,0.2747,0.1721,-0.5349,0,0,0,0,1,shapiro,0.9842,0.838523,False,ok
oecd_5_ict_business_oecd_biz_ai_pct,adoption_diffusion,oecd,pct,unknown,True,38,161,19.1,17.603515,15.798,10.964033,7.4668,3.39,3.502748,4.048049,5.519323,8.64145,25.32695,33.89082,35.45723,40.47396,42.0324,16.6855,0.4726,0.5782,-0.8502,0,0,0,0,1,shapiro,0.9215,0.010908,False,ok
