variable_matriz,bloque_tematico,source_id,unit,direction,is_primary,n,n_missing,pct_complete,mean,median,std,mad,min,p01,p05,p10,p25,p75,p90,p95,p99,max,iqr,cv_robust,skewness,kurtosis,n_zero,n_negative,n_outliers_iqr_1_5,n_outliers_iqr_3_0,n_outliers_z_robust,normality_test,normality_stat,normality_p,suggest_log_transform,status
oxford_ind_govt_effectiveness,ecosystem_outcome,oxford,score_0_100,higher_better,False,193,6,96.98,48.356477,47.4,20.018319,13.6,2.2,5.4,15.8,22.88,34.6,61.6,77.8,81.48,91.0,92.8,27.0,0.2869,0.1635,-0.5312,0,0,0,0,0,shapiro,0.9848,0.035555,False,ok
oxford_ind_govt_promotion_emerging_tech,ecosystem_outcome,oxford,score_0_100,higher_better,True,184,15,92.46,39.555162,37.034,20.678568,13.36525,0.05,2.213333,8.404,17.506,23.66875,49.055,71.581,76.223125,95.729,100.0,25.38625,0.3609,0.6287,0.095,0,0,3,0,5,shapiro,0.9609,5.4e-05,False,ok
oxford_ind_govt_responsiveness,ecosystem_outcome,oxford,score_0_100,higher_better,True,187,12,93.97,44.257698,42.625115,13.346756,8.372881,7.19746,17.07086,23.903161,29.07207,35.376877,51.982097,59.910742,69.309115,78.678354,85.220989,16.60522,0.1964,0.3411,0.4092,0,0,5,0,8,shapiro,0.9864,0.068048,False,ok
oxford_ind_households_internet,ecosystem_outcome,oxford,score_0_100,higher_better,True,192,7,96.48,63.978042,74.6,30.2924,18.055,1.91734,4.159135,9.620711,16.17497,32.9424,90.0925,94.901,96.324,100.0,100.0,57.1501,0.242,-0.6259,-1.0643,0,0,0,0,12,shapiro,0.8744,0.0,False,ok
oxford_ind_ict_skills,ecosystem_outcome,oxford,score_0_100,higher_better,True,181,18,90.95,32.608706,24.456736,23.828909,19.373107,2.660345,3.192414,4.161728,4.161728,10.127749,54.207823,65.92256,72.540498,83.732385,100.0,44.080074,0.7921,0.5297,-0.8169,0,0,0,0,2,shapiro,0.9171,0.0,False,ok
oxford_ind_ict_trade_goods_log,ecosystem_outcome,oxford,score_0_100,higher_better,True,192,7,96.48,45.757434,45.333865,20.21255,15.298002,8.626637,11.193363,15.156817,17.114523,30.442361,60.846979,72.683848,78.361883,84.952679,100.0,30.404618,0.3375,0.0944,-0.8132,0,0,0,0,1,shapiro,0.9741,0.001254,False,ok
oxford_ind_ict_trade_services_log,ecosystem_outcome,oxford,score_0_100,higher_better,True,192,7,96.48,39.817299,39.136616,21.341492,17.427611,0.0,1.005617,8.7461,14.313852,21.610381,56.562706,70.699903,75.520367,87.782712,100.0,34.952325,0.4453,0.3011,-0.662,2,0,0,0,0,shapiro,0.9768,0.002794,False,ok
oxford_ind_mobile_subscriptions,ecosystem_outcome,oxford,score_0_100,higher_better,True,193,6,96.98,79.841884,87.076923,21.733068,12.923077,15.153846,22.652308,37.415385,46.276923,66.769231,100.0,100.0,100.0,100.0,100.0,33.230769,0.1484,-1.0057,0.0192,0,0,1,0,15,shapiro,0.8538,0.0,False,ok
oxford_ind_non_ai_unicorns_log,ecosystem_outcome,oxford,score_0_100,higher_better,True,193,6,96.98,6.218146,0.0,14.93203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.972485,39.651855,66.803614,100.0,0.0,,3.1695,11.7946,151,0,42,42,0,shapiro,0.4882,0.0,True,ok
oxford_ind_online_services,ecosystem_outcome,oxford,score_0_100,higher_better,True,193,6,96.98,55.773368,54.09,24.214006,20.31,0.0,5.0264,15.574,27.288,36.52,77.53,87.634,90.532,98.2656,100.0,41.01,0.3755,-0.1158,-0.952,1,0,0,0,0,shapiro,0.9696,0.000339,False,ok
oxford_ind_open_data,ecosystem_outcome,oxford,score_0_100,higher_better,True,187,12,93.97,34.666674,35.75,27.363651,19.638889,0.0,0.0,0.0,0.0,0.75,51.5,73.6,81.0,90.0,90.0,50.75,0.5493,0.1558,-1.1042,40,0,0,0,0,shapiro,0.9135,0.0,False,ok
oxford_ind_procurement_data,ecosystem_outcome,oxford,score_0_100,higher_better,True,187,12,93.97,43.955714,45.0,21.67833,15.0,0.0,0.0,3.1,16.6,28.875,58.0,70.4,77.7,87.56,96.0,29.125,0.3333,-0.0656,-0.6298,7,0,0,0,0,shapiro,0.9786,0.005729,False,ok
oxford_ind_rd_spending_log,ecosystem_outcome,oxford,score_0_100,higher_better,True,190,9,95.48,25.886285,16.820578,22.110555,8.568159,0.548271,1.001087,3.235932,5.990579,10.646998,39.927836,59.43468,74.195944,82.732085,100.0,29.280839,0.5094,1.202,0.5611,0,0,2,0,37,shapiro,0.8495,0.0,False,ok
oxford_ind_regulatory_quality,ecosystem_outcome,oxford,score_0_100,higher_better,False,193,6,96.98,48.392746,47.0,19.969345,13.2,2.2,7.568,18.32,24.64,35.4,61.4,78.0,82.68,87.432,94.2,26.0,0.2809,0.1156,-0.551,0,0,0,0,1,shapiro,0.9859,0.050788,False,ok
oxford_ind_software_spending,ecosystem_outcome,oxford,score_0_100,higher_better,True,184,15,92.46,22.038172,17.496277,18.534847,11.651122,0.0,0.422023,1.534734,2.608269,6.15816,29.665555,53.699286,63.095531,66.408417,100.0,23.507395,0.6659,1.186,1.3611,1,0,4,0,13,shapiro,0.8864,0.0,False,ok
oxford_ind_statistical_capacity,ecosystem_outcome,oxford,score_0_100,higher_better,True,192,7,96.48,63.454674,61.824167,17.344844,12.992083,19.617917,21.358263,33.595458,40.707125,52.867708,78.290729,86.047292,88.260604,89.180825,90.09375,25.423021,0.2101,-0.3066,-0.5754,0,0,0,0,0,shapiro,0.9588,2.2e-05,False,ok
oxford_ind_stem_graduates,ecosystem_outcome,oxford,score_0_100,higher_better,True,193,6,96.98,29.553348,28.108653,10.307862,5.163565,1.682002,8.046985,15.290042,19.930677,24.216759,35.475966,40.8851,46.016671,52.722132,100.0,11.259207,0.1837,1.7651,10.4493,0,0,5,1,13,shapiro,0.8916,0.0,False,ok
oxford_ind_supercomputers_log,ecosystem_outcome,oxford,score_0_100,higher_better,True,193,6,96.98,6.579867,0.0,16.881019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.248513,46.008154,72.615063,100.0,0.0,,3.0238,9.7331,159,0,34,34,0,shapiro,0.4567,0.0,True,ok
oxford_ind_telecom_infrastructure,ecosystem_outcome,oxford,score_0_100,higher_better,True,193,6,96.98,57.868764,60.82,25.651357,21.59,0.0,8.07,14.0,18.294,36.5,80.12,88.958,92.482,97.122,100.0,43.62,0.355,-0.3345,-1.0287,1,0,0,0,0,shapiro,0.9514,4e-06,False,ok
oxford_ind_time_govt_regulations,ecosystem_outcome,oxford,score_0_100,higher_better,True,180,19,90.45,91.071793,91.55,5.788423,3.616667,71.2,73.053,80.8,81.95,87.933333,95.625,98.0,98.62,99.6,99.9,7.691667,0.0395,-0.8443,0.555,0,0,3,0,3,shapiro,0.942,1e-06,False,ok
oxford_ind_vc_availability,ecosystem_outcome,oxford,score_0_100,higher_better,True,180,19,90.45,17.173343,10.0,20.031566,4.777778,0.0,0.0,2.0,4.0,5.285714,21.0,38.1,51.15,100.0,100.0,15.714286,0.4778,2.5799,7.1643,4,0,11,8,34,shapiro,0.6796,0.0,True,ok
oxford_infrastructure,ecosystem_outcome,oxford,score_0_100,higher_better,True,193,6,96.98,40.490094,35.708667,19.213698,11.475793,1.693333,11.202576,15.296065,17.938456,26.590201,57.401477,69.079717,74.896237,84.742565,88.378778,30.811276,0.3214,0.5525,-0.663,0,0,0,0,9,shapiro,0.9445,1e-06,False,ok
oxford_innovation_capacity,ecosystem_outcome,oxford,score_0_100,higher_better,True,193,6,96.98,44.818773,40.550897,13.974223,6.987065,11.003264,18.205761,28.114203,30.79261,35.357677,52.727467,64.653539,71.211643,80.634377,92.476371,17.36979,0.1723,0.7886,0.4973,0,0,5,0,20,shapiro,0.9466,1e-06,False,ok
oxford_maturity,ecosystem_outcome,oxford,score_0_100,higher_better,True,193,6,96.98,21.930117,20.171085,13.596802,9.143578,0.0,1.239339,4.046257,5.831811,11.933563,29.559043,38.741247,47.632201,56.561715,83.796707,17.62548,0.4533,0.9545,1.5166,1,0,3,1,6,shapiro,0.946,1e-06,False,ok
oxford_policy_capacity,ecosystem_outcome,oxford,score_0_100,higher_better,True,195,4,97.99,42.387744,34.5,33.299705,30.5,0.0,0.0,0.0,4.0,12.0,76.5,88.5,92.5,100.0,100.0,64.5,0.8841,0.2524,-1.4845,18,0,0,0,0,shapiro,0.8903,0.0,False,ok
oxford_policy_commitment,ecosystem_outcome,oxford,score_0_100,higher_better,True,195,4,97.99,41.913641,25.0,36.684491,25.0,0.0,0.0,0.0,0.0,12.5,75.0,96.764,100.0,100.0,100.0,62.5,1.0,0.2782,-1.4928,48,0,0,0,0,shapiro,0.8616,0.0,False,ok
oxford_policy_vision,ecosystem_outcome,oxford,score_0_100,higher_better,True,195,4,97.99,43.098872,40.0,31.165241,30.0,0.0,0.0,0.0,0.0,20.0,70.0,90.0,100.0,100.0,100.0,50.0,0.75,0.2885,-1.1542,22,0,0,0,0,shapiro,0.9283,0.0,False,ok
oxford_public_sector_adoption,ecosystem_outcome,oxford,score_0_100,higher_better,True,195,4,97.99,47.827897,48.35,27.493256,24.32,0.0,2.0116,5.385,10.298,23.17,71.03,82.498,85.44,97.1854,99.63,47.86,0.503,-0.0491,-1.3034,1,0,0,0,0,shapiro,0.943,1e-06,False,ok
oxford_regulatory_compliance,ecosystem_outcome,oxford,score_0_100,higher_better,True,195,4,97.99,50.915897,53.72,26.934714,20.39,0.0,0.0,1.306,11.54,30.0,70.925,82.286,88.05,89.718,92.25,40.925,0.3796,-0.4106,-1.0169,4,0,0,0,0,shapiro,0.9348,0.0,False,ok
oxford_resilience,ecosystem_outcome,oxford,score_0_100,higher_better,True,195,4,97.99,43.213077,38.98,17.930392,11.69,7.46,13.5748,19.568,22.846,29.67,56.74,68.96,77.388,83.6198,90.01,27.07,0.2999,0.5567,-0.4455,0,0,0,0,7,shapiro,0.9613,3.5e-05,False,ok
oxford_safety_security,ecosystem_outcome,oxford,score_0_100,higher_better,True,195,4,97.99,40.02641,33.33,27.199514,16.67,0.0,0.0,0.0,5.998,23.0,63.83,76.666,100.0,100.0,100.0,40.83,0.5002,0.5493,-0.4259,15,0,0,0,14,shapiro,0.9328,0.0,False,ok
oxford_size,ecosystem_outcome,oxford,score_0_100,higher_better,True,176,23,88.44,21.628788,18.850493,13.330441,8.360427,1.691379,3.146768,5.142258,6.889035,11.271387,29.024425,39.122215,46.92883,55.274842,87.03541,17.753038,0.4435,1.2205,2.604,0,0,2,1,8,shapiro,0.922,0.0,False,ok
oxford_societal_transition,ecosystem_outcome,oxford,score_0_100,higher_better,True,195,4,97.99,46.398462,44.25,15.284014,10.85,14.92,19.2146,26.234,29.142,35.25,56.6,67.064,72.94,89.0532,90.67,21.35,0.2452,0.629,0.0797,0,0,3,0,5,shapiro,0.9674,0.000169,False,ok
oxford_technology_sector,ecosystem_outcome,oxford,score_0_100,higher_better,True,193,6,96.98,35.220131,32.64685,13.022603,8.410124,14.26929,15.983471,18.939565,20.907612,25.58034,42.266749,56.273875,61.40575,66.733178,80.943829,16.686408,0.2576,0.8469,0.1694,0,0,2,0,8,shapiro,0.9373,0.0,False,ok
oxford_total_score,ecosystem_outcome,oxford,score_0_100,higher_better,True,195,4,97.99,42.515333,40.19,19.135749,16.73,12.12,12.67,16.917,19.488,25.255,59.435,69.656,74.777,77.9336,88.36,34.18,0.4163,0.2854,-1.12,0,0,0,0,0,shapiro,0.9472,1e-06,False,ok
oxford_vision,ecosystem_outcome,oxford,score_0_100,higher_better,True,193,6,96.98,41.450777,0.0,48.594505,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,,0.3469,-1.8456,110,0,0,0,0,shapiro,0.6454,0.0,False,ok
stanford_fig_3_4_4_fig_3_4_4_number_of_rai_submissions,regulatory_treatment,stanford,count,unknown,True,10,189,5.03,181.1,91.0,244.50651,28.5,29.0,31.25,40.25,51.5,59.75,109.75,435.8,623.9,774.38,812.0,50.0,0.3132,1.9995,2.5917,0,0,2,2,2,shapiro,0.6203,9.7e-05,False,ok
stanford_fig_3_4_5_fig_3_4_5_number_of_rai_submissions,regulatory_treatment,stanford,count,unknown,True,84,115,42.21,123.630952,6.0,478.875711,5.0,1.0,1.0,1.0,1.0,2.0,40.0,219.8,373.7,2329.5,3865.0,38.0,0.8333,6.5404,45.4239,0,0,16,13,26,shapiro,0.2568,0.0,True,ok
stanford_fig_3_5_2_fig_3_5_2_ai_action_summit_inclusive_2025,regulatory_treatment,stanford,count,unknown,True,58,141,29.15,0.724138,1.0,0.450851,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.003,-0.994,16,0,0,0,0,shapiro,0.5591,0.0,False,ok
stanford_fig_3_5_2_fig_3_5_2_bletchley_declaration_2023,regulatory_treatment,stanford,count,unknown,True,58,141,29.15,0.431034,0.0,0.499546,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.2785,-1.9224,33,0,0,0,0,shapiro,0.6297,0.0,False,ok
stanford_fig_3_5_2_fig_3_5_2_coe_drafters_2022,regulatory_treatment,stanford,count,unknown,True,58,141,29.15,0.586207,1.0,0.496814,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.3501,-1.8775,24,0,0,0,0,shapiro,0.6258,0.0,False,ok
stanford_fig_3_5_2_fig_3_5_2_g20_ai_principles_2019,regulatory_treatment,stanford,count,unknown,True,58,141,29.15,0.327586,0.0,0.473432,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.7347,-1.4602,39,0,0,0,0,shapiro,0.5919,0.0,False,ok
stanford_fig_3_5_2_fig_3_5_2_g7_hiroshima_ai_process_2023,regulatory_treatment,stanford,count,unknown,True,58,141,29.15,0.12069,0.0,0.328611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,2.3287,3.423,51,0,7,7,0,shapiro,0.381,0.0,True,ok
stanford_fig_3_5_2_fig_3_5_2_gpai_ministerial_declaration_2022,regulatory_treatment,stanford,count,unknown,True,58,141,29.15,0.413793,0.0,0.496814,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.3501,-1.8775,34,0,0,0,0,shapiro,0.6258,0.0,False,ok
stanford_fig_3_5_2_fig_3_5_2_oecd_ai_principles_2019,regulatory_treatment,stanford,count,unknown,True,58,141,29.15,0.672414,1.0,0.473432,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.7347,-1.4602,19,0,0,0,0,shapiro,0.5919,0.0,False,ok
stanford_fig_3_5_2_fig_3_5_2_seoul_ministerial_statement_2024,regulatory_treatment,stanford,count,unknown,True,58,141,29.15,0.431034,0.0,0.499546,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.2785,-1.9224,33,0,0,0,0,shapiro,0.6297,0.0,False,ok
stanford_fig_3_6_1_fig_3_6_1_data_protection_and_privacy,regulatory_treatment,stanford,count,unknown,True,138,61,69.35,28.580217,21.55,29.484999,21.55,0.0,0.0,0.0,0.0,0.0,48.15,72.506,87.4745,95.5069,97.31,48.15,1.0,0.7317,-0.6506,47,0,0,0,1,shapiro,0.8642,0.0,False,ok
stanford_fig_3_7_1_fig_3_7_1_bias_and_unfair_discrimination,regulatory_treatment,stanford,count,unknown,True,138,61,69.35,19.437899,6.3,24.822798,6.3,0.0,0.0,0.0,0.0,0.0,34.3675,60.608,76.6255,85.226,90.8,34.3675,1.0,1.2101,0.4404,59,0,1,0,42,shapiro,0.7883,0.0,False,ok
stanford_fig_3_7_2_fig_3_7_2_gender_equality,regulatory_treatment,stanford,count,unknown,True,138,61,69.35,14.74413,5.6,20.32966,5.6,0.0,0.0,0.0,0.0,0.0,23.15,40.418,53.2005,84.1074,95.99,23.15,1.0,1.7576,3.0849,59,0,7,1,33,shapiro,0.753,0.0,False,ok
stanford_fig_3_7_3_fig_3_7_3_cultural_and_linguistic_diversity,regulatory_treatment,stanford,count,unknown,True,138,61,69.35,15.447971,4.635,22.608404,4.635,0.0,0.0,0.0,0.0,0.0,26.655,45.434,71.033,85.7814,89.8,26.655,1.0,1.6491,1.9188,60,0,10,0,39,shapiro,0.7241,0.0,False,ok
stanford_fig_6_3_5_fig_6_3_5_volume_of_publications,ecosystem_outcome,stanford,count,unknown,True,39,160,19.6,5.615385,2.0,10.857002,1.0,1.0,1.0,1.0,1.0,1.0,5.0,9.8,24.3,48.7,62.0,4.0,0.5,4.0385,17.2972,0,0,4,3,8,shapiro,0.4498,0.0,True,ok
wb_control_of_corruption,institutional_control,wb,wgi_-2.5_2.5,higher_better,True,196,3,98.49,-0.064909,-0.26011,1.013736,0.761642,-2.064721,-1.705851,-1.519404,-1.300679,-0.842945,0.641943,1.490997,1.834618,2.024576,2.287475,1.484888,2.9282,0.4067,-0.6963,0,113,0,0,0,shapiro,0.9663,0.000122,False,ok
wb_control_of_corruption_se,institutional_control,wb,wgi_-2.5_2.5,higher_better,True,196,3,98.49,0.189207,0.169688,0.055165,0.01096,0.147755,0.151536,0.151682,0.154464,0.160738,0.192637,0.257511,0.304284,0.429327,0.435253,0.031899,0.0646,2.709,7.5464,0,0,24,12,32,shapiro,0.6288,0.0,True,ok
wb_education_expenditure_pct_gdp,socioeconomic_control,wb,pct,higher_better,True,179,20,89.95,4.392079,4.24739,2.09124,1.080189,8e-06,0.370317,1.731487,2.188981,3.100381,5.311126,6.478035,7.643343,11.842181,16.39053,2.210746,0.2543,1.6548,6.7802,0,0,5,2,11,shapiro,0.8995,0.0,False,ok
wb_electric_consumption_kwh_pc,tech_infrastructure_control,wb,count,unknown,True,147,52,73.87,4210.021792,2585.270432,5772.840952,2066.972775,13.717021,57.022659,100.462735,174.830398,823.183464,5244.978822,9770.315553,13709.733998,23418.778048,48997.945698,4421.795358,0.7995,4.0637,24.6402,0,0,11,4,14,shapiro,0.6323,0.0,True,ok
wb_exports_pct_gdp,socioeconomic_control,wb,pct,higher_better,True,172,27,86.43,43.524018,35.538202,32.91418,15.059086,0.72093,4.919107,9.692779,15.0313,22.715695,54.413127,75.641624,93.243928,183.009763,191.53297,31.697432,0.4237,2.1845,6.3719,0,0,8,4,10,shapiro,0.8035,0.0,True,ok
wb_fdi_net_inflows,socioeconomic_control,wb,count,unknown,True,191,8,95.98,7150971478.380333,1019486410.0,31392696981.97677,998885430.0,-108395568633.839,-64692848444.469025,-3687292364.393795,-12572108.039872,130012452.460864,4617882394.441825,20606000000.0,46107243703.19945,126746594946.17935,297058000000.0,4487869941.980962,0.9798,4.6131,40.4461,0,22,46,29,60,shapiro,0.4679,0.0,True,ok
wb_fdi_pct_gdp,socioeconomic_control,wb,pct,higher_better,True,189,10,94.97,-2.763957,2.478967,96.897212,1.802556,-1303.108267,-40.63109,-1.924557,-0.367198,0.694133,4.478085,9.702743,12.053634,44.425931,170.537959,3.783951,0.7271,-12.8617,170.5182,0,20,24,10,29,shapiro,0.1002,0.0,True,ok
wb_fixed_broadband_per100,tech_infrastructure_control,wb,pct,higher_better,True,195,4,97.99,17.307395,12.464073,16.011447,11.94552,0.0,0.002241,0.073248,0.217604,1.869375,30.271781,40.75033,45.187491,50.146042,55.678082,28.402406,0.9584,0.5275,-1.0892,1,0,0,0,1,shapiro,0.886,0.0,False,ok
wb_gdp_current_usd,socioeconomic_control,wb,usd,higher_better,True,194,5,97.49,566890166706.5104,46731190672.875595,2536102940465.15,44486114043.34607,62280311.585217,268742951.796308,1120842989.757025,2210854153.216243,13834468887.138401,286826791201.052,930925070477.9899,2178030851466.93,5669667319316.17,28750956130731.2,272992322313.9136,0.952,9.1073,90.2771,0,0,21,19,56,shapiro,0.1992,0.0,True,ok
wb_gdp_growth_annual_pct,socioeconomic_control,wb,pct,higher_better,True,193,6,96.98,3.043395,3.327623,4.587046,1.472186,-26.557526,-9.489785,-1.086382,0.103309,1.554795,4.321224,6.059557,7.152267,9.72941,43.819311,2.766429,0.4424,1.9265,40.2733,0,19,11,4,13,shapiro,0.6118,0.0,False,ok
wb_gdp_per_capita_ppp,socioeconomic_control,wb,usd,higher_better,True,189,10,94.97,29883.583287,18614.988069,29822.535942,14268.145572,1194.946814,1561.301187,2150.17886,3309.325642,7368.752753,47404.964844,72391.844191,83305.401268,135507.689898,155941.288211,40036.212091,0.7665,1.568,2.7731,0,0,4,0,23,shapiro,0.8309,0.0,False,ok
wb_government_effectiveness,institutional_control,wb,wgi_-2.5_2.5,higher_better,True,196,3,98.49,0.003583,-0.081506,0.964074,0.683917,-2.172846,-1.953334,-1.489264,-1.120379,-0.708541,0.63447,1.423351,1.763017,2.042124,2.279627,1.343011,8.391,0.2021,-0.4802,0,102,0,0,0,shapiro,0.9864,0.057214,False,ok
wb_government_effectiveness_se,institutional_control,wb,wgi_-2.5_2.5,higher_better,True,196,3,98.49,0.236843,0.22486,0.047085,0.012932,0.177319,0.183545,0.184473,0.191843,0.212453,0.238634,0.308806,0.338699,0.389219,0.433097,0.026182,0.0575,1.8937,3.8931,0,0,27,18,29,shapiro,0.7953,0.0,False,ok
wb_gross_capital_formation_pct_gdp,socioeconomic_control,wb,pct,higher_better,True,168,31,84.42,23.234353,23.333191,7.790183,4.030076,0.252269,2.560305,9.966908,14.419434,18.98206,26.99031,32.293687,35.861078,43.499065,45.265737,8.00825,0.1727,-0.0043,0.844,0,0,11,0,16,shapiro,0.9836,0.044594,False,ok
wb_high_tech_exports_pct_manufactured,socioeconomic_control,wb,pct,unknown,True,170,29,85.43,11.916943,6.261543,14.757911,4.875571,0.0,0.0,0.154334,0.603858,2.133129,17.448781,28.537591,44.76414,65.499876,76.670064,15.315652,0.7787,2.1582,5.0112,3,0,11,2,25,shapiro,0.7423,0.0,True,ok
wb_ict_goods_exports_pct,socioeconomic_control,wb,pct,unknown,True,161,38,80.9,3.705709,0.53,8.744504,0.5,0.0,0.0,0.01,0.02,0.08,2.82,9.78,17.82,43.084,62.47,2.74,0.9434,4.0506,18.9199,5,0,24,14,46,shapiro,0.463,0.0,True,ok
wb_ict_service_exports_pct,socioeconomic_control,wb,pct,unknown,True,173,26,86.93,9.969722,6.921688,11.436725,4.762188,0.058855,0.114796,0.463581,0.788132,2.240403,11.963953,25.623585,32.358261,53.337647,63.961715,9.723551,0.688,2.1707,5.3513,0,0,16,6,19,shapiro,0.7584,0.0,True,ok
wb_inflation_consumer_prices,socioeconomic_control,wb,count,lower_better,True,181,18,90.95,8.694129,3.143491,22.804184,1.541605,-12.296984,-1.663725,0.409162,0.919635,1.80023,5.408744,16.229616,32.17965,111.525829,219.883929,3.608514,0.4904,6.2802,47.031,0,6,27,19,33,shapiro,0.3482,0.0,True,ok
wb_internet_penetration,tech_infrastructure_control,wb,count,higher_better,True,191,8,95.98,71.314902,81.95706,25.959196,12.440538,6.671,8.914448,18.08445,29.040701,56.5232,91.283941,95.775791,98.147301,100.0,100.0,34.760741,0.1518,-0.9506,-0.3423,0,0,0,0,31,shapiro,0.8619,0.0,False,ok
wb_labor_force,socioeconomic_control,wb,count,unknown,True,181,18,90.95,20777369.093923,4731937.0,75699905.59801,3961669.0,33628.0,49965.4,237763.0,326682.0,1391230.0,13250486.0,36106369.0,69386649.0,263401619.199995,767626880.0,11859256.0,0.8372,8.1753,71.6894,0,0,22,14,36,shapiro,0.2351,0.0,True,ok
wb_mobile_subscriptions_per100,socioeconomic_control,wb,pct,unknown,True,197,2,98.99,115.383147,115.457279,52.750107,21.351307,19.988583,31.746577,49.531393,62.268602,88.192937,132.548743,160.864301,177.600972,227.413789,574.152333,44.355806,0.1849,3.8122,29.653,0,0,6,2,13,shapiro,0.7447,0.0,True,ok
wb_patent_applications_residents,tech_infrastructure_control,wb,count,unknown,True,135,64,67.84,17029.488889,104.0,126741.996983,102.0,1.0,1.0,1.0,2.0,11.0,882.0,4692.4,15240.9,248714.72,1426644.0,871.0,0.9808,10.407,112.22,0,0,17,15,43,shapiro,0.1137,0.0,True,ok
wb_political_stability,institutional_control,wb,wgi_-2.5_2.5,higher_better,True,196,3,98.49,-0.093715,-0.035211,0.979252,0.664378,-2.750564,-2.374216,-2.008006,-1.660806,-0.654012,0.654122,1.14249,1.238708,1.470301,1.582354,1.308134,18.8684,-0.5346,-0.3705,0,101,1,0,3,shapiro,0.9618,3.7e-05,False,ok
wb_political_stability_se,institutional_control,wb,wgi_-2.5_2.5,higher_better,True,196,3,98.49,0.246898,0.24345,0.018898,0.007618,0.216471,0.219231,0.222317,0.226012,0.237364,0.251855,0.273046,0.285539,0.309324,0.309324,0.014491,0.0313,1.3738,2.2403,0,0,20,10,23,shapiro,0.8826,0.0,False,ok
wb_population,socioeconomic_control,wb,count,unknown,True,197,2,98.99,41197003.71066,9132629.0,149419934.322539,8604830.0,9646.0,17465.08,91405.2,263694.6,2127400.0,31934230.0,70202804.4,131100759.0,382865548.479991,1450935791.0,29806830.0,0.9422,8.3157,73.8092,0,0,19,12,38,shapiro,0.2355,0.0,True,ok
wb_rd_expenditure_pct_gdp,socioeconomic_control,wb,pct,higher_better,True,117,82,58.79,1.039894,0.61479,1.22228,0.46736,0.00609,0.012251,0.05223,0.08963,0.19997,1.4943,2.825048,3.30613,5.839229,6.34589,1.29433,0.7602,1.9916,4.5159,0,0,6,2,16,shapiro,0.7667,0.0,False,ok
wb_regulatory_quality,institutional_control,wb,wgi_-2.5_2.5,higher_better,True,196,3,98.49,-0.067356,-0.154073,0.93634,0.608792,-2.035365,-1.932916,-1.549858,-1.240439,-0.737831,0.59158,1.32996,1.684302,1.932347,2.13212,1.329411,3.9513,0.2451,-0.4632,0,110,0,0,1,shapiro,0.9838,0.023314,False,ok
wb_regulatory_quality_se,institutional_control,wb,wgi_-2.5_2.5,higher_better,True,196,3,98.49,0.213415,0.202276,0.053553,0.013771,0.149652,0.154526,0.154871,0.157808,0.190169,0.216344,0.278093,0.300405,0.456795,0.484918,0.026175,0.0681,2.5908,9.307,0,0,27,15,28,shapiro,0.7499,0.0,True,ok
wb_researchers_rd_per_million,socioeconomic_control,wb,count,higher_better,True,108,91,54.27,2433.636161,1101.16448,2955.855073,1040.73902,1.44569,20.183478,26.727721,57.096898,305.02474,3904.043035,5985.327834,8012.392065,9432.549355,18129.75165,3599.018295,0.9451,2.0082,6.0873,0,0,2,1,25,shapiro,0.7713,0.0,True,ok
wb_rule_of_law,institutional_control,wb,wgi_-2.5_2.5,higher_better,True,196,3,98.49,-0.106786,-0.205636,1.002661,0.783154,-2.20545,-1.984118,-1.702209,-1.285275,-0.896917,0.600232,1.314081,1.63778,1.952198,2.02127,1.497149,3.8084,0.1381,-0.7821,0,109,0,0,0,shapiro,0.982,0.013047,False,ok
wb_rule_of_law_se,institutional_control,wb,wgi_-2.5_2.5,higher_better,True,196,3,98.49,0.169396,0.151585,0.042341,0.006753,0.132215,0.135617,0.137044,0.140317,0.147094,0.183853,0.215262,0.262669,0.356882,0.361625,0.036759,0.0445,2.4945,7.0143,0,0,15,4,55,shapiro,0.6828,0.0,True,ok
wb_secure_servers_per_1m,socioeconomic_control,wb,count,unknown,True,196,3,98.49,22087.977213,738.327133,55192.840502,722.746739,1.23158,1.965284,10.828457,21.649893,97.267849,12782.596854,59379.524375,142715.986754,222560.316368,464560.075958,12685.329005,0.9789,4.2529,23.5591,0,0,35,24,70,shapiro,0.4529,0.0,True,ok
