iso3,country_name_canonical,region,income_group,n_binding,has_binding,n_non_binding,has_non_binding,n_hybrid,has_hybrid,n_unknown,has_unknown,has_iapp_record,taxonomy_status
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,0,0,0,0,0,0,0,0,1,classified_exploratory
AGO,Angola,Sub-Saharan Africa ,Lower middle income,0,0,0,0,0,0,0,0,0,no_iapp_record
ALB,Albania,Europe & Central Asia,Upper middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
AND,Andorra,Europe & Central Asia,High income,0,0,0,0,0,0,0,0,0,no_iapp_record
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,4,1,7,1,1,1,0,0,1,classified_exploratory
ARG,Argentina,Latin America & Caribbean ,Upper middle income,3,1,5,1,2,1,0,0,1,classified_exploratory
ARM,Armenia,Europe & Central Asia,Upper middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,0,0,0,0,0,0,0,0,1,classified_exploratory
AUS,Australia,East Asia & Pacific,High income,3,1,9,1,2,1,0,0,1,classified_exploratory
AUT,Austria,Europe & Central Asia,High income,0,0,0,0,0,0,0,0,1,classified_exploratory
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
BDI,Burundi,Sub-Saharan Africa ,Low income,0,0,0,0,0,0,0,0,1,classified_exploratory
BEL,Belgium,Europe & Central Asia,High income,0,0,0,0,0,0,0,0,1,classified_exploratory
BEN,Benin,Sub-Saharan Africa ,Lower middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
BFA,Burkina Faso,Sub-Saharan Africa ,Low income,0,0,0,0,0,0,0,0,1,classified_exploratory
BGD,Bangladesh,South Asia,Lower middle income,3,1,2,1,1,1,0,0,1,classified_exploratory
BGR,Bulgaria,Europe & Central Asia,High income,0,0,0,0,0,0,0,0,1,classified_exploratory
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,0,0,0,0,0,0,0,0,1,classified_exploratory
BHS,The Bahamas,Latin America & Caribbean ,High income,0,0,0,0,0,0,0,0,0,no_iapp_record
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,0,0,0,0,0,0,0,0,0,no_iapp_record
BLR,Belarus,Europe & Central Asia,Upper middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
BLZ,Belize,Latin America & Caribbean ,Upper middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
BOL,Bolivia,Latin America & Caribbean ,Lower middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
BRA,Brazil,Latin America & Caribbean ,Upper middle income,3,1,4,1,2,1,0,0,1,classified_exploratory
BRB,Barbados,Latin America & Caribbean ,High income,0,0,0,0,0,0,0,0,1,classified_exploratory
BRN,Brunei,East Asia & Pacific,High income,0,0,0,0,0,0,0,0,0,no_iapp_record
BTN,Bhutan,South Asia,Lower middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
BWA,Botswana,Sub-Saharan Africa ,Upper middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
CAF,Central African Republic (the),Sub-Saharan Africa ,Low income,0,0,0,0,0,0,0,0,1,classified_exploratory
CAN,Canada,North America,High income,3,1,9,1,2,1,0,0,1,classified_exploratory
CHE,Switzerland,Europe & Central Asia,High income,0,0,0,0,0,0,0,0,1,classified_exploratory
CHL,Chile,Latin America & Caribbean ,High income,3,1,5,1,2,1,0,0,1,classified_exploratory
CHN,China,East Asia & Pacific,Upper middle income,4,1,8,1,2,1,0,0,1,classified_exploratory
CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
COD,Democratic Republic of the Congo,Sub-Saharan Africa ,Low income,0,0,0,0,0,0,0,0,1,classified_exploratory
COG,Republic of the Congo,Sub-Saharan Africa ,Lower middle income,0,0,0,0,0,0,0,0,0,no_iapp_record
COL,Colombia,Latin America & Caribbean ,Upper middle income,3,1,5,1,2,1,0,0,1,classified_exploratory
COM,Comoros (the),Sub-Saharan Africa ,Lower middle income,0,0,0,0,0,0,0,0,0,no_iapp_record
CPV,Cabo Verde,Sub-Saharan Africa ,Upper middle income,0,0,0,0,0,0,0,0,0,no_iapp_record
CRI,Costa Rica,Latin America & Caribbean ,High income,0,0,0,0,0,0,0,0,1,classified_exploratory
CUB,Cuba,Latin America & Caribbean ,Upper middle income,0,0,0,0,0,0,0,0,0,no_iapp_record
CYP,Cyprus,Europe & Central Asia,High income,0,0,0,0,0,0,0,0,1,classified_exploratory
CZE,Czech Republic,Europe & Central Asia,High income,0,0,0,0,0,0,0,0,1,classified_exploratory
DEU,Germany,Europe & Central Asia,High income,0,0,0,0,0,0,0,0,1,classified_exploratory
DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0,0,0,0,0,0,0,0,0,no_iapp_record
DMA,Dominica,Latin America & Caribbean ,Upper middle income,0,0,0,0,0,0,0,0,0,no_iapp_record
DNK,Denmark,Europe & Central Asia,High income,0,0,0,0,0,0,0,0,1,classified_exploratory
DOM,Dominican Republic (the),Latin America & Caribbean ,Upper middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
ECU,Ecuador,Latin America & Caribbean ,Upper middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
EGY,Egypt,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,3,1,4,1,1,1,0,0,1,classified_exploratory
ERI,Eritrea,Sub-Saharan Africa ,Low income,0,0,0,0,0,0,0,0,1,classified_exploratory
ESP,Spain,Europe & Central Asia,High income,0,0,0,0,0,0,0,0,1,classified_exploratory
EST,Estonia,Europe & Central Asia,High income,0,0,0,0,0,0,0,0,1,classified_exploratory
ETH,Ethiopia,Sub-Saharan Africa ,Not classified,0,0,0,0,0,0,0,0,1,classified_exploratory
FIN,Finland,Europe & Central Asia,High income,0,0,0,0,0,0,0,0,1,classified_exploratory
FJI,Fiji,East Asia & Pacific,Upper middle income,0,0,0,0,0,0,0,0,0,no_iapp_record
FRA,France,Europe & Central Asia,High income,0,0,0,0,0,0,0,0,1,classified_exploratory
FSM,Micronesia (Federated States of),East Asia & Pacific,Lower middle income,0,0,0,0,0,0,0,0,0,no_iapp_record
GAB,Gabon,Sub-Saharan Africa ,Upper middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
GBR,United Kingdom,Europe & Central Asia,High income,4,1,9,1,3,1,0,0,1,classified_exploratory
GEO,Georgia,Europe & Central Asia,Upper middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
GHA,Ghana,Sub-Saharan Africa ,Lower middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
GIN,Guinea,Sub-Saharan Africa ,Lower middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
GMB,The Gambia,Sub-Saharan Africa ,Low income,0,0,0,0,0,0,0,0,1,classified_exploratory
GNB,Guinea Bissau,Sub-Saharan Africa ,Low income,0,0,0,0,0,0,0,0,0,no_iapp_record
GNQ,Equatorial Guinea,Sub-Saharan Africa ,Upper middle income,0,0,0,0,0,0,0,0,0,no_iapp_record
GRC,Greece,Europe & Central Asia,High income,0,0,0,0,0,0,0,0,1,classified_exploratory
GRD,Grenada,Latin America & Caribbean ,Upper middle income,0,0,0,0,0,0,0,0,0,no_iapp_record
GTM,Guatemala,Latin America & Caribbean ,Upper middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
GUY,Guyana,Latin America & Caribbean ,High income,0,0,0,0,0,0,0,0,1,classified_exploratory
HKG,Hong Kong,East Asia & Pacific,High income,3,1,2,1,1,1,0,0,1,classified_exploratory
HND,Honduras,Latin America & Caribbean ,Lower middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
HRV,Croatia,Europe & Central Asia,High income,0,0,0,0,0,0,0,0,1,classified_exploratory
HTI,Haiti,Latin America & Caribbean ,Lower middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
HUN,Hungary,Europe & Central Asia,High income,0,0,0,0,0,0,0,0,1,classified_exploratory
IDN,Indonesia,East Asia & Pacific,Upper middle income,3,1,6,1,2,1,0,0,1,classified_exploratory
