subpregunta,role,configured_variable,variable_matriz,match_status,bloque_tematico,tipo_matriz,pct_complete,n_countries_available,n_effective_cross_coverage,viability
Q2_adoption,outcome_candidate,ms_h2_2025_ai_diffusion_pct,ms_h2_2025_ai_diffusion_pct,exact_or_pattern,adoption_diffusion,numeric,73.37,146,26,requires_extension
Q2_adoption,outcome_candidate,ms_h1_2025_ai_diffusion_pct,ms_h1_2025_ai_diffusion_pct,exact_or_pattern,adoption_diffusion,numeric,73.37,146,26,requires_extension
Q2_adoption,outcome_candidate,ms_change_pp,ms_change_pp,exact_or_pattern,adoption_diffusion,numeric,73.37,146,26,requires_extension
Q2_adoption,outcome_candidate,anthropic_usage_pct,anthropic_usage_pct,exact_or_pattern,adoption_diffusion,numeric,81.91,163,26,requires_extension
Q2_adoption,outcome_candidate,anthropic_collaboration_pct,anthropic_collaboration_pct,exact_or_pattern,adoption_diffusion,numeric,77.39,154,26,requires_extension
Q2_adoption,outcome_candidate,oecd_5_ict_business_oecd_biz_ai_pct,oecd_5_ict_business_oecd_biz_ai_pct,exact_or_pattern,adoption_diffusion,numeric,19.1,38,26,requires_extension
Q2_adoption,outcome_candidate,oecd_5_ict_business_oecd_biz_bigdata_pct,oecd_5_ict_business_oecd_biz_bigdata_pct,exact_or_pattern,adoption_diffusion,numeric,18.09,36,26,requires_extension
Q2_adoption,outcome_candidate,oxford_public_sector_adoption,oxford_public_sector_adoption,exact_or_pattern,ecosystem_outcome,numeric,97.99,195,26,requires_extension
Q2_adoption,outcome_candidate,oxford_ind_adoption_emerging_tech,oxford_ind_adoption_emerging_tech,exact_or_pattern,ecosystem_outcome,numeric,92.46,184,26,requires_extension
Q2_adoption,treatment_candidate,iapp_modelo_gobernanza,iapp_modelo_gobernanza,exact_or_pattern,regulatory_treatment,categorical,14.07,28,26,requires_extension
Q2_adoption,treatment_candidate,iapp_categoria_obligatoriedad,iapp_categoria_obligatoriedad,exact_or_pattern,regulatory_treatment,categorical,14.07,28,26,requires_extension
Q2_adoption,treatment_candidate,iapp_estrategia_nacional_ia,iapp_estrategia_nacional_ia,exact_or_pattern,regulatory_treatment,binary,14.07,28,26,requires_extension
Q2_adoption,treatment_candidate,iapp_marcos_voluntarios,iapp_marcos_voluntarios,exact_or_pattern,regulatory_treatment,binary,14.07,28,26,requires_extension
Q2_adoption,control_recommended,wb_gdp_per_capita_ppp,wb_gdp_per_capita_ppp,exact_or_pattern,socioeconomic_control,numeric,94.97,189,26,requires_extension
Q2_adoption,control_recommended,wb_tertiary_education_enrollment,wb_tertiary_education_enrollment,exact_or_pattern,socioeconomic_control,numeric,78.89,157,26,requires_extension
Q2_adoption,control_recommended,wb_government_effectiveness,wb_government_effectiveness,exact_or_pattern,institutional_control,numeric,98.49,196,26,requires_extension
Q2_adoption,control_recommended,wipo_in_score,wipo_in_score,exact_or_pattern,tech_infrastructure_control,numeric,70.85,141,26,requires_extension
Q2_adoption,control_recommended,wb_internet_penetration,wb_internet_penetration,exact_or_pattern,tech_infrastructure_control,numeric,95.98,191,26,requires_extension
