iso3,country_name_canonical,variable_matriz,bloque_tematico,value,q1,q3,iqr,lower_fence,upper_fence,direction,iqr_k
THA,Thailand,wipo_out_7_2_4_score,ecosystem_outcome,95.028522,0.952668,18.993037,18.040369,-53.168438,73.114143,above,3.0
VNM,Vietnam,wipo_out_7_2_4_score,ecosystem_outcome,100.0,0.952668,18.993037,18.040369,-53.168438,73.114143,above,3.0
CHN,China,wipo_out_7_2_5_score,ecosystem_outcome,100.0,1.172746,19.221362,18.048616,-52.973102,73.36721,above,3.0
CZE,Czech Republic,wipo_out_7_2_5_score,ecosystem_outcome,100.0,1.172746,19.221362,18.048616,-52.973102,73.36721,above,3.0
HKG,Hong Kong,wipo_out_7_2_5_score,ecosystem_outcome,100.0,1.172746,19.221362,18.048616,-52.973102,73.36721,above,3.0
HUN,Hungary,wipo_out_7_2_5_score,ecosystem_outcome,97.016397,1.172746,19.221362,18.048616,-52.973102,73.36721,above,3.0
MEX,Mexico,wipo_out_7_2_5_score,ecosystem_outcome,100.0,1.172746,19.221362,18.048616,-52.973102,73.36721,above,3.0
MYS,Malaysia,wipo_out_7_2_5_score,ecosystem_outcome,100.0,1.172746,19.221362,18.048616,-52.973102,73.36721,above,3.0
PHL,Philippines (the),wipo_out_7_2_5_score,ecosystem_outcome,74.475546,1.172746,19.221362,18.048616,-52.973102,73.36721,above,3.0
SVK,Slovakia,wipo_out_7_2_5_score,ecosystem_outcome,82.269772,1.172746,19.221362,18.048616,-52.973102,73.36721,above,3.0
THA,Thailand,wipo_out_7_2_5_score,ecosystem_outcome,100.0,1.172746,19.221362,18.048616,-52.973102,73.36721,above,3.0
VNM,Vietnam,wipo_out_7_2_5_score,ecosystem_outcome,93.252654,1.172746,19.221362,18.048616,-52.973102,73.36721,above,3.0
CHE,Switzerland,wipo_out_7_3_1_score,ecosystem_outcome,100.0,0.826756,19.798734,18.971978,-56.089178,76.714669,above,3.0
DEU,Germany,wipo_out_7_3_1_score,ecosystem_outcome,78.476659,0.826756,19.798734,18.971978,-56.089178,76.714669,above,3.0
DNK,Denmark,wipo_out_7_3_1_score,ecosystem_outcome,79.588897,0.826756,19.798734,18.971978,-56.089178,76.714669,above,3.0
ISL,Iceland,wipo_out_7_3_1_score,ecosystem_outcome,100.0,0.826756,19.798734,18.971978,-56.089178,76.714669,above,3.0
LUX,Luxembourg,wipo_out_7_3_1_score,ecosystem_outcome,82.586215,0.826756,19.798734,18.971978,-56.089178,76.714669,above,3.0
MNE,Montenegro,wipo_out_7_3_1_score,ecosystem_outcome,100.0,0.826756,19.798734,18.971978,-56.089178,76.714669,above,3.0
NLD,Netherlands (Kingdom of the),wipo_out_7_3_1_score,ecosystem_outcome,100.0,0.826756,19.798734,18.971978,-56.089178,76.714669,above,3.0
SYC,Seychelles,wipo_out_7_3_1_score,ecosystem_outcome,100.0,0.826756,19.798734,18.971978,-56.089178,76.714669,above,3.0
AUT,Austria,wipo_patfam_score,ecosystem_outcome,66.408612,0.13974,8.650767,8.511027,-25.393341,34.183849,above,3.0
BEL,Belgium,wipo_patfam_score,ecosystem_outcome,44.129299,0.13974,8.650767,8.511027,-25.393341,34.183849,above,3.0
CAN,Canada,wipo_patfam_score,ecosystem_outcome,34.480147,0.13974,8.650767,8.511027,-25.393341,34.183849,above,3.0
CHE,Switzerland,wipo_patfam_score,ecosystem_outcome,100.0,0.13974,8.650767,8.511027,-25.393341,34.183849,above,3.0
CYP,Cyprus,wipo_patfam_score,ecosystem_outcome,35.539749,0.13974,8.650767,8.511027,-25.393341,34.183849,above,3.0
DEU,Germany,wipo_patfam_score,ecosystem_outcome,96.998293,0.13974,8.650767,8.511027,-25.393341,34.183849,above,3.0
DNK,Denmark,wipo_patfam_score,ecosystem_outcome,83.804634,0.13974,8.650767,8.511027,-25.393341,34.183849,above,3.0
FIN,Finland,wipo_patfam_score,ecosystem_outcome,100.0,0.13974,8.650767,8.511027,-25.393341,34.183849,above,3.0
FRA,France,wipo_patfam_score,ecosystem_outcome,56.165043,0.13974,8.650767,8.511027,-25.393341,34.183849,above,3.0
GBR,United Kingdom,wipo_patfam_score,ecosystem_outcome,35.096595,0.13974,8.650767,8.511027,-25.393341,34.183849,above,3.0
IRL,Ireland,wipo_patfam_score,ecosystem_outcome,34.269986,0.13974,8.650767,8.511027,-25.393341,34.183849,above,3.0
ISL,Iceland,wipo_patfam_score,ecosystem_outcome,40.478983,0.13974,8.650767,8.511027,-25.393341,34.183849,above,3.0
ISR,Israel,wipo_patfam_score,ecosystem_outcome,93.342842,0.13974,8.650767,8.511027,-25.393341,34.183849,above,3.0
JPN,Japan,wipo_patfam_score,ecosystem_outcome,100.0,0.13974,8.650767,8.511027,-25.393341,34.183849,above,3.0
KOR,South Korea,wipo_patfam_score,ecosystem_outcome,100.0,0.13974,8.650767,8.511027,-25.393341,34.183849,above,3.0
LUX,Luxembourg,wipo_patfam_score,ecosystem_outcome,95.46332,0.13974,8.650767,8.511027,-25.393341,34.183849,above,3.0
MLT,Malta,wipo_patfam_score,ecosystem_outcome,35.733346,0.13974,8.650767,8.511027,-25.393341,34.183849,above,3.0
NLD,Netherlands (Kingdom of the),wipo_patfam_score,ecosystem_outcome,81.785014,0.13974,8.650767,8.511027,-25.393341,34.183849,above,3.0
NOR,Norway,wipo_patfam_score,ecosystem_outcome,36.615082,0.13974,8.650767,8.511027,-25.393341,34.183849,above,3.0
SGP,Singapore,wipo_patfam_score,ecosystem_outcome,42.518368,0.13974,8.650767,8.511027,-25.393341,34.183849,above,3.0
SWE,Sweden,wipo_patfam_score,ecosystem_outcome,100.0,0.13974,8.650767,8.511027,-25.393341,34.183849,above,3.0
USA,United States,wipo_patfam_score,ecosystem_outcome,60.121153,0.13974,8.650767,8.511027,-25.393341,34.183849,above,3.0
AUT,Austria,wipo_patorig_score,ecosystem_outcome,63.546638,1.383872,16.109643,14.725771,-42.79344,60.286955,above,3.0
CHE,Switzerland,wipo_patorig_score,ecosystem_outcome,100.0,1.383872,16.109643,14.725771,-42.79344,60.286955,above,3.0
CHN,China,wipo_patorig_score,ecosystem_outcome,100.0,1.383872,16.109643,14.725771,-42.79344,60.286955,above,3.0
DEU,Germany,wipo_patorig_score,ecosystem_outcome,100.0,1.383872,16.109643,14.725771,-42.79344,60.286955,above,3.0
DNK,Denmark,wipo_patorig_score,ecosystem_outcome,81.368765,1.383872,16.109643,14.725771,-42.79344,60.286955,above,3.0
FIN,Finland,wipo_patorig_score,ecosystem_outcome,81.209516,1.383872,16.109643,14.725771,-42.79344,60.286955,above,3.0
IRN,Iran,wipo_patorig_score,ecosystem_outcome,83.238634,1.383872,16.109643,14.725771,-42.79344,60.286955,above,3.0
JPN,Japan,wipo_patorig_score,ecosystem_outcome,100.0,1.383872,16.109643,14.725771,-42.79344,60.286955,above,3.0
KOR,South Korea,wipo_patorig_score,ecosystem_outcome,100.0,1.383872,16.109643,14.725771,-42.79344,60.286955,above,3.0
NLD,Netherlands (Kingdom of the),wipo_patorig_score,ecosystem_outcome,67.099995,1.383872,16.109643,14.725771,-42.79344,60.286955,above,3.0
SWE,Sweden,wipo_patorig_score,ecosystem_outcome,81.424229,1.383872,16.109643,14.725771,-42.79344,60.286955,above,3.0
USA,United States,wipo_patorig_score,ecosystem_outcome,100.0,1.383872,16.109643,14.725771,-42.79344,60.286955,above,3.0
CHE,Switzerland,wipo_pctpatorig_score,ecosystem_outcome,100.0,0.424636,14.663051,14.238415,-42.290607,57.378295,above,3.0
DEU,Germany,wipo_pctpatorig_score,ecosystem_outcome,77.553531,0.424636,14.663051,14.238415,-42.290607,57.378295,above,3.0
DNK,Denmark,wipo_pctpatorig_score,ecosystem_outcome,85.587274,0.424636,14.663051,14.238415,-42.290607,57.378295,above,3.0
FIN,Finland,wipo_pctpatorig_score,ecosystem_outcome,100.0,0.424636,14.663051,14.238415,-42.290607,57.378295,above,3.0
ISR,Israel,wipo_pctpatorig_score,ecosystem_outcome,100.0,0.424636,14.663051,14.238415,-42.290607,57.378295,above,3.0
JPN,Japan,wipo_pctpatorig_score,ecosystem_outcome,100.0,0.424636,14.663051,14.238415,-42.290607,57.378295,above,3.0
KOR,South Korea,wipo_pctpatorig_score,ecosystem_outcome,100.0,0.424636,14.663051,14.238415,-42.290607,57.378295,above,3.0
LUX,Luxembourg,wipo_pctpatorig_score,ecosystem_outcome,83.392259,0.424636,14.663051,14.238415,-42.290607,57.378295,above,3.0
NLD,Netherlands (Kingdom of the),wipo_pctpatorig_score,ecosystem_outcome,75.772366,0.424636,14.663051,14.238415,-42.290607,57.378295,above,3.0
SWE,Sweden,wipo_pctpatorig_score,ecosystem_outcome,100.0,0.424636,14.663051,14.238415,-42.290607,57.378295,above,3.0
YEM,"Yemen, Rep.",wipo_polstab_score,institutional_control,0.0,60.267859,79.017857,18.749999,4.017863,135.267853,below,3.0
HKG,Hong Kong,wipo_printmedia_score,tech_infrastructure_control,100.0,11.515707,28.305598,16.78989,-38.853963,78.675268,above,3.0
MLT,Malta,wipo_printmedia_score,tech_infrastructure_control,100.0,11.515707,28.305598,16.78989,-38.853963,78.675268,above,3.0
LBN,Lebanon,wipo_r_growppp20_score,tech_infrastructure_control,0.0,50.346143,66.945979,16.599837,0.546633,116.745489,below,3.0
ISR,Israel,wipo_rdexp_score,socioeconomic_control,100.0,4.776366,25.587598,20.811232,-57.65733,88.021294,above,3.0
KOR,South Korea,wipo_rdexp_score,socioeconomic_control,94.021509,4.776366,25.587598,20.811232,-57.65733,88.021294,above,3.0
ISR,Israel,wipo_sp52_score,tech_infrastructure_control,82.061374,16.523939,30.520687,13.996748,-25.466305,72.510932,above,3.0
ARE,United Arab Emirates,wipo_tertmob_score,tech_infrastructure_control,100.0,3.910308,23.853939,19.943631,-55.920586,83.684833,above,3.0
LUX,Luxembourg,wipo_tertmob_score,tech_infrastructure_control,100.0,3.910308,23.853939,19.943631,-55.920586,83.684833,above,3.0
QAT,Qatar,wipo_tertmob_score,tech_infrastructure_control,100.0,3.910308,23.853939,19.943631,-55.920586,83.684833,above,3.0
