bloque_tematico,variable_matriz,component,loading,explained_variance_ratio,status
ecosystem_outcome,oxford_data_availability,PC3,-0.100172,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_data_availability,PC4,-0.03143,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_data_availability,PC5,0.058568,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_data_infrastructure,PC1,0.06269,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_data_infrastructure,PC2,-0.071921,0.097602,exploratory_not_feature
ecosystem_outcome,oxford_data_infrastructure,PC3,-0.06607,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_data_infrastructure,PC4,-0.02723,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_data_infrastructure,PC5,0.040953,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_data_quality,PC1,0.072181,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_data_quality,PC2,-0.098984,0.097602,exploratory_not_feature
ecosystem_outcome,oxford_data_quality,PC3,-0.071486,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_data_quality,PC4,-0.030054,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_data_quality,PC5,0.08096,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_data_representativeness,PC1,0.059088,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_data_representativeness,PC2,-0.05383,0.097602,exploratory_not_feature
ecosystem_outcome,oxford_data_representativeness,PC3,-0.071555,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_data_representativeness,PC4,-0.028344,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_data_representativeness,PC5,0.048617,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_development_diffusion,PC1,0.077627,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_development_diffusion,PC2,-0.10874,0.097602,exploratory_not_feature
ecosystem_outcome,oxford_development_diffusion,PC3,0.032447,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_development_diffusion,PC4,0.008867,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_development_diffusion,PC5,-0.063235,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_digital_capacity,PC1,0.061984,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_digital_capacity,PC2,-0.098506,0.097602,exploratory_not_feature
ecosystem_outcome,oxford_digital_capacity,PC3,-0.042732,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_digital_capacity,PC4,0.01744,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_digital_capacity,PC5,0.008188,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_e_government_delivery,PC1,0.055967,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_e_government_delivery,PC2,-0.111389,0.097602,exploratory_not_feature
