Publication date,Training compute (petaFLOP),Label
2024-03-27,2600000000.0,Industry
2024-03-14,486000000.0,Industry
2024-03-07,8000001000.0,Industry
2024-02-26,11199999999.999998,Industry
2024-02-22,49999999.99999999,Industry
2024-02-04,1300000000.0,Industry
2023-12-23,34912896.0,Industry
2023-12-21,255620000.0,Industry
2023-12-14,387000000.0,Industry
2023-12-11,774000000.0,Industry
2023-12-07,160000000.0,Industry
2023-12-06,50000000001.0,Industry
2023-11-30,1300000000.0,Industry
2023-11-22,10010000000.0,Industry
2023-11-15,180000000.0,Industry
2023-11-14,20999999.999999996,Industry
2023-11-08,2162.688,Industry
2023-11-04,2900000000.01,Industry
2023-11-02,610000000.0,Industry
2023-10-30,250000000.0,Industry
2023-10-27,50400000.0,Industry
2023-10-26,7920.0,Industry
2023-09-28,4800000000.0,Industry
2023-08-30,53.37,Industry
2023-07-26,3900.0,Industry
2023-07-18,810000000.0,Industry
2023-07-18,83999999.99999999,Industry
2023-07-11,3866000000.0,Industry
2023-07-05,39800000.0,Industry
2023-05-29,560000000.0,Industry
2023-05-10,7340000000.0,Industry
2023-04-05,7800000.0,Industry
2023-03-27,4946730.100000001,Industry
2023-03-20,466999999.99999994,Industry
2023-03-15,21000000000.0,Industry
2023-03-15,21000000000.0,Industry
2023-02-24,550000000.0,Industry
2023-02-10,193248000.0,Industry
2023-01-30,1200000.00001,Industry
2023-01-05,10100.0,Industry
2022-11-18,130000.0,Industry
2022-11-16,324000000.0,Industry
2022-11-03,140.0,Industry
2022-11-02,54600.0,Industry
2022-10-20,2530000000.0,Industry
2022-10-20,2540000000.0010004,Industry
2022-10-05,714147.84,Industry
2022-09-21,4207266.3,Industry
2022-09-14,169000000.0,Industry
2022-08-22,70000.0,Industry
2022-08-02,204374016.0,Industry
2022-07-06,17511137.28,Industry
2022-07-05,2720000.0,Industry
2022-06-29,2741500000.0,Industry
2022-06-22,509607936.0,Industry
2022-06-14,73000000.0,Industry
2022-05-23,14600000.0,Industry
2022-05-12,4020000.0,Industry
2022-05-10,120000000.0,Industry
2022-05-02,430000000.0,Industry
2022-04-29,218972000.000001,Industry
2022-04-14,532224.0,Industry
2022-04-06,336957840.00000006,Industry
2022-04-04,2527200000.0,Industry
2022-03-29,576000000.0,Industry
2022-03-24,6417285.100000001,Industry
2022-03-15,2578000000.0,Industry
2022-03-02,17901648.0,Industry
2022-02-17,290000000.0,Industry
2022-02-10,355000000.0,Industry
2022-02-07,16800000.0,Industry
2022-02-02,238010000.00000098,Industry
2022-01-27,319181000.0,Industry
2021-12-20,22500000.0,Industry
2021-12-13,363631124.34000003,Industry
2021-12-08,631000000.0000001,Industry
2021-12-06,36679273.00468287,Industry
2021-11-22,48310000.0,Industry
2021-11-19,41200000.00000001,Industry
2021-11-18,1100000.0,Industry
2021-11-11,460000.0,Industry
2021-10-12,353800000.00001,Industry
2021-10-11,858600000.0,Industry
2021-10-04,4350000.0,Industry
2021-09-28,28983951.000000004,Industry
2021-09-20,9900000.000000002,Industry
2021-09-10,200000000.01000002,Industry
2021-09-03,2047000000.0,Industry
2021-08-17,33660000.0,Industry
2021-08-11,370000000.0,Industry
2021-08-06,634275.0,Industry
2021-07-27,5540000.0,Industry
2021-07-27,24120000.000000004,Industry
2021-07-07,73440000.0,Industry
2021-07-05,22500000.0,Industry
2021-06-23,95600.0,Industry
2021-06-11,25986700.00001,Industry
2021-06-10,25880000.000000004,Industry
2021-06-09,42700000.0,Industry
2021-06-08,58500000.0,Industry
2021-05-28,81000000.0,Industry
2021-05-26,24057.6,Industry
2021-05-11,6200000.0,Industry
2021-04-19,35997696.0,Industry
2021-03-05,5500000.0,Industry
2021-03-05,14490000.0,Industry
2021-03-01,47900000.0,Industry
2021-02-24,21173.704,Industry
2021-01-11,82200000.0,Industry
2021-01-05,47000000.0,Industry
2021-01-05,10499999.999999998,Industry
2020-12-31,30302.798,Industry
