Publication date,Training compute (petaFLOP – log scale),Label
2021-01-11,82200000.0,United States
2022-01-27,319000000.0,United States
2020-01-28,112000000.0,United States
2021-01-05,10499999.999999998,United States
2018-10-11,285000.0,United States
2021-10-11,859000000.0,United States
2020-10-20,82000000.0,United States
2022-10-20,2540000000.0,United States
2022-10-20,2530000000.0,United States
2019-10-23,32999999.999999996,United States
2019-10-23,9000000.0,United States
2022-11-16,324000000.0,United States
2023-11-22,9999999999.999998,United States
2023-11-04,2900000000.0,United States
2018-11-05,68400.0,United States
2018-11-05,162000.0,United States
2019-11-05,20800000.0,United States
2021-12-13,364000000.0,United States
2024-12-03,6000000000.0,United States
2024-12-06,6860000000.0,United States
2018-02-01,689.0,United States
2018-02-01,3.3001,United States
2022-02-10,355000000.0,United States
2020-02-13,15699999.999999998,United States
2019-02-14,1920000.0,United States
2020-02-14,33700.0,United States
2022-02-17,290000000.0,United States
2025-02-17,350000000000.0,United States
2023-02-24,550000000.0,United States
2025-02-24,33499999999.999996,United States
2025-02-27,380000000000.0,United States
2020-02-09,2390000.0,United States
2022-03-15,2580000000.0,United States
2023-03-15,21000000000.0,United States
2023-03-15,21000000000.0,United States
2020-03-17,1580.0,United States
2018-03-22,592.0,United States
2020-03-23,3100000.0,United States
2024-03-07,8000000000.0,United States
2024-04-15,8400000000.000001,United States
2024-04-18,7860000000.0,United States
2022-04-04,2530000000.0,United States
2025-04-05,2240000000.0,United States
2025-04-05,51800000000.0,United States
2025-04-05,4080000000.0,United States
2023-05-10,7340000000.0,United States
2020-05-02,16500.0,United States
2022-05-02,430000000.0,United States
2020-05-28,314000000.0,United States
2021-05-28,81000000.0,United States
2023-05-29,560000000.0,United States
2018-05-03,127.0,United States
2018-06-01,17600.0,United States
2019-06-01,6190000.000000001,United States
2021-06-10,25900000.0,United States
2021-06-11,26000000.0,United States
2024-06-12,7930000000.0,United States
2024-06-14,18000000000.0,United States
2024-06-20,26999999999.999996,United States
2022-06-29,2740000000.0,United States
2020-06-30,47700000.0,United States
2019-06-04,378000.0,United States
2019-07-01,8510000.0,United States
2023-07-11,3870000000.0,United States
2023-07-18,810000000.0,United States
2024-07-23,37999999999.99999,United States
2021-07-07,73400000.0,United States
2025-07-09,500000000000.0,United States
2024-08-13,29599999999.999996,United States
2025-08-05,4940000000.0,United States
2025-08-05,549000000.0,United States
2025-08-07,65999999999.99999,United States
2018-09-17,11000.0,United States
2019-09-17,9100000.0,United States
2019-09-17,11299999.999999998,United States
2019-09-17,22000000.0,United States
2021-09-28,28999999.999999996,United States
2023-09-28,4800000000.0,United States
2021-09-03,2050000000.0,United States
2025-10-10,6000000000.0,China
2021-10-12,354000000.0,China
2023-10-27,50400000.0,China
2024-10-28,25099999999.999996,China
2023-10-30,250000000.0,China
2023-11-02,610000000.0,China
2023-11-30,1300000000.0,China
2023-11-06,63300000.0,China
2024-11-06,3490000000.0,China
2023-11-08,2160.0,China
2020-12-01,261000.0,China
2023-12-14,67100000.0,China
2025-12-22,4420000000.0,China
2021-12-23,1040000000.0,China
2024-12-24,3409999999.9999995,China
2020-12-31,30300.0,China
2024-02-23,3900000000.0,China
2025-03-11,5400000000.0,China
2023-03-20,466999999.99999994,China
2021-03-05,5500000.0,China
2025-04-10,10700000000.0,China
2021-04-19,36000000.0,China
2025-04-29,4750000000.0,China
2024-05-13,1800000000.0,China
2023-05-18,180000.0,China
2024-06-07,3020000000.0,China
2025-07-25,4750000000.0,China
2025-07-25,4750000000.0,China
2021-07-05,22500000.0,China
2021-08-11,802000.0,China
2022-08-04,355000000.0,China
2025-08-05,4420000000.0,China
2020-08-06,200000.0,China
2024-09-17,3510000000.0,China
2024-09-19,7800000000.0,China
2024-09-19,7850000000.0,China
2021-09-20,9900000.000000002,China
2024-09-20,6900000000.0,China
2025-09-30,4420000000.0,China
2025-09-05,15099999999.999998,China
2021-09-06,2780.0,China
