organization,num_models
Google,191
Meta,86
OpenAI,59
Microsoft,42
Nvidia,29
Stanford University,26
Tsinghua University,26
Alibaba,25
Carnegie Mellon University,25
UC Berkeley,20
University of Washington,19
University of Oxford,17
MIT,15
Anthropic,13
Baidu,13
Allen Institute for AI (Ai2),12
Salesforce,12
New York University,11
ByteDance,10
Chinese University of Hong Kong,10
