country,talent_per_100k
Switzerland,110.44816629256567
Singapore,109.51057337755057
Sweden,80.62662841521937
Finland,77.60925875796093
Netherlands,77.60818088591364
Canada,76.16388243156422
Denmark,65.25021281607872
United States,64.83736420770975
Germany,58.10136275542309
Australia,53.42805384151015
Israel,52.01315367340391
United Kingdom,49.64464218646174
United Arab Emirates,28.381036980757802
France,27.461918444144544
Italy,22.432432849388746
