Year,AI publications in CS (% of total),Label
2013,0.11830383124266924,United States
2014,0.11244820098450571,United States
2015,0.11626065410454434,United States
2016,0.11707983245759396,United States
2017,0.11951776070586445,United States
2018,0.12261093885020079,United States
2019,0.12747403803816704,United States
2020,0.12935462421339705,United States
2021,0.12417486823477238,United States
2022,0.09773513236491113,United States
2023,0.09202429603292467,United States
2024,0.07293747966085681,United States
2013,0.04786591098337318,India
2014,0.05956346082307446,India
2015,0.0673177626593326,India
2016,0.0732540032809,India
2017,0.07117213052407394,India
2018,0.06707797488944238,India
2019,0.06040787396501176,India
2020,0.06582409004616022,India
2021,0.074342879560612,India
2022,0.09033630635790851,India
2023,0.09209656263888738,India
2024,0.07550239870669294,India
2013,0.20337192332142506,Europe
2014,0.2031732574335372,Europe
2015,0.20079527941214037,Europe
2016,0.19776998725944925,Europe
2017,0.18992926142846275,Europe
2018,0.1808188888324099,Europe
2019,0.18088533780083121,Europe
2020,0.17767348630130386,Europe
2021,0.1773969331536664,Europe
2022,0.15994470260423171,Europe
2023,0.1522259921301666,Europe
2024,0.11053296428358976,Europe
2013,0.20529694592924871,Rest of the world
2014,0.20875327663918472,Rest of the world
2015,0.21904242909326227,Rest of the world
2016,0.22045316390343828,Rest of the world
2017,0.22615805887274665,Rest of the world
2018,0.22384105118690592,Rest of the world
2019,0.22875522192510497,Rest of the world
2020,0.23316211970819803,Rest of the world
2021,0.23459754038241765,Rest of the world
2022,0.23793814788177384,Rest of the world
2023,0.22682319613518193,Rest of the world
2024,0.1709957694582177,Rest of the world
2013,0.17009141618988782,China
2014,0.16107655440302446,China
2015,0.1474076786185639,China
2016,0.138397355294823,China
2017,0.14660378793641135,China
2018,0.15858664158999644,China
2019,0.17468346274042335,China
2020,0.1777072150642292,China
2021,0.19616388353489006,China
2022,0.23339463132916163,China
2023,0.23074004617836122,China
2024,0.17755328418113298,China
2013,0.255069972333396,Unknown
2014,0.25498524971667347,Unknown
2015,0.24917619611215652,Unknown
2016,0.2530456578037955,Unknown
2017,0.24661900053244087,Unknown
2018,0.24706450465104457,Unknown
2019,0.22779406553046166,Unknown
2020,0.21627846466671163,Unknown
2021,0.19332389513364148,Unknown
2022,0.1806510794620132,Unknown
2023,0.20608990688447823,Unknown
2024,0.3924781037095098,Unknown
