AI Publications (% of Total),Sector,Label
0.5084830339321357,Academia,United States
0.24463572854291418,Industry,United States
0.1311127744510978,Nonprofit,United States
0.1157684630738523,Government,United States
0.5529820087831138,Academia,Europe
0.1726873494829296,Government,Europe
0.1705624026066015,Industry,Europe
0.10376823912735515,Nonprofit,Europe
0.5471831483706793,Academia,China
0.25100728069555384,Government,China
0.17961405244928252,Industry,China
0.022195518484484342,Nonprofit,China
