"Granted AI patents (per 100,000 inhabitants)",Country
0.2103142072117406,Switzerland
0.3178856521808963,Denmark
0.3465268623292092,Greece
0.4484501251230986,Australia
0.6038193742235577,United Kingdom
0.6188272438518966,France
0.6740918474977179,Finland
0.700113882037812,Sweden
1.2968359239117744,Germany
1.3086273327524574,Singapore
4.298434404362459,Japan
4.680824954705668,United States
6.954559165350699,China
12.246999853921327,Luxembourg
14.310816598653574,South Korea
