Year,Number of AI patents granted (in thousands)
2010,3.866
2011,4.499
2012,5.233
2013,6.238
2014,6.759
2015,7.802
2016,10.187
2017,13.41
2018,17.305
2019,27.028
2020,43.386
2021,65.822
2022,93.721
2023,121.218
2024,131.121
