Year,AI publications in CS (% of total),Label
2013,0.03693153423288356,Other
2014,0.03344542397527947,Other
2015,0.03232989337558344,Other
2016,0.030856167168062443,Other
2017,0.03253708270455298,Other
2018,0.03272826449286342,Other
2019,0.035899432910653006,Other
2020,0.03594158719696813,Other
2021,0.03648763853367434,Other
2022,0.035879445064583,Other
2023,0.03750569208903117,Other
2024,0.03325469243312632,Other
2013,0.07171414292853573,Nonprofit
2014,0.07311642279378351,Nonprofit
2015,0.06620134458099602,Nonprofit
2016,0.06561509065777706,Nonprofit
2017,0.06459567889874489,Nonprofit
2018,0.06585048031758538,Nonprofit
2019,0.062063426387908585,Nonprofit
2020,0.06310889580029247,Nonprofit
2021,0.0573231031543052,Nonprofit
2022,0.04901929516823473,Nonprofit
2023,0.047040803653976185,Nonprofit
2024,0.04636921902647192,Nonprofit
2013,0.1374312843578211,Industry
2014,0.1271925838407707,Industry
2015,0.1291482892990194,Industry
2016,0.12801853809252786,Industry
2017,0.13191505024108358,Industry
2018,0.13270099093911936,Industry
2019,0.1554019519556064,Industry
2020,0.15132541039319478,Industry
2021,0.15152600170502983,Industry
2022,0.11829054377292297,Industry
2023,0.11733292856255778,Industry
2024,0.11471741317697672,Industry
2013,0.16906546726636681,Government
2014,0.1746341906752704,Government
2015,0.17869224510769494,Government
2016,0.16334661354581673,Government
2017,0.16066104751739113,Government
2018,0.1520652140973969,Government
2019,0.14797867938764087,Government
2020,0.1389466746308006,Government
2021,0.1356521739130435,Government
2022,0.1341093924413969,Government
2023,0.13620996564048077,Government
2024,0.12439718280539847,Government
2013,0.5848575712143929,Academia
2014,0.5916113787148959,Academia
2015,0.5936282276367062,Academia
2016,0.6121635905358159,Academia
2017,0.6102911406382274,Academia
2018,0.6166550501530349,Academia
2019,0.5986565093581911,Academia
2020,0.610677431978744,Academia
2021,0.6190110826939471,Academia
2022,0.6627013235528624,Academia
2023,0.6619106100539541,Academia
2024,0.6812614925580266,Academia
