Year,Number of AI projects (in millions)
2011,0.001975
2012,0.004985
2013,0.011468
2014,0.042755
2015,0.091964
2016,0.15392
2017,0.284352
2018,0.476022
2019,0.730844
2020,1.06552
2021,1.363646
2022,1.74555
2023,2.55247
2024,3.619075
2025,5.579036
