Year,GPU cost index (2006=1)
2006,1.0
2007,0.4147306576145267
2008,0.15014929436272317
2009,0.06818119519213832
2010,0.06048008408302964
2011,0.06421832038326894
2012,0.052159579918608964
2013,0.04291769962262743
2014,0.033476232918138615
2015,0.01768809143710008
2016,0.019167792953862842
2017,0.014757449838198496
2018,0.02246764564957614
2019,0.010940490914041022
2020,0.00930855749505831
2021,0.00570641630989735
2022,0.004043781512924894
2023,0.0028655758774401964
2024,0.0020306549904145787
