Year,Notable AI models (% of total),Label
2003,1.0,Academia
2004,0.5,Academia
2005,0.3333333333333333,Academia
2006,0.8888888888888888,Academia
2007,0.5,Academia
2008,0.6666666666666666,Academia
2009,0.38461538461538464,Academia
2010,0.8,Academia
2011,0.7272727272727273,Academia
2012,0.6153846153846154,Academia
2013,0.5263157894736842,Academia
2014,0.6363636363636364,Academia
2015,0.3103448275862069,Academia
2016,0.3673469387755102,Academia
2017,0.32727272727272727,Academia
2018,0.10810810810810811,Academia
2019,0.17647058823529413,Academia
2020,0.18,Academia
2021,0.11538461538461539,Academia
2022,0.18681318681318682,Academia
2023,0.15126050420168066,Academia
2024,0.030612244897959183,Academia
2025,0.010526315789473684,Academia
2003,0.0,Other
2004,0.5,Other
2005,0.3333333333333333,Other
2006,0.0,Other
2007,0.0,Other
2008,0.0,Other
2009,0.15384615384615385,Other
2010,0.0,Other
2011,0.0,Other
2012,0.0,Other
2013,0.0,Other
2014,0.030303030303030304,Other
2015,0.034482758620689655,Other
2016,0.04081632653061224,Other
2017,0.01818181818181818,Other
2018,0.05405405405405406,Other
2019,0.07352941176470588,Other
2020,0.06,Other
2021,0.02564102564102564,Other
2022,0.04395604395604396,Other
2023,0.01680672268907563,Other
2024,0.02040816326530612,Other
2025,0.021052631578947368,Other
2003,0.0,Industry-academia collaboration
2004,0.0,Industry-academia collaboration
2005,0.0,Industry-academia collaboration
2006,0.1111111111111111,Industry-academia collaboration
2007,0.0,Industry-academia collaboration
2008,0.0,Industry-academia collaboration
2009,0.0,Industry-academia collaboration
2010,0.1,Industry-academia collaboration
2011,0.2727272727272727,Industry-academia collaboration
2012,0.15384615384615385,Industry-academia collaboration
2013,0.10526315789473684,Industry-academia collaboration
2014,0.18181818181818182,Industry-academia collaboration
2015,0.20689655172413793,Industry-academia collaboration
2016,0.16326530612244897,Industry-academia collaboration
2017,0.18181818181818182,Industry-academia collaboration
2018,0.21621621621621623,Industry-academia collaboration
2019,0.3088235294117647,Industry-academia collaboration
2020,0.26,Industry-academia collaboration
2021,0.28205128205128205,Industry-academia collaboration
2022,0.21978021978021978,Industry-academia collaboration
2023,0.25210084033613445,Industry-academia collaboration
2024,0.12244897959183673,Industry-academia collaboration
2025,0.05263157894736842,Industry-academia collaboration
2003,0.0,Industry
2004,0.0,Industry
2005,0.3333333333333333,Industry
2006,0.0,Industry
2007,0.5,Industry
2008,0.3333333333333333,Industry
2009,0.46153846153846156,Industry
2010,0.1,Industry
2011,0.0,Industry
2012,0.23076923076923078,Industry
2013,0.3684210526315789,Industry
2014,0.15151515151515152,Industry
2015,0.4482758620689655,Industry
2016,0.42857142857142855,Industry
2017,0.4727272727272727,Industry
2018,0.6216216216216216,Industry
2019,0.4411764705882353,Industry
2020,0.5,Industry
2021,0.5769230769230769,Industry
2022,0.5494505494505495,Industry
2023,0.5798319327731093,Industry
2024,0.826530612244898,Industry
2025,0.9157894736842105,Industry
