Year,AI publications in CS (% of total),Label
2013,0.004302197285253642,Sub-Saharan Africa
2014,0.0041986366779728,Sub-Saharan Africa
2015,0.004760019072402396,Sub-Saharan Africa
2016,0.0052094826770908865,Sub-Saharan Africa
2017,0.005691834987155594,Sub-Saharan Africa
2018,0.005774395163718253,Sub-Saharan Africa
2019,0.006494861627889221,Sub-Saharan Africa
2020,0.0071998946799769386,Sub-Saharan Africa
2021,0.007989853646045883,Sub-Saharan Africa
2022,0.009932229036879639,Sub-Saharan Africa
2023,0.008923550177183628,Sub-Saharan Africa
2024,0.008262400255558735,Sub-Saharan Africa
2013,0.023204495496805425,Latin America and the Caribbean
2014,0.02373464616195212,Latin America and the Caribbean
2015,0.025206280962348167,Latin America and the Caribbean
2016,0.02469184451940355,Latin America and the Caribbean
2017,0.023580459232501745,Latin America and the Caribbean
2018,0.024464408290080564,Latin America and the Caribbean
2019,0.023185027206140598,Latin America and the Caribbean
2020,0.022761836018539955,Latin America and the Caribbean
2021,0.01984860487633131,Latin America and the Caribbean
2022,0.01792067094863251,Latin America and the Caribbean
2023,0.016593602417557102,Latin America and the Caribbean
2024,0.01210576404741147,Latin America and the Caribbean
2013,0.03700916034451791,Middle East and North Africa
2014,0.041780551256297954,Middle East and North Africa
2015,0.04566062437873265,Middle East and North Africa
2016,0.04511207086787932,Middle East and North Africa
2017,0.045642616085370326,Middle East and North Africa
2018,0.04276303905393851,Middle East and North Africa
2019,0.043285504140728785,Middle East and North Africa
2020,0.04709439307066883,Middle East and North Africa
2021,0.04888334093509694,Middle East and North Africa
2022,0.05529531076447578,Middle East and North Africa
2023,0.05174574996442776,Middle East and North Africa
2024,0.042666329471113214,Middle East and North Africa
2013,0.1330602051027652,North America
2014,0.12674943194915533,North America
2015,0.12974890697354916,North America
2016,0.12981936256738438,North America
2017,0.1317541069719582,North America
2018,0.13468972410554078,North America
2019,0.1400670864233978,North America
2020,0.14136489302300242,North America
2021,0.136983780237015,North America
2022,0.10884000579514173,North America
2023,0.10305785739936445,North America
2024,0.0818054159817382,North America
2013,0.052370485044946416,South Asia
2014,0.06414034972173742,South Asia
2015,0.07094772060546796,South Asia
2016,0.077700892153463,South Asia
2017,0.07677860848666268,South Asia
2018,0.07331494839774082,South Asia
2019,0.06878139904205881,South Asia
2020,0.07333360571270332,South Asia
2021,0.08318329852525785,South Asia
2022,0.09884338629448979,South Asia
2023,0.09970729129259352,South Asia
2024,0.08252750251232871,South Asia
2013,0.231035691986623,Europe and Central Asia
2014,0.23142720716567328,Europe and Central Asia
2015,0.23139834651969063,Europe and Central Asia
2016,0.2292251190063365,Europe and Central Asia
2017,0.22237013477632023,Europe and Central Asia
2018,0.21209311287467333,Europe and Central Asia
2019,0.21019733995714207,Europe and Central Asia
2020,0.20703555912675173,Europe and Central Asia
2021,0.20739611589888854,Europe and Central Asia
2022,0.18885723024420084,Europe and Central Asia
2023,0.18142858110809218,Europe and Central Asia
2024,0.13520654336845048,Europe and Central Asia
2013,0.2752550954950948,East Asia and Pacific
2014,0.2652385813547601,East Asia and Pacific
2015,0.25570757804734157,East Asia and Pacific
2016,0.24868383720563664,East Asia and Pacific
2017,0.26082420073252693,East Asia and Pacific
2018,0.27271523019304184,East Asia and Pacific
2019,0.2919786422888788,East Asia and Pacific
2020,0.2974110340882782,East Asia and Pacific
2021,0.31430491874114797,East Asia and Pacific
2022,0.35147937090516895,East Asia and Pacific
2023,0.34527770061048735,East Asia and Pacific
2024,0.26416387703897937,East Asia and Pacific
2013,0.2437626692439936,Unknown
2014,0.242730595712451,Unknown
2015,0.23657052344046745,Unknown
2016,0.2395573910028057,Unknown
2017,0.2333580387275043,Unknown
2018,0.2341851419212659,Unknown
2019,0.21601013931376392,Unknown
2020,0.20379878428007864,Unknown
2021,0.18141008714021653,Unknown
2022,0.16883179601101078,Unknown
2023,0.193265667030294,Unknown
2024,0.37326216732441986,Unknown
