quarter,cumulative_chip_power,cumulative_other_power,total_power
2022Q1,0.059058,0.088587,0.147645
2022Q2,0.1495876,0.2243814,0.373969
2022Q3,0.23994179999999998,0.35991270000000003,0.5998545
2022Q4,0.349009655,0.5235144825,0.8725241374999999
2023Q1,0.47991876999999994,0.719878155,1.1997969249999998
2023Q2,0.69369732,1.04054598,1.7342433000000002
2023Q3,1.00831546,1.5124731900000001,2.52078865
2023Q4,1.422662185,2.1339932775,3.5566554625
2024Q1,2.1571967450000002,3.2357951175000004,5.392991862500001
2024Q2,3.046380065,4.569570097500001,7.615950162500001
2024Q3,4.10989419,6.1648412850000005,10.274735475
2024Q4,5.403826525,8.105739787500001,13.509566312500002
2025Q1,7.069098145,10.6036472175,17.672745362500002
2025Q2,8.785157405,13.177736107500001,21.962893512500003
2025Q3,10.901382675,16.3520740125,27.2534566875
2025Q4,11.823487775,17.735231662500002,29.558719437500002
