Year,Number of GitHub stars (in millions)
2011,0.021058
2012,0.016064
2013,0.075147
2014,0.157508
2015,0.381012
2016,0.931279
2017,1.842683
2018,3.03318
2019,4.188831
2020,4.63656
2021,4.936116
2022,5.733007
2023,12.861891
2024,13.621636
2025,18.181572
