Number of top AI authors and inventors (in thousands),Country
3.087,United Arab Emirates
3.426,Saudi Arabia
3.9,Denmark
4.375,Finland
5.188,Israel
5.965,South Korea
6.276,Japan
6.611,Singapore
8.522,Sweden
9.172,Spain
9.978,Switzerland
11.095,Brazil
13.232,Italy
13.965,Netherlands
14.535,Australia
18.816,France
31.447,Canada
34.367,United Kingdom
48.521,Germany
50.464,India
220.519,United States
