quarter,AMD,Amazon,Google,Huawei,Nvidia
2022Q1,0.0,0.0,0.0,0.0,46554.0
2022Q2,0.0,0.0,0.0,0.0,117916.0
2022Q3,0.0,0.0,0.0,0.0,191877.0
2022Q4,0.0,0.0,13812.0,0.0,268951.0
2023Q1,0.0,0.0,38784.0,0.0,360637.0
2023Q2,0.0,0.0,71736.0,0.0,572322.0
2023Q3,0.0,0.0,122724.0,0.0,915000.0
2023Q4,0.0,0.0,206532.0,0.0,1364773.0
2024Q1,54896.0,132250.0,327784.0,45027.75,1936083.0
2024Q2,173213.0,264500.0,469306.0,90055.5,2618358.0
2024Q3,342022.0,396750.0,652018.0,135083.25,3450740.0
2024Q4,546912.0,529000.0,935023.0,180111.0,4688993.0
2025Q1,707139.0,815450.0,1374642.0,312074.75,6388245.0
2025Q2,812496.0,1101900.0,2001233.0,444038.5,8284982.0
2025Q3,1015252.0,1489450.0,2797511.0,576002.25,10658160.0
2025Q4,0.0,1877000.0,3103065.0,707966.0,11380431.0
